MicroVigene	 Version	 2501
Culture	en-US
9/25/2006 5:30:33 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	566	2878	514	92480	0	
1	 1	 1	 2	sample1	514	2826	514	92480	0	
1	 1	 1	 3	sample1	481	2537	514	82240	0	
1	 1	 1	 4	sample1	925	2981	770	41120	0	
1	 1	 1	 5	sample1	356	2412	256	74016	0	
1	 1	 1	 6	control	178	2234	256	74016	0	
1	 1	 2	 1	sample2	1213	3269	1028	102800	0	
1	 1	 2	 2	sample2	931	2729	1028	80910	0	
1	 1	 2	 3	sample2	465	2263	514	64728	0	
1	 1	 2	 4	sample2	258	2056	258	64728	0	
1	 1	 2	 5	sample2	106	1904	0	61132	0	
1	 1	 2	 6	control	1339	3137	1286	95294	0	
1	 1	 3	 1	sample3	880	2678	1028	68324	0	
1	 1	 3	 2	sample3	868	2666	772	71920	0	
1	 1	 3	 3	sample3	966	2508	1028	32382	0	
1	 1	 3	 4	sample3	187	1985	258	71920	0	
1	 1	 3	 5	sample3	336	2134	258	64728	0	
1	 1	 3	 6	control	498	2040	514	24672	0	
1	 1	 4	 1	sample4	1474	3016	1798	117192	0	
1	 1	 4	 2	sample4	1228	2770	1284	118734	0	
1	 1	 4	 3	sample4	758	2300	770	61680	0	
1	 1	 4	 4	sample4	693	2235	770	66306	0	
1	 1	 4	 5	sample4	612	2154	514	72474	0	
1	 1	 4	 6	control	1178	2720	1284	81726	0	
1	 2	 1	 1	sample5	2392	4706	2312	217516	0	
1	 2	 1	 2	sample5	1798	4112	1798	122642	0	
1	 2	 1	 3	sample5	1158	3214	1028	211768	0	
1	 2	 1	 4	sample5	1099	3155	1028	90464	0	
1	 2	 1	 5	sample5	553	2609	514	82240	0	
1	 2	 1	 6	control	578	2378	770	36000	0	
1	 2	 2	 1	sample6	752	2808	772	82240	0	
1	 2	 2	 2	sample6	624	2680	514	82240	0	
1	 2	 2	 3	sample6	772	2828	772	45232	0	
1	 2	 2	 4	sample6	444	2500	514	82240	0	
1	 2	 2	 5	sample6	328	2384	258	82240	0	
1	 2	 2	 6	control	1544	3344	1284	187200	0	
1	 2	 3	 1	sample7	2944	5000	2828	195320	0	
1	 2	 3	 2	sample7	1780	3580	1542	171000	0	
1	 2	 3	 3	sample7	1658	3458	1542	95400	0	
1	 2	 3	 4	sample7	3376	5176	1798	117000	0	
1	 2	 3	 5	sample7	1085	2885	1028	72000	0	
1	 2	 3	 6	control	449	2249	256	72000	0	
1	 2	 4	 1	sample8	1705	3505	1542	167400	0	
1	 2	 4	 2	sample8	862	2662	770	187200	0	
1	 2	 4	 3	sample8	1505	3047	1286	115650	0	
1	 2	 4	 4	sample8	980	2522	1028	81726	0	
1	 2	 4	 5	sample8	855	2397	772	66306	0	
1	 2	 4	 6	control	1501	3043	1542	75558	0	
1	 3	 1	 1	sample9	1451	3507	1542	82240	0	
1	 3	 1	 2	sample9	666	2978	514	90168	0	
1	 3	 1	 3	sample9	1092	3148	1028	82240	0	
1	 3	 1	 4	sample9	911	2967	1028	86352	0	
1	 3	 1	 5	sample9	753	2809	514	92520	0	
1	 3	 1	 6	control	353	2409	256	82240	0	
1	 3	 2	 1	sample10	2960	5016	3084	102800	0	
1	 3	 2	 2	sample10	1776	3832	2056	137752	0	
1	 3	 2	 3	sample10	1716	3772	1798	96632	0	
1	 3	 2	 4	sample10	1560	3358	1542	79112	0	
1	 3	 2	 5	sample10	1163	2961	1028	79112	0	
1	 3	 2	 6	control	1613	3411	1800	79112	0	
1	 3	 3	 1	sample11	2520	4576	2570	106912	0	
1	 3	 3	 2	sample11	1798	3854	1798	104856	0	
1	 3	 3	 3	sample11	1270	3068	1286	88102	0	
1	 3	 3	 4	sample11	838	2636	1028	82708	0	
1	 3	 3	 5	sample11	695	2493	772	84506	0	
1	 3	 3	 6	control	13.4	1811	0	71920	0	
1	 3	 4	 1	sample12	2177	4233	2312	139808	0	
1	 3	 4	 2	sample12	1767	3565	1800	86304	0	
1	 3	 4	 3	sample12	1867	3665	1542	95294	0	
1	 3	 4	 4	sample12	1378	3176	1286	84506	0	
1	 3	 4	 5	sample12	841	2639	772	79112	0	
1	 3	 4	 6	control	1350	3148	1286	57536	0	
1	 4	 1	 1	sample13	2340	4396	2312	193264	0	
1	 4	 1	 2	sample13	2139	4195	1798	182984	0	
1	 4	 1	 3	sample13	1149	3205	1284	178872	0	
1	 4	 1	 4	sample13	1012	3068	1028	100744	0	
1	 4	 1	 5	sample13	782	2838	770	92520	0	
1	 4	 1	 6	control	348	2404	256	57568	0	
1	 4	 2	 1	sample14	1377	3175	1286	80910	0	
1	 4	 2	 2	sample14	1016	2814	1028	71920	0	
1	 4	 2	 3	sample14	662	2460	514	84506	0	
1	 4	 2	 4	sample14	585	2383	514	71920	0	
1	 4	 2	 5	sample14	527	2325	514	71920	0	
1	 4	 2	 6	control	1328	3126	1286	161820	0	
1	 4	 3	 1	sample15	718	2516	772	77314	0	
1	 4	 3	 2	sample15	393	2191	258	71920	0	
1	 4	 3	 3	sample15	354	2152	258	71920	0	
1	 4	 3	 4	sample15	502	2300	514	71920	0	
1	 4	 3	 5	sample15	450	2248	514	71920	0	
1	 4	 3	 6	control	213	2011	258	71920	0	
1	 4	 4	 1	sample16	1450	3506	1542	185040	0	
1	 4	 4	 2	sample16	1295	3351	1284	104856	0	
1	 4	 4	 3	sample16	966	3022	1028	94576	0	
1	 4	 4	 4	sample16	963	2761	772	91698	0	
1	 4	 4	 5	sample16	917	2715	772	66526	0	
1	 4	 4	 6	control	1047	2845	1028	124062	0	
1	 5	 1	 1	sample17	1413	3213	1542	93600	0	
1	 5	 1	 2	sample17	693	2493	514	90000	0	
1	 5	 1	 3	sample17	670	2470	770	82800	0	
1	 5	 1	 4	sample17	469	2269	514	72000	0	
1	 5	 1	 5	sample17	308	2108	256	72000	0	
1	 5	 1	 6	control	89.6	1890	0	72000	0	
1	 5	 2	 1	sample18	1984	3526	1800	126444	0	
1	 5	 2	 2	sample18	1246	2788	1286	141864	0	
1	 5	 2	 3	sample18	1121	2663	1028	81726	0	
1	 5	 2	 4	sample18	836	2378	772	67848	0	
1	 5	 2	 5	sample18	792	2334	772	57054	0	
1	 5	 2	 6	control	1166	2708	1028	63222	0	
1	 5	 3	 1	sample19	1165	2707	1028	78642	0	
1	 5	 3	 2	sample19	812	2354	772	78642	0	
1	 5	 3	 3	sample19	891	2177	770	60442	0	
1	 5	 3	 4	sample19	457	1999	258	61680	0	
1	 5	 3	 5	sample19	482	1768	514	51440	0	
1	 5	 3	 6	control	109	1395	0	51440	0	
