MicroVigene	 Version	 2501
Culture	en-US
9/27/2006 3:44:16 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	856	3426	770	123360	0	
1	 1	 1	 2	sample1	729	3299	514	128500	0	
1	 1	 1	 3	sample1	656	2968	514	92480	0	
1	 1	 1	 4	sample1	431	2743	258	78608	0	
1	 1	 1	 5	sample1	137	2449	0	78608	0	
1	 1	 1	 6	control	-119.99	2192	-255.99	73984	0	
1	 1	 2	 1	sample2	1317	3629	1286	113288	0	
1	 1	 2	 2	sample2	1297	3353	1284	127472	0	
1	 1	 2	 3	sample2	555	2611	514	102800	0	
1	 1	 2	 4	sample2	490	2288	514	57536	0	
1	 1	 2	 5	sample2	-96.62	1959	0	32896	0	
1	 1	 2	 6	control	244	2300	256	82240	0	
1	 1	 3	 1	sample3	1203	3515	1028	187272	0	
1	 1	 3	 2	sample3	944	3000	770	88408	0	
1	 1	 3	 3	sample3	923	2721	772	39556	0	
1	 1	 3	 4	sample3	245	2043	258	71920	0	
1	 1	 3	 5	sample3	193	1991	258	71920	0	
1	 1	 3	 6	control	-44.49	1754	0	71920	0	
1	 1	 4	 1	sample4	1457	3513	1284	119248	0	
1	 1	 4	 2	sample4	859	2657	772	79112	0	
1	 1	 4	 3	sample4	527	2325	514	71920	0	
1	 1	 4	 4	sample4	148	1946	258	71920	0	
1	 1	 4	 5	sample4	264	2062	0	71920	0	
1	 1	 4	 6	control	482	2280	514	86304	0	
1	 2	 1	 1	sample5	1444	3500	1284	102800	0	
1	 2	 1	 2	sample5	1041	2839	1028	71920	0	
1	 2	 1	 3	sample5	816	2614	772	71920	0	
1	 2	 1	 4	sample5	540	2338	514	71920	0	
1	 2	 1	 5	sample5	444	2242	514	71920	0	
1	 2	 1	 6	control	237	2293	0	82240	0	
1	 2	 2	 1	sample6	1851	3393	1798	67848	0	
1	 2	 2	 2	sample6	792	2334	770	74016	0	
1	 2	 2	 3	sample6	436	1978	256	61680	0	
1	 2	 2	 4	sample6	636	2178	514	61680	0	
1	 2	 2	 5	sample6	404	1946	256	61680	0	
1	 2	 2	 6	control	704	2760	770	71960	0	
1	 2	 3	 1	sample7	1460	3002	1284	112566	0	
1	 2	 3	 2	sample7	798	2340	770	72474	0	
1	 2	 3	 3	sample7	457	1999	514	63222	0	
1	 2	 3	 4	sample7	369	1911	256	63222	0	
1	 2	 3	 5	sample7	340	1882	256	61680	0	
1	 2	 3	 6	control	411	1953	256	61680	0	
1	 2	 4	 1	sample8	868	2410	770	77100	0	
1	 2	 4	 2	sample8	657	2199	514	66306	0	
1	 2	 4	 3	sample8	701	1985	514	51360	0	
1	 2	 4	 4	sample8	450	1734	514	51360	0	
1	 2	 4	 5	sample8	244	1786	0	61680	0	
1	 2	 4	 6	control	537	2079	514	67848	0	
1	 3	 1	 1	sample9	1395	4479	1284	151116	0	
