MicroVigene	 Version	 2501
Culture	en-US
9/27/2006 3:35:05 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	9769	13111	10280	267360	0	
1	 1	 1	 2	sample1	10014	13612	10794	284242	0	
1	 1	 1	 3	sample1	7544	10886	8480	253992	0	
1	 1	 1	 4	sample1	7440	10782	8480	264018	0	
1	 1	 1	 5	sample1	4812	8154	5140	243966	0	
1	 1	 1	 6	control	637	4235	514	143920	0	
1	 1	 2	 1	sample2	9541	12625	10024	228216	0	
1	 1	 2	 2	sample2	11985	15327	13620	247308	0	
1	 1	 2	 3	sample2	10071	13155	11566	265224	0	
1	 1	 2	 4	sample2	8261	11345	8738	240552	0	
1	 1	 2	 5	sample2	5910	9252	6168	297438	0	
1	 1	 2	 6	control	7254	10852	7710	273448	0	
1	 1	 3	 1	sample3	13007	16091	14136	212796	0	
1	 1	 3	 2	sample3	11315	14399	13364	240552	0	
1	 1	 3	 3	sample3	9698	12782	11308	255972	0	
1	 1	 3	 4	sample3	7604	10688	8224	215880	0	
1	 1	 3	 5	sample3	5702	8786	5654	268308	0	
1	 1	 3	 6	control	1295	4637	1284	170442	0	
1	 1	 4	 1	sample4	11193	13763	13364	205600	0	
1	 1	 4	 2	sample4	9674	12502	10536	214928	0	
1	 1	 4	 3	sample4	8062	10890	8480	220584	0	
1	 1	 4	 4	sample4	5458	8286	5140	212100	0	
1	 1	 4	 5	sample4	2926	6010	3084	240552	0	
1	 1	 4	 6	control	4222	7306	4112	188124	0	
1	 2	 1	 1	sample5	13267	16607	13878	300600	0	
1	 2	 1	 2	sample5	13056	16654	13878	277046	0	
1	 2	 1	 3	sample5	10452	14050	11050	295036	0	
1	 2	 1	 4	sample5	8515	12113	9252	291438	0	
1	 2	 1	 5	sample5	7935	11275	8738	260520	0	
1	 2	 1	 6	control	848	4446	770	143920	0	
1	 2	 2	 1	sample6	13455	16795	15420	237140	0	
1	 2	 2	 2	sample6	12062	15402	12080	243820	0	
1	 2	 2	 3	sample6	11739	15079	11308	277220	0	
1	 2	 2	 4	sample6	10982	14322	11822	283900	0	
1	 2	 2	 5	sample6	8405	11745	8224	280560	0	
1	 2	 2	 6	control	7084	10424	7454	313960	0	
