MicroVigene	 Version	 2501
Culture	en-US
9/27/2006 4:19:42 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	915	2971	770	84296	0	
1	 1	 1	 2	sample1	1022	3592	770	118220	0	
1	 1	 1	 3	sample1	308	3392	256	123360	0	
1	 1	 1	 4	sample1	732	3816	770	123360	0	
1	 1	 1	 5	sample1	443	3527	514	123360	0	
1	 1	 1	 6	control	90.4	3430	0	133600	0	
1	 1	 2	 1	sample2	1038	2580	1028	75558	0	
1	 1	 2	 2	sample2	1702	4014	1286	115600	0	
1	 1	 2	 3	sample2	893	3463	770	102800	0	
1	 1	 2	 4	sample2	348	3174	258	113040	0	
1	 1	 2	 5	sample2	245	3071	258	113040	0	
1	 1	 2	 6	control	922	4006	1028	135696	0	
1	 1	 3	 1	sample3	1487	2771	1286	83460	0	
1	 1	 3	 2	sample3	1091	2889	1028	88102	0	
1	 1	 3	 3	sample3	905	2961	770	90464	0	
1	 1	 3	 4	sample3	637	2949	514	92480	0	
1	 1	 3	 5	sample3	335	2647	258	92480	0	
1	 1	 3	 6	control	63.8	2634	0	102800	0	
1	 1	 4	 1	sample4	2195	3223	2056	83268	0	
1	 1	 4	 2	sample4	1840	3382	1798	75558	0	
1	 1	 4	 3	sample4	1264	3062	1286	86304	0	
1	 1	 4	 4	sample4	359	2415	256	82240	0	
1	 1	 4	 5	sample4	334	2390	514	82240	0	
1	 1	 4	 6	control	736	3048	772	50864	0	
1	 2	 1	 1	sample5	2184	5012	1798	294112	0	
1	 2	 1	 2	sample5	2652	5480	2570	141400	0	
1	 2	 1	 3	sample5	1641	4469	1542	138572	0	
1	 2	 1	 4	sample5	1096	3666	1028	136210	0	
1	 2	 1	 5	sample5	1256	3826	1286	110510	0	
1	 2	 1	 6	control	290	2860	258	102800	0	
