MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 1:58:49 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1812	3558	1744	66348	0	
1	 1	 1	 2	sample1	1616	3502	1662	88642	0	
1	 1	 1	 3	sample1	1505	3329	1474	54720	0	
1	 1	 1	 4	sample1	680	2456	608	60384	0	
1	 1	 1	 5	sample1	634	2322	412	57392	0	
1	 1	 1	 6	control	226	1832	178	54604	0	
1	 1	 2	 1	sample2	2448	3978	2388	102510	0	
1	 1	 2	 2	sample2	3253	4967	3206	61704	0	
1	 1	 2	 3	sample2	2211	3801	2044	82680	0	
1	 1	 2	 4	sample2	1506	3054	1554	61920	0	
1	 1	 2	 5	sample2	1151	2593	1206	31724	0	
1	 1	 2	 6	control	2167	3471	2192	48248	0	
1	 1	 3	 1	sample3	1650	2980	1572	69160	0	
1	 1	 3	 2	sample3	1842	3210	1786	68400	0	
1	 1	 3	 3	sample3	1556	2874	1506	61946	0	
1	 1	 3	 4	sample3	1025	2329	944	45640	0	
1	 1	 3	 5	sample3	668	1844	686	39984	0	
1	 1	 3	 6	control	204	1290	58	39096	0	
1	 1	 4	 1	sample4	2824	3816	2754	66464	0	
1	 1	 4	 2	sample4	1952	3042	1974	63220	0	
1	 1	 4	 3	sample4	1724	2844	1766	57120	0	
1	 1	 4	 4	sample4	933	2099	914	48972	0	
1	 1	 4	 5	sample4	874	1922	782	41920	0	
1	 1	 4	 6	control	1539	2497	1638	43110	0	
1	 2	 1	 1	sample5	1623	4253	1518	92050	0	
1	 2	 1	 2	sample5	2034	4672	2140	131900	0	
1	 2	 1	 3	sample5	801	3177	796	85536	0	
1	 2	 1	 4	sample5	861	3029	874	78048	0	
1	 2	 1	 5	sample5	800	2840	798	75480	0	
1	 2	 1	 6	control	294	2170	230	63784	0	
1	 2	 2	 1	sample6	2876	5004	2868	202160	0	
1	 2	 2	 2	sample6	1897	4201	1720	214272	0	
1	 2	 2	 3	sample6	1531	3557	1420	107378	0	
1	 2	 2	 4	sample6	1551	3393	1546	156570	0	
1	 2	 2	 5	sample6	1432	3072	1512	85280	0	
1	 2	 2	 6	control	2199	3727	2250	58064	0	
1	 2	 3	 1	sample7	1584	3500	1460	97716	0	
1	 2	 3	 2	sample7	1443	3347	1384	89488	0	
1	 2	 3	 3	sample7	1293	3035	1290	130650	0	
1	 2	 3	 4	sample7	1080	2592	1104	57456	0	
1	 2	 3	 5	sample7	828	2246	792	21270	0	
1	 2	 3	 6	control	169	1385	116	41344	0	
1	 2	 4	 1	sample8	1622	3160	1496	36912	0	
1	 2	 4	 2	sample8	1192	2546	1162	102904	0	
1	 2	 4	 3	sample8	1424	2686	1438	100960	0	
1	 2	 4	 4	sample8	923	2157	930	49360	0	
1	 2	 4	 5	sample8	332	1530	262	47920	0	
1	 2	 4	 6	control	865	1851	688	33524	0	
1	 3	 1	 1	sample9	2209	4049	2206	117760	0	
1	 3	 1	 2	sample9	2842	4754	2768	47800	0	
1	 3	 1	 3	sample9	1667	3549	1632	75280	0	
1	 3	 1	 4	sample9	1396	3210	1370	72560	0	
1	 3	 1	 5	sample9	1001	2735	1012	62424	0	
1	 3	 1	 6	control	408	2192	224	64224	0	
1	 3	 2	 1	sample10	2157	3695	1786	49216	0	
1	 3	 2	 2	sample10	2792	4300	2784	34684	0	
1	 3	 2	 3	sample10	1642	3150	1632	73892	0	
1	 3	 2	 4	sample10	745	2213	680	52848	0	
1	 3	 2	 5	sample10	641	1977	616	45424	0	
1	 3	 2	 6	control	1801	3097	1776	51840	0	
1	 3	 3	 1	sample11	3728	5096	3794	80712	0	
1	 3	 3	 2	sample11	2469	3927	2624	93312	0	
1	 3	 3	 3	sample11	2685	4025	2804	81740	0	
1	 3	 3	 4	sample11	1426	2674	1528	49920	0	
1	 3	 3	 5	sample11	1007	2109	1100	45182	0	
1	 3	 3	 6	control	175	1221	104	37656	0	
1	 3	 4	 1	sample12	2981	4173	2056	69136	0	
1	 3	 4	 2	sample12	2032	3154	1786	71808	0	
1	 3	 4	 3	sample12	1588	2680	1478	43680	0	
1	 3	 4	 4	sample12	1321	2295	1334	65258	0	
1	 3	 4	 5	sample12	1702	2678	1542	22448	0	
1	 3	 4	 6	control	860	1884	728	34816	0	
1	 4	 1	 1	sample13	3405	5557	3336	176464	0	
1	 4	 1	 2	sample13	1956	4258	2074	92080	0	
1	 4	 1	 3	sample13	1989	4423	2018	97360	0	
1	 4	 1	 4	sample13	1125	3293	1158	86720	0	
1	 4	 1	 5	sample13	1125	3073	1048	85712	0	
1	 4	 1	 6	control	743	2405	454	36564	0	
1	 4	 2	 1	sample14	2881	4643	2874	42288	0	
1	 4	 2	 2	sample14	1362	3678	1422	120432	0	
1	 4	 2	 3	sample14	602	2808	570	75004	0	
1	 4	 2	 4	sample14	701	2567	684	67176	0	
1	 4	 2	 5	sample14	810	2242	782	57280	0	
1	 4	 2	 6	control	2198	3518	2168	51480	0	
1	 4	 3	 1	sample15	1464	2896	1424	68736	0	
1	 4	 3	 2	sample15	1034	2638	1036	54536	0	
1	 4	 3	 3	sample15	1236	2708	1148	50048	0	
1	 4	 3	 4	sample15	758	2126	798	46512	0	
1	 4	 3	 5	sample15	804	2124	732	30360	0	
1	 4	 3	 6	control	502	1578	468	36584	0	
1	 4	 4	 1	sample16	1730	2794	1738	50008	0	
1	 4	 4	 2	sample16	1582	2728	1512	42402	0	
1	 4	 4	 3	sample16	1390	2610	1508	53680	0	
1	 4	 4	 4	sample16	1330	2452	1366	42636	0	
1	 4	 4	 5	sample16	838	1838	856	17000	0	
1	 4	 4	 6	control	985	1933	870	32232	0	
1	 5	 1	 1	sample17	4635	6509	4702	144298	0	
1	 5	 1	 2	sample17	3625	5507	3992	141150	0	
1	 5	 1	 3	sample17	1909	3661	2014	70080	0	
1	 5	 1	 4	sample17	1650	3170	1586	68400	0	
1	 5	 1	 5	sample17	1285	2787	1318	55574	0	
1	 5	 1	 6	control	314	1752	404	51768	0	
1	 5	 2	 1	sample18	881	2311	724	57200	0	
1	 5	 2	 2	sample18	1715	3211	1674	74800	0	
1	 5	 2	 3	sample18	1494	2828	1550	65366	0	
1	 5	 2	 4	sample18	722	1918	686	40664	0	
1	 5	 2	 5	sample18	403	1529	356	45040	0	
1	 5	 2	 6	control	2092	3200	2156	49860	0	
1	 5	 3	 1	sample19	2151	3459	2144	65400	0	
1	 5	 3	 2	sample19	1907	3179	2058	91584	0	
1	 5	 3	 3	sample19	1719	2857	1758	73970	0	
1	 5	 3	 4	sample19	1429	2459	1478	42230	0	
1	 5	 3	 5	sample19	552	1582	504	35020	0	
1	 5	 3	 6	control	366	1354	270	33592	0	
1	 5	 4	 1	sample20	2051	2993	2036	21666	0	
1	 5	 4	 2	sample20	1414	2320	1324	32616	0	
1	 5	 4	 3	sample20	778	1756	904	35208	0	
1	 5	 4	 4	sample20	425	1353	420	31552	0	
1	 5	 4	 5	sample20	104	1040	-3.99	31824	0	
1	 5	 4	 6	control	573	1583	508	34340	0	
1	 6	 1	 1	sample21	1653	3791	1676	62002	0	
1	 6	 1	 2	sample21	992	2880	1022	75520	0	
1	 6	 1	 3	sample21	1077	2779	1042	68080	0	
1	 6	 1	 4	sample21	1054	2730	1094	60336	0	
1	 6	 1	 5	sample21	1067	2617	1064	55800	0	
1	 6	 1	 6	control	483	2039	410	56016	0	
1	 6	 2	 1	sample22	2026	4176	1946	77400	0	
1	 6	 2	 2	sample22	2982	4874	3166	132440	0	
1	 6	 2	 3	sample22	4260	5826	4622	147204	0	
1	 6	 2	 4	sample22	1072	2458	948	55440	0	
1	 6	 2	 5	sample22	2284	3632	2338	57964	0	
1	 6	 2	 6	control	2761	4039	2818	34506	0	
1	 6	 3	 1	sample23	1361	2991	1472	76610	0	
1	 6	 3	 2	sample23	168	1798	68	58680	0	
1	 6	 3	 3	sample23	1327	2751	1352	56960	0	
1	 6	 3	 4	sample23	1114	2364	1116	43750	0	
1	 6	 3	 5	sample23	567	1721	480	41544	0	
1	 6	 3	 6	control	284	1422	232	38692	0	
1	 6	 4	 1	sample24	2690	3920	2574	97170	0	
1	 6	 4	 2	sample24	2040	3354	2134	69642	0	
1	 6	 4	 3	sample24	1532	2882	1542	66150	0	
1	 6	 4	 4	sample24	844	2024	950	57820	0	
1	 6	 4	 5	sample24	572	1650	550	36652	0	
1	 6	 4	 6	control	1072	2090	986	40720	0	
1	 7	 1	 1	sample25	3669	6155	3428	62150	0	
1	 7	 1	 2	sample25	3883	6173	3916	116790	0	
1	 7	 1	 3	sample25	3413	5333	3322	57600	0	
1	 7	 1	 4	sample25	1080	2920	1068	73600	0	
1	 7	 1	 5	sample25	872	2600	814	62208	0	
1	 7	 1	 6	control	371	1885	344	54504	0	
1	 7	 2	 1	sample26	3926	5994	3758	250228	0	
1	 7	 2	 2	sample26	3885	5701	4256	127120	0	
1	 7	 2	 3	sample26	3013	4627	3026	142032	0	
1	 7	 2	 4	sample26	2190	3644	2282	107596	0	
1	 7	 2	 5	sample26	1351	2709	1252	55678	0	
1	 7	 2	 6	control	2736	3930	2790	47760	0	
1	 7	 3	 1	sample27	797	2325	714	61120	0	
1	 7	 3	 2	sample27	825	2279	756	58160	0	
1	 7	 3	 3	sample27	708	2036	604	53120	0	
1	 7	 3	 4	sample27	633	1869	556	49440	0	
1	 7	 3	 5	sample27	351	1491	150	38760	0	
1	 7	 3	 6	control	464	1456	358	33728	0	
1	 7	 4	 1	sample28	2378	3656	2334	98406	0	
1	 7	 4	 2	sample28	1527	2711	1558	72224	0	
