MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 3:08:58 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1067	4151	1028	141864	0	
1	 1	 1	 2	sample1	372	2942	256	102800	0	
1	 1	 1	 3	sample1	636	2948	514	83232	0	
1	 1	 1	 4	sample1	544	2856	514	101728	0	
1	 1	 1	 5	sample1	38.2	2094	0	82240	0	
1	 1	 1	 6	control	276	1818	256	61680	0	
1	 1	 2	 1	sample2	2077	5417	2056	167000	0	
1	 1	 2	 2	sample2	1285	3597	1286	117912	0	
1	 1	 2	 3	sample2	761	3073	772	117912	0	
1	 1	 2	 4	sample2	565	2621	514	82240	0	
1	 1	 2	 5	sample2	219	2017	258	71920	0	
1	 1	 2	 6	control	2062	3604	2056	121818	0	
1	 1	 3	 1	sample3	1484	4568	1284	123360	0	
1	 1	 3	 2	sample3	1196	3766	1284	133640	0	
1	 1	 3	 3	sample3	1518	3830	1542	122536	0	
1	 1	 3	 4	sample3	681	2737	514	82240	0	
1	 1	 3	 5	sample3	643	2441	514	93496	0	
1	 1	 3	 6	control	244	1786	256	30840	0	
1	 1	 4	 1	sample4	3036	5092	2826	100744	0	
1	 1	 4	 2	sample4	1667	4237	1542	185040	0	
1	 1	 4	 3	sample4	1763	3819	1798	102800	0	
1	 1	 4	 4	sample4	1247	3045	1286	95294	0	
1	 1	 4	 5	sample4	1038	2836	772	93496	0	
1	 1	 4	 6	control	1526	3068	1284	129528	0	
1	 2	 1	 1	sample5	2072	4642	2056	123360	0	
1	 2	 1	 2	sample5	2196	4766	2056	107940	0	
1	 2	 1	 3	sample5	1548	4118	1542	100230	0	
1	 2	 1	 4	sample5	963	3533	1028	102800	0	
1	 2	 1	 5	sample5	707	3019	772	92480	0	
1	 2	 1	 6	control	276	2332	256	82240	0	
1	 2	 2	 1	sample6	673	3243	770	128500	0	
1	 2	 2	 2	sample6	928	3240	772	106352	0	
1	 2	 2	 3	sample6	801	3113	772	80920	0	
1	 2	 2	 4	sample6	539	2595	514	82240	0	
1	 2	 2	 5	sample6	515	2313	514	71920	0	
1	 2	 2	 6	control	2063	3861	2056	142042	0	
1	 2	 3	 1	sample7	1683	3995	1800	122536	0	
1	 2	 3	 2	sample7	1605	3661	1284	108968	0	
1	 2	 3	 3	sample7	910	2966	770	98688	0	
1	 2	 3	 4	sample7	984	2782	1028	82708	0	
1	 2	 3	 5	sample7	571	2113	514	61680	0	
1	 2	 3	 6	control	264	1548	258	51360	0	
1	 2	 4	 1	sample8	1159	3471	1028	117912	0	
1	 2	 4	 2	sample8	922	2978	1028	80184	0	
1	 2	 4	 3	sample8	551	2607	514	98688	0	
1	 2	 4	 4	sample8	271	2069	258	71920	0	
1	 2	 4	 5	sample8	995	2537	770	37008	0	
1	 2	 4	 6	control	1075	2359	1028	28248	0	
1	 3	 1	 1	sample9	2467	5037	2312	102800	0	
1	 3	 1	 2	sample9	1884	4454	2056	123360	0	
