MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 4:44:19 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	6443	8757	6938	189748	0	
1	 1	 1	 2	sample1	2892	5462	2570	133640	0	
1	 1	 1	 3	sample1	5260	7316	5398	168592	0	
1	 1	 1	 4	sample1	5987	7529	6682	131070	0	
1	 1	 1	 5	sample1	5013	6813	5140	149400	0	
1	 1	 1	 6	control	186	2500	256	92560	0	
1	 1	 2	 1	sample2	9260	12344	9766	222048	0	
1	 1	 2	 2	sample2	7468	10552	7710	225132	0	
1	 1	 2	 3	sample2	7665	10493	8480	246036	0	
1	 1	 2	 4	sample2	9161	11731	8996	195320	0	
1	 1	 2	 5	sample2	7850	10678	8224	149884	0	
1	 1	 2	 6	control	6935	11305	7452	353970	0	
1	 1	 3	 1	sample3	9656	13512	8994	424160	0	
1	 1	 3	 2	sample3	9756	13354	10794	366996	0	
1	 1	 3	 3	sample3	9966	13822	11822	331616	0	
1	 1	 3	 4	sample3	9295	13407	8738	398864	0	
1	 1	 3	 5	sample3	8744	12600	9766	316192	0	
1	 1	 3	 6	control	-886.19	3226	-769.99	164480	0	
1	 1	 4	 1	sample4	8877	13503	8996	490356	0	
1	 1	 4	 2	sample4	8345	12715	9252	528770	0	
1	 1	 4	 3	sample4	8643	12755	9766	419424	0	
1	 1	 4	 4	sample4	9036	12634	9766	320222	0	
1	 1	 4	 5	sample4	8532	12644	9252	316624	0	
1	 1	 4	 6	control	8021	13161	8224	318680	0	
1	 2	 1	 1	sample5	16343	21227	17217	229548	0	
1	 2	 1	 2	sample5	11205	14033	11822	367640	0	
1	 2	 1	 3	sample5	10588	12902	11564	252226	0	
1	 2	 1	 4	sample5	10267	12323	12336	193264	0	
1	 2	 1	 5	sample5	9445	11501	10794	164480	0	
1	 2	 1	 6	control	116	2686	0	102800	0	
1	 2	 2	 1	sample6	9981	15121	11308	436900	0	
1	 2	 2	 2	sample6	8140	12510	8994	375820	0	
1	 2	 2	 3	sample6	7253	10851	7454	359800	0	
1	 2	 2	 4	sample6	7270	10354	7454	292980	0	
1	 2	 2	 5	sample6	6206	9290	6682	292980	0	
1	 2	 2	 6	control	7500	11356	7710	273776	0	
1	 2	 3	 1	sample7	11234	16632	11308	761118	0	
1	 2	 3	 2	sample7	10906	15532	11566	481104	0	
1	 2	 3	 3	sample7	10662	14774	11308	365968	0	
1	 2	 3	 4	sample7	10122	13720	11822	291438	0	
1	 2	 3	 5	sample7	8137	11221	7968	289896	0	
1	 2	 3	 6	control	-861.49	2481	-1027.99	133680	0	
1	 2	 4	 1	sample8	16032	21944	16961	307424	0	
1	 2	 4	 2	sample8	10222	15106	10794	439560	0	
1	 2	 4	 3	sample8	8858	12456	8738	424564	0	
1	 2	 4	 4	sample8	7602	10686	8482	255972	0	
1	 2	 4	 5	sample8	6213	9297	6940	249804	0	
1	 2	 4	 6	control	3880	7478	3598	190694	0	
1	 3	 1	 1	sample9	10473	13813	9766	320640	0	
1	 3	 1	 2	sample9	9261	12601	8738	307280	0	
1	 3	 1	 3	sample9	10810	14150	12594	223780	0	
1	 3	 1	 4	sample9	10880	13706	12080	194994	0	
1	 3	 1	 5	sample9	9107	11677	10022	169620	0	
1	 3	 1	 6	control	450	3276	514	113040	0	
1	 3	 2	 1	sample10	11583	16209	13620	314568	0	
1	 3	 2	 2	sample10	11136	14990	11822	292904	0	
1	 3	 2	 3	sample10	10900	14498	12078	269850	0	
1	 3	 2	 4	sample10	9356	12954	9766	248262	0	
1	 3	 2	 5	sample10	8362	11960	9252	233870	0	
1	 3	 2	 6	control	8605	12203	10022	223076	0	
1	 3	 3	 1	sample11	9354	13466	10280	267280	0	
1	 3	 3	 2	sample11	10087	13427	9766	217100	0	
1	 3	 3	 3	sample11	8378	11462	9252	209712	0	
1	 3	 3	 4	sample11	6729	9555	6168	172386	0	
1	 3	 3	 5	sample11	4745	7315	4882	154200	0	
1	 3	 3	 6	control	-462.09	2364	-513.99	113040	0	
1	 3	 4	 1	sample12	15810	19922	16190	213824	0	
1	 3	 4	 2	sample12	9404	12744	10024	283900	0	
