MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 5:22:04 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	777	3605	770	113120	0	
1	 1	 1	 2	sample1	-598.04	2230	-513.99	113120	0	
1	 1	 1	 3	sample1	617	3187	772	102800	0	
1	 1	 1	 4	sample1	367	2937	514	102800	0	
1	 1	 1	 5	sample1	193	2763	258	102800	0	
1	 1	 1	 6	control	-288.49	2282	-255.99	102800	0	
1	 1	 2	 1	sample2	669	3753	514	123360	0	
1	 1	 2	 2	sample2	1106	3676	1028	102800	0	
1	 1	 2	 3	sample2	213	2783	258	102800	0	
1	 1	 2	 4	sample2	-89.34	2481	0	102800	0	
1	 1	 2	 5	sample2	6.9	2577	0	102800	0	
1	 1	 2	 6	control	579	3149	514	102800	0	
1	 1	 3	 1	sample3	6659	10001	7710	267360	0	
1	 1	 3	 2	sample3	6813	9897	7454	237468	0	
1	 1	 3	 3	sample3	7799	10627	8224	203616	0	
1	 1	 3	 4	sample3	7827	10397	8482	169620	0	
1	 1	 3	 5	sample3	3994	6308	4368	192062	0	
1	 1	 3	 6	control	-892.74	1677	-1027.99	102800	0	
1	 1	 4	 1	sample4	7208	10550	7966	264018	0	
1	 1	 4	 2	sample4	6268	9352	6940	302232	0	
1	 1	 4	 3	sample4	6150	8978	6424	243208	0	
1	 1	 4	 4	sample4	4385	7213	4368	260176	0	
1	 1	 4	 5	sample4	3240	5810	2828	228730	0	
1	 1	 4	 6	control	270	2840	258	102800	0	
1	 2	 1	 1	sample5	8052	10622	8224	262140	0	
1	 2	 1	 2	sample5	9062	11632	10280	254430	0	
1	 2	 1	 3	sample5	8514	11084	9766	215880	0	
1	 2	 1	 4	sample5	8124	10694	8994	218450	0	
1	 2	 1	 5	sample5	7308	9878	8224	205600	0	
1	 2	 1	 6	control	173	2743	256	102800	0	
1	 2	 2	 1	sample6	1309	3879	1542	136210	0	
1	 2	 2	 2	sample6	1408	3978	1284	133640	0	
1	 2	 2	 3	sample6	1406	3976	1284	136210	0	
1	 2	 2	 4	sample6	423	2993	770	102800	0	
1	 2	 2	 5	sample6	778	3090	772	92480	0	
1	 2	 2	 6	control	1151	3463	1028	92480	0	
1	 2	 3	 1	sample7	6116	8942	6426	262818	0	
1	 2	 3	 2	sample7	7469	10295	7710	237384	0	
1	 2	 3	 3	sample7	7142	9712	7710	197890	0	
1	 2	 3	 4	sample7	6637	9207	7452	192750	0	
1	 2	 3	 5	sample7	4834	7146	4884	226576	0	
1	 2	 3	 6	control	-494.09	1818	-513.99	92480	0	
1	 2	 4	 1	sample8	5186	7756	4626	282700	0	
1	 2	 4	 2	sample8	3148	5718	3084	195320	0	
1	 2	 4	 3	sample8	4335	6905	4112	280130	0	
1	 2	 4	 4	sample8	3641	6211	3854	197890	0	
1	 2	 4	 5	sample8	3437	6007	3340	192750	0	
1	 2	 4	 6	control	334	2904	256	102800	0	
1	 3	 1	 1	sample9	9931	12759	11050	192304	0	
1	 3	 1	 2	sample9	10507	13335	12078	197960	0	
1	 3	 1	 3	sample9	10966	13794	12849	206444	0	
1	 3	 1	 4	sample9	10473	13301	11822	195132	0	
1	 3	 1	 5	sample9	9623	12193	10794	185040	0	
1	 3	 1	 6	control	431	3001	514	102800	0	
1	 3	 2	 1	sample10	8016	10586	8482	161910	0	
1	 3	 2	 2	sample10	8817	11387	8738	151630	0	
1	 3	 2	 3	sample10	8824	11394	10538	185040	0	
1	 3	 2	 4	sample10	8867	11437	10024	169620	0	
1	 3	 2	 5	sample10	7992	10306	8480	159666	0	
1	 3	 2	 6	control	1598	3912	1284	178178	0	
1	 3	 3	 1	sample11	1383	3697	1284	157352	0	
1	 3	 3	 2	sample11	1848	4162	1542	168922	0	
1	 3	 3	 3	sample11	1785	4099	1798	136526	0	
1	 3	 3	 4	sample11	1385	3441	1542	100744	0	
1	 3	 3	 5	sample11	579	2635	514	82240	0	
1	 3	 3	 6	control	-282.19	1774	-255.99	82240	0	
1	 3	 4	 1	sample12	1737	4051	2056	155038	0	
1	 3	 4	 2	sample12	959	3273	770	173550	0	
1	 3	 4	 3	sample12	1689	4003	1798	108758	0	
1	 3	 4	 4	sample12	720	2776	772	82240	0	
1	 3	 4	 5	sample12	534	2590	514	82240	0	
1	 3	 4	 6	control	746	2802	772	82240	0	
1	 4	 1	 1	sample13	12970	16568	14133	183498	0	
1	 4	 1	 2	sample13	11077	14417	13621	293920	0	
1	 4	 1	 3	sample13	10731	14071	13363	270540	0	
1	 4	 1	 4	sample13	10762	13846	12078	231300	0	
1	 4	 1	 5	sample13	8468	11294	9252	214776	0	
1	 4	 1	 6	control	617	3443	514	113040	0	
1	 4	 2	 1	sample14	10117	13201	11822	225132	0	
1	 4	 2	 2	sample14	8545	11885	9252	257180	0	
1	 4	 2	 3	sample14	9466	12806	10538	260520	0	
1	 4	 2	 4	sample14	8628	11712	9252	268308	0	
1	 4	 2	 5	sample14	7793	10877	7452	255972	0	
1	 4	 2	 6	control	1419	4503	1284	123360	0	
1	 4	 3	 1	sample15	1729	4555	1800	113040	0	
1	 4	 3	 2	sample15	1684	4510	1542	113040	0	
1	 4	 3	 3	sample15	1021	4105	1028	123360	0	
1	 4	 3	 4	sample15	578	3662	514	123360	0	
1	 4	 3	 5	sample15	37.9	3122	0	123360	0	
1	 4	 3	 6	control	-192.34	3148	-255.99	133600	0	
1	 4	 4	 1	sample16	1209	4035	1286	113040	0	
1	 4	 4	 2	sample16	572	3398	514	113040	0	
1	 4	 4	 3	sample16	1035	3861	1028	113040	0	
1	 4	 4	 4	sample16	437	3263	514	113040	0	
1	 4	 4	 5	sample16	334	3418	256	123360	0	
1	 4	 4	 6	control	469	3809	514	133600	0	
1	 5	 1	 1	sample17	1999	4055	2056	174760	0	
1	 5	 1	 2	sample17	2124	4180	2056	187096	0	
1	 5	 1	 3	sample17	1675	3989	1798	120328	0	
1	 5	 1	 4	sample17	1196	3252	1286	82240	0	
1	 5	 1	 5	sample17	566	2622	514	82240	0	
1	 5	 1	 6	control	173	2487	0	92560	0	
1	 5	 2	 1	sample18	8308	10878	8482	190180	0	
1	 5	 2	 2	sample18	8417	10987	8996	185040	0	
1	 5	 2	 3	sample18	8237	10551	8738	180492	0	
1	 5	 2	 4	sample18	6840	9410	6682	251860	0	
1	 5	 2	 5	sample18	5910	8224	5654	222144	0	
1	 5	 2	 6	control	1118	3432	1028	189748	0	
1	 5	 3	 1	sample19	9096	11924	10536	220584	0	
1	 5	 3	 2	sample19	9968	12796	11822	254520	0	
1	 5	 3	 3	sample19	9292	12120	11050	195132	0	
1	 5	 3	 4	sample19	8299	11127	9252	212100	0	
1	 5	 3	 5	sample19	6001	8315	6682	256854	0	
1	 5	 3	 6	control	-321.74	1992	-257.99	92560	0	
1	 5	 4	 1	sample20	7886	10714	8480	254520	0	
1	 5	 4	 2	sample20	5859	8687	5910	279972	0	
1	 5	 4	 3	sample20	5908	8736	5396	265832	0	
1	 5	 4	 4	sample20	5377	8205	5396	220584	0	
1	 5	 4	 5	sample20	4149	6719	4112	179900	0	
1	 5	 4	 6	control	687	3001	770	92560	0	
1	 6	 1	 1	sample21	8536	10850	9508	224458	0	
1	 6	 1	 2	sample21	9825	12139	11308	217516	0	
1	 6	 1	 3	sample21	8925	11239	9766	205946	0	
1	 6	 1	 4	sample21	7966	10280	8224	199004	0	
1	 6	 1	 5	sample21	5801	8115	6168	185120	0	
1	 6	 1	 6	control	269	2583	256	92560	0	
1	 6	 2	 1	sample22	1456	3770	1284	236028	0	
1	 6	 2	 2	sample22	2593	4907	2570	178178	0	
1	 6	 2	 3	sample22	2473	4787	2312	178178	0	
1	 6	 2	 4	sample22	1945	4001	1800	152144	0	
1	 6	 2	 5	sample22	1150	3464	1284	92560	0	
1	 6	 2	 6	control	1407	3721	1542	141154	0	
1	 6	 3	 1	sample23	1144	3200	1286	82240	0	
1	 6	 3	 2	sample23	1054	3110	1028	82240	0	
1	 6	 3	 3	sample23	1022	3078	772	82240	0	
1	 6	 3	 4	sample23	302	2358	258	82240	0	
1	 6	 3	 5	sample23	39	2095	0	82240	0	
1	 6	 3	 6	control	-31.59	2024	0	82240	0	
1	 6	 4	 1	sample24	1593	3907	1542	92560	0	
1	 6	 4	 2	sample24	958	3014	1028	82240	0	
1	 6	 4	 3	sample24	829	2885	772	82240	0	
1	 6	 4	 4	sample24	361	2417	258	82240	0	
1	 6	 4	 5	sample24	386	2442	258	82240	0	
1	 6	 4	 6	control	456	2770	256	92560	0	
1	 7	 1	 1	sample25	11124	13436	12080	106352	0	
1	 7	 1	 2	sample25	10490	12802	12849	189584	0	
1	 7	 1	 3	sample25	10286	12598	12336	189584	0	
1	 7	 1	 4	sample25	9216	11528	10024	182648	0	
1	 7	 1	 5	sample25	8180	10236	7966	158312	0	
1	 7	 1	 6	control	122	2178	0	82240	0	
1	 7	 2	 1	sample26	989	3045	770	82240	0	
1	 7	 2	 2	sample26	1394	3450	1284	82240	0	
1	 7	 2	 3	sample26	860	2916	770	82240	0	
1	 7	 2	 4	sample26	295	2351	256	82240	0	
1	 7	 2	 5	sample26	18.9	2075	0	82240	0	
1	 7	 2	 6	control	1366	3422	1284	78128	0	
1	 7	 3	 1	sample27	3035	5091	2312	207656	0	
1	 7	 3	 2	sample27	5594	7650	5910	160368	0	
1	 7	 3	 3	sample27	5275	7331	4882	143920	0	
1	 7	 3	 4	sample27	3358	5414	3084	150088	0	
1	 7	 3	 5	sample27	2871	4669	3084	95294	0	
1	 7	 3	 6	control	-572.24	1484	-513.99	82240	0	
1	 7	 4	 1	sample28	1151	3207	1284	98688	0	
1	 7	 4	 2	sample28	462	2518	514	82240	0	
1	 7	 4	 3	sample28	-173.94	1882	-257.99	82240	0	
1	 7	 4	 4	sample28	251	2049	514	71920	0	
1	 7	 4	 5	sample28	96.9	1895	258	71920	0	
