MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 6:05:32 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	508	3334	514	113040	0	
1	 1	 1	 2	sample1	128	2698	0	102800	0	
1	 1	 1	 3	sample1	76.6	2647	0	102800	0	
1	 1	 1	 4	sample1	604	3174	514	95090	0	
1	 1	 1	 5	sample1	302	2872	256	102800	0	
1	 1	 1	 6	control	444	2756	514	92480	0	
1	 1	 2	 1	sample2	303	2615	258	92480	0	
1	 1	 2	 2	sample2	733	2789	514	98688	0	
1	 1	 2	 3	sample2	398	2454	514	82240	0	
1	 1	 2	 4	sample2	425	2223	258	71920	0	
1	 1	 2	 5	sample2	264	2062	258	71920	0	
1	 1	 2	 6	control	914	2712	1028	64728	0	
1	 1	 3	 1	sample3	781	2579	772	93496	0	
1	 1	 3	 2	sample3	712	2254	770	67848	0	
1	 1	 3	 3	sample3	549	2091	514	66306	0	
1	 1	 3	 4	sample3	218	1760	256	61680	0	
1	 1	 3	 5	sample3	508	1792	514	51360	0	
1	 1	 3	 6	control	245	1529	258	51360	0	
1	 1	 4	 1	sample4	583	2125	514	74016	0	
1	 1	 4	 2	sample4	547	1831	514	60348	0	
1	 1	 4	 3	sample4	453	1737	514	59064	0	
1	 1	 4	 4	sample4	393	1677	514	24396	0	
1	 1	 4	 5	sample4	-83.04	1201	0	51360	0	
1	 1	 4	 6	control	575	1603	514	25700	0	
1	 2	 1	 1	sample5	951	3263	1028	76296	0	
1	 2	 1	 2	sample5	697	3009	772	104040	0	
1	 2	 1	 3	sample5	471	2783	514	94792	0	
1	 2	 1	 4	sample5	552	2608	514	82240	0	
1	 2	 1	 5	sample5	748	2804	770	47288	0	
1	 2	 1	 6	control	295	2351	256	82240	0	
1	 2	 2	 1	sample6	801	2599	772	62930	0	
1	 2	 2	 2	sample6	733	2531	772	35960	0	
1	 2	 2	 3	sample6	321	1863	256	61680	0	
1	 2	 2	 4	sample6	301	1843	256	61680	0	
1	 2	 2	 5	sample6	442	1984	514	55512	0	
1	 2	 2	 6	control	694	2236	770	61680	0	
1	 2	 3	 1	sample7	717	2001	514	42372	0	
1	 2	 3	 2	sample7	651	1935	772	43656	0	
1	 2	 3	 3	sample7	392	1676	514	51360	0	
1	 2	 3	 4	sample7	322	1606	258	51360	0	
1	 2	 3	 5	sample7	270	1554	258	51360	0	
1	 2	 3	 6	control	225	1509	258	51360	0	
1	 2	 4	 1	sample8	404	1432	256	41120	0	
1	 2	 4	 2	sample8	468	1496	256	41120	0	
1	 2	 4	 3	sample8	301	1329	256	41120	0	
1	 2	 4	 4	sample8	586	1614	514	32896	0	
1	 2	 4	 5	sample8	476	1760	514	25680	0	
1	 2	 4	 6	control	494	1522	514	41120	0	
1	 3	 1	 1	sample9	616	3186	772	97660	0	
1	 3	 1	 2	sample9	696	3266	772	113080	0	
1	 3	 1	 3	sample9	677	3247	772	118220	0	
1	 3	 1	 4	sample9	553	3123	514	102800	0	
1	 3	 1	 5	sample9	582	3152	514	48830	0	
1	 3	 1	 6	control	373	2943	258	102800	0	
1	 3	 2	 1	sample10	180	2236	258	82240	0	
1	 3	 2	 2	sample10	594	2650	514	59624	0	
