MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 1:42:54 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1616	3158	1542	80184	0	
1	 1	 1	 2	sample1	-339.94	1458	-255.99	71920	0	
1	 1	 1	 3	sample1	353	2409	256	82240	0	
1	 1	 1	 4	sample1	1361	3159	1286	79112	0	
1	 1	 1	 5	sample1	141	2197	256	82240	0	
1	 1	 1	 6	control	18.9	2075	0	82240	0	
1	 1	 2	 1	sample2	1961	4017	2056	162424	0	
1	 1	 2	 2	sample2	1713	4025	1800	233512	0	
1	 1	 2	 3	sample2	407	2463	514	108968	0	
1	 1	 2	 4	sample2	1368	3424	1028	106912	0	
1	 1	 2	 5	sample2	791	2847	770	104856	0	
1	 1	 2	 6	control	1983	4039	2056	166536	0	
1	 1	 3	 1	sample3	2544	5114	2570	287840	0	
1	 1	 3	 2	sample3	1651	3963	1800	120224	0	
1	 1	 3	 3	sample3	2413	4725	2056	83232	0	
1	 1	 3	 4	sample3	1403	3973	1284	95090	0	
1	 1	 3	 5	sample3	1077	3647	1028	239010	0	
1	 1	 3	 6	control	549	3119	514	92520	0	
1	 1	 4	 1	sample4	3071	6155	2826	191208	0	
1	 1	 4	 2	sample4	1781	4865	1798	228216	0	
1	 1	 4	 3	sample4	2110	5194	2056	160368	0	
1	 1	 4	 4	sample4	1906	4990	1798	265224	0	
1	 1	 4	 5	sample4	1862	4946	1798	163452	0	
1	 1	 4	 6	control	2366	5706	2570	260520	0	
1	 2	 1	 1	sample5	3072	4872	2826	158400	0	
1	 2	 1	 2	sample5	2245	4045	2312	144000	0	
1	 2	 1	 3	sample5	1222	2764	772	175788	0	
1	 2	 1	 4	sample5	1327	2613	1284	46296	0	
1	 2	 1	 5	sample5	704	1990	770	34722	0	
1	 2	 1	 6	control	290	1318	258	41120	0	
1	 2	 2	 1	sample6	1950	4006	2056	108968	0	
1	 2	 2	 2	sample6	1501	3557	1542	102800	0	
1	 2	 2	 3	sample6	306	2106	-257.99	64800	0	
1	 2	 2	 4	sample6	174	1716	258	61680	0	
1	 2	 2	 5	sample6	828	2114	770	51440	0	
1	 2	 2	 6	control	1574	2860	1542	100308	0	
1	 2	 3	 1	sample7	3859	6173	3340	122642	0	
1	 2	 3	 2	sample7	2393	4707	2312	118014	0	
1	 2	 3	 3	sample7	1794	3594	1798	93600	0	
1	 2	 3	 4	sample7	1034	2834	1028	73800	0	
1	 2	 3	 5	sample7	740	2282	772	63222	0	
1	 2	 3	 6	control	431	1973	514	61680	0	
1	 2	 4	 1	sample8	2910	6252	2570	133680	0	
1	 2	 4	 2	sample8	1985	4813	2056	113120	0	
1	 2	 4	 3	sample8	1751	4321	1542	136210	0	
1	 2	 4	 4	sample8	1331	3645	1028	101816	0	
1	 2	 4	 5	sample8	865	2921	772	67848	0	
1	 2	 4	 6	control	1245	3045	1284	82800	0	
1	 3	 1	 1	sample9	2275	3559	2314	101436	0	
1	 3	 1	 2	sample9	1579	2863	1800	109140	0	
1	 3	 1	 3	sample9	1759	3043	2056	73188	0	
1	 3	 1	 4	sample9	1460	2744	1542	64200	0	
1	 3	 1	 5	sample9	1071	2355	1028	53928	0	
1	 3	 1	 6	control	258	1542	258	51360	0	
1	 3	 2	 1	sample10	2028	3570	1798	117192	0	
1	 3	 2	 2	sample10	1894	3436	1798	115650	0	
1	 3	 2	 3	sample10	1172	2714	1284	112566	0	
1	 3	 2	 4	sample10	1689	2973	1800	26964	0	
1	 3	 2	 5	sample10	1255	2539	1286	43656	0	
1	 3	 2	 6	control	2012	3296	2056	66768	0	
1	 3	 3	 1	sample11	2720	4518	2570	142042	0	
1	 3	 3	 2	sample11	2371	4169	2314	129456	0	
1	 3	 3	 3	sample11	2157	3955	2314	82708	0	
1	 3	 3	 4	sample11	1430	3228	1542	86304	0	
1	 3	 3	 5	sample11	878	2676	1028	73718	0	
1	 3	 3	 6	control	398	1940	514	61680	0	
1	 3	 4	 1	sample12	3016	5328	2828	94792	0	
1	 3	 4	 2	sample12	2263	4575	2056	94792	0	
1	 3	 4	 3	sample12	2459	4771	2314	101728	0	
1	 3	 4	 4	sample12	1136	3448	1286	99416	0	
1	 3	 4	 5	sample12	482	2794	514	92480	0	
1	 3	 4	 6	control	2088	4144	1798	82240	0	
1	 4	 1	 1	sample13	2990	4274	2828	105288	0	
1	 4	 1	 2	sample13	2773	4057	2828	84744	0	
1	 4	 1	 3	sample13	2019	3303	2056	87312	0	
1	 4	 1	 4	sample13	1794	2822	1542	62708	0	
1	 4	 1	 5	sample13	1113	2141	1028	64764	0	
1	 4	 1	 6	control	269	1297	256	41120	0	
1	 4	 2	 1	sample14	2670	3954	2828	102720	0	
1	 4	 2	 2	sample14	1973	3257	2056	95016	0	
1	 4	 2	 3	sample14	1239	2523	1286	112992	0	
1	 4	 2	 4	sample14	1018	2302	1028	62916	0	
1	 4	 2	 5	sample14	1437	2465	1284	50372	0	
1	 4	 2	 6	control	1516	2800	1542	98868	0	
1	 4	 3	 1	sample15	1858	3400	1798	66306	0	
1	 4	 3	 2	sample15	992	2534	1028	77100	0	
1	 4	 3	 3	sample15	621	2163	514	77100	0	
1	 4	 3	 4	sample15	1051	2335	1028	57780	0	
1	 4	 3	 5	sample15	739	2023	772	51360	0	
1	 4	 3	 6	control	754	2038	772	19260	0	
1	 4	 4	 1	sample16	2712	4768	2570	96632	0	
1	 4	 4	 2	sample16	1898	3696	1800	107880	0	
1	 4	 4	 3	sample16	1673	3471	1542	95294	0	
1	 4	 4	 4	sample16	924	2466	1028	72474	0	
1	 4	 4	 5	sample16	475	2017	514	61680	0	
1	 4	 4	 6	control	592	2390	514	71920	0	
1	 5	 1	 1	sample17	2072	3100	2056	85324	0	
1	 5	 1	 2	sample17	1546	2574	1542	84296	0	
1	 5	 1	 3	sample17	1644	2672	1542	54484	0	
1	 5	 1	 4	sample17	1153	2439	1284	68158	0	
1	 5	 1	 5	sample17	635	1921	514	68158	0	
1	 5	 1	 6	control	-38.99	1247	0	51440	0	
1	 5	 2	 1	sample18	1935	2963	1800	54484	0	
1	 5	 2	 2	sample18	1765	3051	1798	68158	0	
1	 5	 2	 3	sample18	1334	2620	1284	60442	0	
1	 5	 2	 4	sample18	953	2239	1028	61728	0	
1	 5	 2	 5	sample18	660	2202	772	70932	0	
1	 5	 2	 6	control	2165	3707	2314	106398	0	
1	 5	 3	 1	sample19	1969	3511	2056	81726	0	
1	 5	 3	 2	sample19	2243	3785	2056	78642	0	
1	 5	 3	 3	sample19	2318	3860	2056	81726	0	
1	 5	 3	 4	sample19	1985	3785	1798	91800	0	
1	 5	 3	 5	sample19	1651	3451	1542	72000	0	
1	 5	 3	 6	control	449	2249	514	72000	0	
1	 5	 4	 1	sample20	1676	3476	1542	72000	0	
1	 5	 4	 2	sample20	1445	3501	1542	76072	0	
1	 5	 4	 3	sample20	1430	3486	1542	65792	0	
1	 5	 4	 4	sample20	984	3040	1028	82240	0	
1	 5	 4	 5	sample20	707	2763	772	74016	0	
1	 5	 4	 6	control	807	3121	770	97188	0	
