MicroVigene	 Version	 2501
Culture	en-US
9/27/2006 3:49:41 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	714	2512	514	71920	0	
1	 1	 1	 2	sample1	964	2762	772	71920	0	
1	 1	 1	 3	sample1	321	2377	256	82240	0	
1	 1	 1	 4	sample1	456	2512	514	82240	0	
1	 1	 1	 5	sample1	405	2717	258	92480	0	
1	 1	 1	 6	control	335	2647	258	92480	0	
1	 1	 2	 1	sample2	347	1889	256	61680	0	
1	 1	 2	 2	sample2	952	2494	770	67848	0	
1	 1	 2	 3	sample2	676	2218	514	70932	0	
1	 1	 2	 4	sample2	444	2242	258	71920	0	
1	 1	 2	 5	sample2	488	2544	514	82240	0	
1	 1	 2	 6	control	883	2939	1028	98688	0	
1	 1	 3	 1	sample3	962	2246	772	84744	0	
1	 1	 3	 2	sample3	1095	2379	1028	59064	0	
1	 1	 3	 3	sample3	861	2145	772	55212	0	
1	 1	 3	 4	sample3	705	2247	514	60138	0	
1	 1	 3	 5	sample3	437	1979	256	61680	0	
1	 1	 3	 6	control	-134.34	1664	-255.99	71920	0	
1	 1	 4	 1	sample4	1185	2213	1028	58596	0	
1	 1	 4	 2	sample4	1152	2436	1028	34668	0	
1	 1	 4	 3	sample4	469	1753	514	51360	0	
1	 1	 4	 4	sample4	656	1940	514	51360	0	
1	 1	 4	 5	sample4	346	1888	256	66306	0	
1	 1	 4	 6	control	858	2400	514	63222	0	
1	 2	 1	 1	sample5	1347	3659	1286	115600	0	
1	 2	 1	 2	sample5	1099	3411	1028	108664	0	
1	 2	 1	 3	sample5	927	3239	772	110976	0	
1	 2	 1	 4	sample5	471	3041	514	123360	0	
1	 2	 1	 5	sample5	456	3026	514	102800	0	
1	 2	 1	 6	control	417	2987	514	102800	0	
1	 2	 2	 1	sample6	1261	3317	1284	67848	0	
1	 2	 2	 2	sample6	1151	3207	1028	47288	0	
1	 2	 2	 3	sample6	972	3028	770	104856	0	
1	 2	 2	 4	sample6	747	2803	770	90464	0	
1	 2	 2	 5	sample6	502	2814	258	92480	0	
1	 2	 2	 6	control	988	3558	770	66820	0	
1	 2	 3	 1	sample7	678	2476	772	158224	0	
1	 2	 3	 2	sample7	962	2760	772	48546	0	
1	 2	 3	 3	sample7	765	2563	772	71920	0	
1	 2	 3	 4	sample7	507	2563	514	82240	0	
1	 2	 3	 5	sample7	539	2595	256	82240	0	
1	 2	 3	 6	control	296	2608	258	92480	0	
1	 2	 4	 1	sample8	1113	2655	1028	69390	0	
1	 2	 4	 2	sample8	560	2358	514	61132	0	
1	 2	 4	 3	sample8	669	2467	514	53940	0	
1	 2	 4	 4	sample8	540	2338	514	71920	0	
1	 2	 4	 5	sample8	588	2644	514	49344	0	
1	 2	 4	 6	control	1220	3276	1028	49344	0	
1	 3	 1	 1	sample9	1070	3384	1028	155038	0	
1	 3	 1	 2	sample9	1220	3790	1028	110510	0	
1	 3	 1	 3	sample9	770	3598	770	135744	0	
1	 3	 1	 4	sample9	830	3400	772	113080	0	
1	 3	 1	 5	sample9	948	3518	1028	41120	0	
1	 3	 1	 6	control	823	3393	772	102800	0	
1	 3	 2	 1	sample10	844	2900	772	94576	0	
1	 3	 2	 2	sample10	654	3224	514	123360	0	
1	 3	 2	 3	sample10	728	3042	770	111072	0	
1	 3	 2	 4	sample10	700	2756	514	96632	0	
1	 3	 2	 5	sample10	636	2436	514	72000	0	
1	 3	 2	 6	control	1173	3487	1028	53222	0	
1	 3	 3	 1	sample11	816	2872	772	82240	0	
1	 3	 3	 2	sample11	693	3007	770	92560	0	
1	 3	 3	 3	sample11	574	2630	514	80184	0	
1	 3	 3	 4	sample11	534	2076	514	61680	0	
1	 3	 3	 5	sample11	558	1844	514	51440	0	
1	 3	 3	 6	control	405	1947	258	61680	0	
1	 3	 4	 1	sample12	1360	3416	1286	63736	0	
1	 3	 4	 2	sample12	729	2785	772	86352	0	
1	 3	 4	 3	sample12	711	2253	772	52428	0	
1	 3	 4	 4	sample12	436	1722	514	51440	0	
1	 3	 4	 5	sample12	600	1628	772	18504	0	
1	 3	 4	 6	control	482	1510	514	41120	0	
1	 4	 1	 1	sample13	991	3561	1028	107940	0	
1	 4	 1	 2	sample13	974	3544	770	110510	0	
1	 4	 1	 3	sample13	951	3263	1028	92480	0	
1	 4	 1	 4	sample13	772	3084	772	55488	0	
1	 4	 1	 5	sample13	899	2955	1028	32896	0	
1	 4	 1	 6	control	650	2706	514	65792	0	
1	 4	 2	 1	sample14	878	2934	1028	98688	0	
1	 4	 2	 2	sample14	1114	2912	1028	70122	0	
1	 4	 2	 3	sample14	1009	2807	1028	46748	0	
1	 4	 2	 4	sample14	870	2668	772	46748	0	
1	 4	 2	 5	sample14	598	2396	514	61132	0	
1	 4	 2	 6	control	636	2434	772	61132	0	
1	 4	 3	 1	sample15	710	2766	770	78128	0	
1	 4	 3	 2	sample15	466	2264	258	66526	0	
1	 4	 3	 3	sample15	539	2081	514	61680	0	
1	 4	 3	 4	sample15	314	1856	256	61680	0	
1	 4	 3	 5	sample15	490	2032	256	50886	0	
1	 4	 3	 6	control	515	1799	514	51360	0	
1	 4	 4	 1	sample16	702	2244	514	46260	0	
1	 4	 4	 2	sample16	616	2414	514	68324	0	
1	 4	 4	 3	sample16	295	1837	256	61680	0	
1	 4	 4	 4	sample16	540	1824	514	51360	0	
1	 4	 4	 5	sample16	495	1779	514	51360	0	
1	 4	 4	 6	control	553	2095	514	40092	0	
1	 5	 1	 1	sample17	891	3975	770	151116	0	
1	 5	 1	 2	sample17	747	3573	772	118692	0	
1	 5	 1	 3	sample17	598	3424	514	121518	0	
1	 5	 1	 4	sample17	560	3386	514	113040	0	
1	 5	 1	 5	sample17	328	3154	258	113040	0	
1	 5	 1	 6	control	277	3103	258	113040	0	
1	 5	 2	 1	sample18	592	3162	514	125930	0	
1	 5	 2	 2	sample18	513	3083	514	107940	0	
1	 5	 2	 3	sample18	617	2929	514	92480	0	
1	 5	 2	 4	sample18	527	2839	514	46240	0	
1	 5	 2	 5	sample18	386	2698	258	92480	0	
1	 5	 2	 6	control	515	2827	772	46240	0	
1	 5	 3	 1	sample19	1029	3341	1028	189584	0	
1	 5	 3	 2	sample19	678	2990	514	108664	0	
1	 5	 3	 3	sample19	2328	4640	1286	120224	0	
1	 5	 3	 4	sample19	573	2629	514	80184	0	
1	 5	 3	 5	sample19	456	2512	256	82240	0	
1	 5	 3	 6	control	147	2203	256	82240	0	
1	 5	 4	 1	sample20	430	3000	514	102800	0	
1	 5	 4	 2	sample20	367	2679	258	92480	0	
1	 5	 4	 3	sample20	393	2705	258	92480	0	
1	 5	 4	 4	sample20	469	2525	256	82240	0	
1	 5	 4	 5	sample20	366	2422	256	82240	0	
1	 5	 4	 6	control	302	2358	256	82240	0	
1	 6	 1	 1	sample21	611	2923	514	73984	0	
1	 6	 1	 2	sample21	693	3005	772	83232	0	
1	 6	 1	 3	sample21	329	2641	258	83232	0	
1	 6	 1	 4	sample21	225	2537	258	92480	0	
1	 6	 1	 5	sample21	219	2531	258	92480	0	
1	 6	 1	 6	control	359	2415	256	82240	0	
1	 6	 2	 1	sample22	955	2753	1028	37758	0	
1	 6	 2	 2	sample22	586	2384	514	77314	0	
1	 6	 2	 3	sample22	675	2473	514	71920	0	
1	 6	 2	 4	sample22	470	2268	514	52142	0	
1	 6	 2	 5	sample22	187	1985	0	71920	0	
1	 6	 2	 6	control	425	2223	258	71920	0	
1	 6	 3	 1	sample23	443	1985	514	61680	0	
1	 6	 3	 2	sample23	378	1920	256	61680	0	
1	 6	 3	 3	sample23	308	1850	256	61680	0	
1	 6	 3	 4	sample23	147	1689	256	61680	0	
1	 6	 3	 5	sample23	205	1747	256	61680	0	
1	 6	 3	 6	control	179	1721	0	61680	0	
1	 6	 4	 1	sample24	543	2085	514	40092	0	
1	 6	 4	 2	sample24	314	1856	256	61680	0	
1	 6	 4	 3	sample24	586	1870	514	46224	0	
1	 6	 4	 4	sample24	283	1567	258	51360	0	
1	 6	 4	 5	sample24	347	1631	258	29532	0	
1	 6	 4	 6	control	283	1567	258	51360	0	
1	 7	 1	 1	sample25	861	3689	770	144228	0	
1	 7	 1	 2	sample25	984	3812	770	166852	0	
1	 7	 1	 3	sample25	544	3372	514	144228	0	
1	 7	 1	 4	sample25	456	3284	256	113120	0	
1	 7	 1	 5	sample25	913	3741	770	50904	0	
1	 7	 1	 6	control	885	3713	770	50904	0	
1	 7	 2	 1	sample26	618	2932	514	97188	0	
1	 7	 2	 2	sample26	668	2982	514	92560	0	
1	 7	 2	 3	sample26	385	2699	514	50908	0	
1	 7	 2	 4	sample26	404	2718	256	92560	0	
1	 7	 2	 5	sample26	428	2742	256	111072	0	
1	 7	 2	 6	control	607	2921	514	101816	0	
1	 7	 3	 1	sample27	334	2390	258	82240	0	
1	 7	 3	 2	sample27	771	2827	772	41120	0	
1	 7	 3	 3	sample27	258	2314	258	82240	0	
1	 7	 3	 4	sample27	219	2275	258	82240	0	
1	 7	 3	 5	sample27	71.2	2127	0	82240	0	
1	 7	 3	 6	control	251	2307	258	82240	0	
1	 7	 4	 1	sample28	437	2493	514	82240	0	
