MicroVigene	 Version	 2650
Culture	en-US
8/15/2006 4:46:08 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	7094	10948	7710	300612	0	
1	 1	 1	 2	sample1	8252	12106	8996	292904	0	
1	 1	 1	 3	sample1	5336	9190	5140	289050	0	
1	 1	 1	 4	sample1	3174	6772	2826	327418	0	
1	 1	 1	 5	sample1	2458	6056	2570	165508	0	
1	 1	 1	 6	control	822	4420	256	143920	0	
1	 1	 2	 1	sample2	7172	10770	6168	233870	0	
1	 1	 2	 2	sample2	10482	14080	10280	273448	0	
1	 1	 2	 3	sample2	8187	11785	8738	280644	0	
1	 1	 2	 4	sample2	6323	9663	6426	233800	0	
1	 1	 2	 5	sample2	4671	7755	4882	228216	0	
1	 1	 2	 6	control	12590	15930	12594	230460	0	
1	 1	 3	 1	sample3	13447	16787	13622	250500	0	
1	 1	 3	 2	sample3	11481	14821	11822	243820	0	
1	 1	 3	 3	sample3	9976	13060	10536	222048	0	
1	 1	 3	 4	sample3	6405	9489	5396	203544	0	
1	 1	 3	 5	sample3	3484	6568	3084	160368	0	
1	 1	 3	 6	control	565	3649	256	123360	0	
1	 1	 4	 1	sample4	11806	14890	13106	252888	0	
1	 1	 4	 2	sample4	11815	14899	12078	231300	0	
1	 1	 4	 3	sample4	8835	11661	8482	217602	0	
1	 1	 4	 4	sample4	5441	8267	4626	231732	0	
1	 1	 4	 5	sample4	3498	6324	3084	194994	0	
1	 1	 4	 6	control	7158	9984	6682	172386	0	
1	 2	 1	 1	sample5	7520	10862	6424	280728	0	
1	 2	 1	 2	sample5	9366	12708	8994	270702	0	
1	 2	 1	 3	sample5	6918	10260	6424	257334	0	
1	 2	 1	 4	sample5	4590	7674	4626	237468	0	
1	 2	 1	 5	sample5	3164	6248	3084	259056	0	
1	 2	 1	 6	control	579	3663	514	123360	0	
1	 2	 2	 1	sample6	12512	15596	12080	212796	0	
1	 2	 2	 2	sample6	10123	13207	9766	231300	0	
1	 2	 2	 3	sample6	10714	13542	10536	217756	0	
1	 2	 2	 4	sample6	10883	13711	10280	203616	0	
1	 2	 2	 5	sample6	7126	9954	7196	209272	0	
