MicroVigene	 Version	 2650
Culture	en-US
8/17/2006 12:17:44 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	595	3937	514	137022	0	
1	 1	 1	 2	sample1	1745	4829	1800	86352	0	
1	 1	 1	 3	sample1	1413	4241	1284	50904	0	
1	 1	 1	 4	sample1	1053	3881	770	115948	0	
1	 1	 1	 5	sample1	269	3097	256	113120	0	
1	 1	 1	 6	control	346	3174	256	113120	0	
1	 1	 2	 1	sample2	525	3353	514	130088	0	
1	 1	 2	 2	sample2	1191	3761	1028	118220	0	
1	 1	 2	 3	sample2	1488	3802	1284	67106	0	
1	 1	 2	 4	sample2	801	3115	514	99502	0	
1	 1	 2	 5	sample2	616	2930	514	92560	0	
1	 1	 2	 6	control	884	3198	770	57850	0	
1	 1	 3	 1	sample3	951	3265	770	85618	0	
1	 1	 3	 2	sample3	1017	3331	1028	55536	0	
1	 1	 3	 3	sample3	425	2481	258	82240	0	
1	 1	 3	 4	sample3	232	2288	258	82240	0	
1	 1	 3	 5	sample3	232	2288	258	82240	0	
1	 1	 3	 6	control	218	2018	256	72000	0	
1	 1	 4	 1	sample4	1077	2877	1028	55800	0	
1	 1	 4	 2	sample4	856	2656	770	54000	0	
1	 1	 4	 3	sample4	186	1986	256	72000	0	
1	 1	 4	 4	sample4	276	2076	256	72000	0	
1	 1	 4	 5	sample4	141	1941	256	72000	0	
1	 1	 4	 6	control	89.6	1890	0	72000	0	
1	 2	 1	 1	sample5	431	2745	514	115700	0	
1	 2	 1	 2	sample5	424	2738	256	92560	0	
1	 2	 1	 3	sample5	419	2733	514	94874	0	
1	 2	 1	 4	sample5	508	2564	258	82240	0	
1	 2	 1	 5	sample5	302	2616	256	78676	0	
1	 2	 1	 6	control	372	2428	258	78128	0	
1	 2	 2	 1	sample6	849	2649	770	46800	0	
1	 2	 2	 2	sample6	639	2439	514	81000	0	
1	 2	 2	 3	sample6	1374	3174	1284	41400	0	
1	 2	 2	 4	sample6	642	2442	514	72000	0	
1	 2	 2	 5	sample6	475	2275	256	72000	0	
1	 2	 2	 6	control	359	2159	256	72000	0	
1	 2	 3	 1	sample7	509	2051	514	72474	0	
1	 2	 3	 2	sample7	322	1864	258	61680	0	
1	 2	 3	 3	sample7	380	1922	258	61680	0	
1	 2	 3	 4	sample7	386	1928	258	61680	0	
