MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 2:39:33 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	7567	9881	8224	145782	0	
1	 1	 1	 2	sample1	5075	8931	5140	154240	0	
1	 1	 1	 3	sample1	4462	8318	4882	285344	0	
1	 1	 1	 4	sample1	5108	8706	5398	143920	0	
1	 1	 1	 5	sample1	3456	7312	3340	196656	0	
1	 1	 1	 6	control	862	4974	514	139808	0	
1	 1	 2	 1	sample2	8375	11459	8224	126444	0	
1	 1	 2	 2	sample2	4576	9974	4882	253706	0	
1	 1	 2	 3	sample2	5066	9692	5398	208170	0	
1	 1	 2	 4	sample2	5417	9529	5398	217936	0	
1	 1	 2	 5	sample2	5044	9156	5140	217936	0	
1	 1	 2	 6	control	6792	11162	7452	222870	0	
1	 1	 3	 1	sample3	6416	10272	6424	370176	0	
1	 1	 3	 2	sample3	5602	10486	5910	195360	0	
1	 1	 3	 3	sample3	4604	9230	5140	379332	0	
1	 1	 3	 4	sample3	5242	9354	5140	217936	0	
1	 1	 3	 5	sample3	5642	9498	6168	177376	0	
1	 1	 3	 6	control	891	4747	514	131104	0	
1	 1	 4	 1	sample4	8935	10735	8994	162000	0	
1	 1	 4	 2	sample4	8765	11335	9252	172190	0	
1	 1	 4	 3	sample4	7451	10535	8224	277560	0	
1	 1	 4	 4	sample4	8296	11638	7966	177126	0	
1	 1	 4	 5	sample4	7503	11101	7196	187096	0	
1	 1	 4	 6	control	7212	11324	7196	209712	0	
1	 2	 1	 1	sample5	5056	8654	5140	395780	0	
1	 2	 1	 2	sample5	4765	9905	4626	257000	0	
1	 2	 1	 3	sample5	5155	9267	5912	296064	0	
1	 2	 1	 4	sample5	5363	8705	6424	207204	0	
1	 2	 1	 5	sample5	4706	8048	5396	287412	0	
1	 2	 1	 6	control	1227	4569	1028	133680	0	
1	 2	 2	 1	sample6	4992	9362	5140	205390	0	
1	 2	 2	 2	sample6	4072	9212	4370	231300	0	
1	 2	 2	 3	sample6	3787	8157	4368	297160	0	
1	 2	 2	 4	sample6	3695	7551	4112	323904	0	
1	 2	 2	 5	sample6	4637	8235	5398	273448	0	
1	 2	 2	 6	control	5882	9224	6938	274044	0	
1	 2	 3	 1	sample7	5292	9148	5654	447296	0	
1	 2	 3	 2	sample7	4628	8998	5396	410780	0	
1	 2	 3	 3	sample7	4593	8705	4884	382416	0	
1	 2	 3	 4	sample7	4840	8438	5140	295036	0	
1	 2	 3	 5	sample7	4879	8221	5654	264018	0	
1	 2	 3	 6	control	1269	4353	1286	98688	0	
1	 2	 4	 1	sample8	6328	9670	6938	277386	0	
1	 2	 4	 2	sample8	6456	10054	7454	273448	0	
1	 2	 4	 3	sample8	5986	9584	6940	320222	0	
1	 2	 4	 4	sample8	5462	8546	6426	296064	0	
1	 2	 4	 5	sample8	5129	8213	5654	277560	0	
1	 2	 4	 6	control	5432	8002	6168	251860	0	
1	 3	 1	 1	sample9	5382	7694	5912	189584	0	
1	 3	 1	 2	sample9	4840	7924	5396	188124	0	
1	 3	 1	 3	sample9	5122	7692	5910	151630	0	
1	 3	 1	 4	sample9	5179	7491	6426	124848	0	
1	 3	 1	 5	sample9	3845	6157	4626	166464	0	
1	 3	 1	 6	control	1040	3610	1028	102800	0	
1	 3	 2	 1	sample10	3971	6797	4626	220428	0	
1	 3	 2	 2	sample10	4723	7549	5654	180864	0	
1	 3	 2	 3	sample10	5044	7356	6168	159528	0	
1	 3	 2	 4	sample10	4712	7024	5398	152592	0	
1	 3	 2	 5	sample10	4373	6685	5140	154904	0	
1	 3	 2	 6	control	5617	7929	6426	159528	0	
1	 3	 3	 1	sample11	5368	7424	5654	164480	0	
1	 3	 3	 2	sample11	4435	7005	5140	197890	0	
1	 3	 3	 3	sample11	4378	6434	4882	164480	0	
1	 3	 3	 4	sample11	4381	6437	5140	131584	0	
1	 3	 3	 5	sample11	3289	5087	3598	133052	0	
1	 3	 3	 6	control	1188	3244	1028	82240	0	
1	 3	 4	 1	sample12	5014	6812	4370	138446	0	
1	 3	 4	 2	sample12	5995	8307	7454	106352	0	
1	 3	 4	 3	sample12	4491	6547	5396	176816	0	
1	 3	 4	 4	sample12	4882	6938	5910	172704	0	
1	 3	 4	 5	sample12	3928	5984	4368	187096	0	
1	 3	 4	 6	control	5501	7299	6682	120466	0	
1	 4	 1	 1	sample13	4307	7905	4884	356202	0	
1	 4	 1	 2	sample13	5324	8408	6426	215880	0	
1	 4	 1	 3	sample13	5458	7772	6424	194376	0	
1	 4	 1	 4	sample13	5126	7440	6168	131898	0	
1	 4	 1	 5	sample13	4092	6406	4626	180492	0	
1	 4	 1	 6	control	854	3682	770	113120	0	
1	 4	 2	 1	sample14	4719	8061	5140	257334	0	
1	 4	 2	 2	sample14	4961	7531	5398	187610	0	
1	 4	 2	 3	sample14	3616	5930	4112	194376	0	
1	 4	 2	 4	sample14	4013	6069	4884	207656	0	
1	 4	 2	 5	sample14	3919	6233	4626	185120	0	
1	 4	 2	 6	control	5202	7772	5654	192750	0	
1	 4	 3	 1	sample15	4101	7185	4884	200460	0	
1	 4	 3	 2	sample15	3181	5495	3598	212888	0	
1	 4	 3	 3	sample15	3051	5107	3084	174760	0	
1	 4	 3	 4	sample15	3312	5112	3598	176400	0	
1	 4	 3	 5	sample15	2472	4528	2314	106912	0	
1	 4	 3	 6	control	1620	4190	1542	136210	0	
1	 4	 4	 1	sample16	5419	8247	6424	226240	0	
1	 4	 4	 2	sample16	5975	8289	7452	138840	0	
1	 4	 4	 3	sample16	5269	7325	5912	201488	0	
1	 4	 4	 4	sample16	4617	6673	5140	172704	0	
1	 4	 4	 5	sample16	4097	6153	4626	199432	0	
1	 4	 4	 6	control	5209	7265	5912	170648	0	
1	 5	 1	 1	sample17	3819	6645	4370	217602	0	
