MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 5:23:00 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1670	3726	1798	148032	0	
1	 1	 1	 2	sample1	1534	3332	1542	53940	0	
1	 1	 1	 3	sample1	1197	2739	1028	77100	0	
1	 1	 1	 4	sample1	1099	2897	1028	71920	0	
1	 1	 1	 5	sample1	698	2496	514	50344	0	
1	 1	 1	 6	control	32.5	1831	0	71920	0	
1	 1	 2	 1	sample2	1065	2607	1028	74016	0	
1	 1	 2	 2	sample2	771	2313	514	75558	0	
1	 1	 2	 3	sample2	670	1954	772	55212	0	
1	 1	 2	 4	sample2	205	1747	256	61680	0	
1	 1	 2	 5	sample2	366	1908	256	61680	0	
1	 1	 2	 6	control	571	2113	514	61680	0	
1	 1	 3	 1	sample3	1644	3186	1542	97146	0	
1	 1	 3	 2	sample3	1239	2523	1286	64200	0	
1	 1	 3	 3	sample3	1029	2313	1028	66768	0	
1	 1	 3	 4	sample3	681	2223	770	61680	0	
1	 1	 3	 5	sample3	793	2335	770	35466	0	
1	 1	 3	 6	control	-58.24	1484	0	61680	0	
1	 1	 4	 1	sample4	1084	2626	1284	118734	0	
1	 1	 4	 2	sample4	1035	2319	1028	53928	0	
1	 1	 4	 3	sample4	801	2085	772	56496	0	
1	 1	 4	 4	sample4	269	1811	256	61680	0	
1	 1	 4	 5	sample4	573	1857	514	61632	0	
1	 1	 4	 6	control	712	1996	514	50076	0	
1	 2	 1	 1	sample5	913	3225	772	92480	0	
1	 2	 1	 2	sample5	620	2932	772	101728	0	
1	 2	 1	 3	sample5	700	2756	770	82240	0	
1	 2	 1	 4	sample5	449	2505	514	82240	0	
1	 2	 1	 5	sample5	308	2364	256	82240	0	
1	 2	 1	 6	control	289	2345	256	82240	0	
1	 2	 2	 1	sample6	3363	5419	3084	207656	0	
1	 2	 2	 2	sample6	2135	4191	2056	92520	0	
1	 2	 2	 3	sample6	1731	3529	1800	73718	0	
1	 2	 2	 4	sample6	1578	3376	1286	77314	0	
1	 2	 2	 5	sample6	1269	3067	1286	57536	0	
1	 2	 2	 6	control	849	2647	772	71920	0	
1	 2	 3	 1	sample7	964	2762	1028	64728	0	
1	 2	 3	 2	sample7	405	2203	514	71920	0	
1	 2	 3	 3	sample7	610	2152	514	61680	0	
1	 2	 3	 4	sample7	411	1953	514	61680	0	
1	 2	 3	 5	sample7	353	1895	256	61680	0	
1	 2	 3	 6	control	340	1882	256	61680	0	
1	 2	 4	 1	sample8	746	2544	772	53940	0	
1	 2	 4	 2	sample8	569	2367	514	34162	0	
1	 2	 4	 3	sample8	328	2126	258	71920	0	
1	 2	 4	 4	sample8	475	2017	514	61680	0	
1	 2	 4	 5	sample8	327	1869	256	61680	0	
1	 2	 4	 6	control	238	2036	258	71920	0	
1	 3	 1	 1	sample9	2439	4239	2570	117000	0	
1	 3	 1	 2	sample9	1810	3610	1798	81000	0	
1	 3	 1	 3	sample9	1667	3467	1542	91800	0	
1	 3	 1	 4	sample9	1751	3293	1800	32382	0	
1	 3	 1	 5	sample9	856	2656	770	64800	0	
1	 3	 1	 6	control	6.05	1806	0	72000	0	
1	 3	 2	 1	sample10	993	2535	1028	67848	0	
1	 3	 2	 2	sample10	1099	2641	1028	61680	0	
1	 3	 2	 3	sample10	836	2378	772	61680	0	
1	 3	 2	 4	sample10	482	2024	514	61680	0	
1	 3	 2	 5	sample10	380	1922	258	61680	0	
1	 3	 2	 6	control	1130	2672	1028	50886	0	
1	 3	 3	 1	sample11	996	2538	1028	74016	0	
1	 3	 3	 2	sample11	1469	2755	1542	50154	0	
1	 3	 3	 3	sample11	1393	2679	1284	57870	0	
1	 3	 3	 4	sample11	831	2117	770	48868	0	
1	 3	 3	 5	sample11	520	1806	514	51440	0	
1	 3	 3	 6	control	19.7	1562	0	61680	0	
1	 3	 4	 1	sample12	1436	2722	1284	43724	0	
1	 3	 4	 2	sample12	1294	2580	1028	34722	0	
1	 3	 4	 3	sample12	1082	2368	1028	42438	0	
1	 3	 4	 4	sample12	1117	2403	1028	29578	0	
1	 3	 4	 5	sample12	443	1729	514	51440	0	
1	 3	 4	 6	control	658	2200	514	38550	0	
1	 4	 1	 1	sample13	2112	3654	2056	77100	0	
1	 4	 1	 2	sample13	1624	3166	1798	120276	0	
1	 4	 1	 3	sample13	1310	2852	1284	78642	0	
1	 4	 1	 4	sample13	1080	2364	1028	51360	0	
1	 4	 1	 5	sample13	1040	2582	514	61680	0	
1	 4	 1	 6	control	485	2027	514	27756	0	
1	 4	 2	 1	sample14	2105	3389	2056	53928	0	
1	 4	 2	 2	sample14	1427	2711	1286	65484	0	
1	 4	 2	 3	sample14	900	2184	772	64200	0	
1	 4	 2	 4	sample14	669	1953	772	51360	0	
1	 4	 2	 5	sample14	706	1990	772	55212	0	
1	 4	 2	 6	control	1009	2293	1028	51360	0	
1	 4	 3	 1	sample15	1228	2512	1286	125832	0	
1	 4	 3	 2	sample15	1202	2486	1028	55212	0	
1	 4	 3	 3	sample15	1050	2334	1028	61632	0	
1	 4	 3	 4	sample15	1111	2139	1028	44204	0	
1	 4	 3	 5	sample15	946	1974	1028	45232	0	
1	 4	 3	 6	control	39.2	1323	0	51360	0	
1	 4	 4	 1	sample16	2341	3625	2314	121980	0	
1	 4	 4	 2	sample16	1550	2834	1542	93732	0	
1	 4	 4	 3	sample16	1802	3086	1542	121980	0	
1	 4	 4	 4	sample16	1428	2456	1542	51400	0	
1	 4	 4	 5	sample16	584	1612	514	41120	0	
