MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 5:19:29 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1568	5680	1028	164480	0	
1	 1	 1	 2	sample1	1562	5674	1286	164480	0	
1	 1	 1	 3	sample1	1407	5263	1028	154240	0	
1	 1	 1	 4	sample1	1060	4916	770	154240	0	
1	 1	 1	 5	sample1	1079	4935	514	154240	0	
1	 1	 1	 6	control	861	4717	514	154240	0	
1	 1	 2	 1	sample2	4590	8446	4626	281488	0	
1	 1	 2	 2	sample2	10247	14103	11050	277632	0	
1	 1	 2	 3	sample2	8245	11843	7710	269850	0	
1	 1	 2	 4	sample2	5013	8611	3856	320222	0	
1	 1	 2	 5	sample2	4265	7863	4370	291438	0	
1	 1	 2	 6	control	13612	17210	14906	284242	0	
1	 1	 3	 1	sample3	1369	4967	1028	143920	0	
1	 1	 3	 2	sample3	1388	4986	1286	143920	0	
1	 1	 3	 3	sample3	1310	4652	1028	133680	0	
1	 1	 3	 4	sample3	1066	4408	770	133680	0	
1	 1	 3	 5	sample3	970	4312	514	133680	0	
1	 1	 3	 6	control	616	3958	256	133680	0	
1	 1	 4	 1	sample4	1362	4704	1028	133680	0	
1	 1	 4	 2	sample4	1342	4684	770	133680	0	
1	 1	 4	 3	sample4	1118	4460	770	133680	0	
1	 1	 4	 4	sample4	661	4003	256	133680	0	
1	 1	 4	 5	sample4	738	4080	256	133680	0	
1	 1	 4	 6	control	8207	11549	8738	203862	0	
1	 2	 1	 1	sample5	835	3919	770	123360	0	
1	 2	 1	 2	sample5	1742	4568	1800	113040	0	
1	 2	 1	 3	sample5	854	3938	770	123360	0	
1	 2	 1	 4	sample5	700	3784	514	123360	0	
1	 2	 1	 5	sample5	732	3816	770	123360	0	
1	 2	 1	 6	control	706	3790	514	123360	0	
1	 2	 2	 1	sample6	1414	4240	1286	113040	0	
1	 2	 2	 2	sample6	3264	6090	2056	84780	0	
1	 2	 2	 3	sample6	1324	4150	1286	113040	0	
1	 2	 2	 4	sample6	1054	3880	1028	113040	0	
1	 2	 2	 5	sample6	1112	3938	1028	113040	0	
1	 2	 2	 6	control	14067	16893	14906	231732	0	
1	 2	 3	 1	sample7	1040	3610	1028	102800	0	
1	 2	 3	 2	sample7	1156	3726	1028	102800	0	
1	 2	 3	 3	sample7	700	3270	770	102800	0	
1	 2	 3	 4	sample7	630	3456	514	113040	0	
1	 2	 3	 5	sample7	688	3514	514	113040	0	
1	 2	 3	 6	control	399	3225	258	113040	0	
1	 2	 4	 1	sample8	3981	6551	4368	177330	0	
1	 2	 4	 2	sample8	2055	4625	2056	102800	0	
1	 2	 4	 3	sample8	5073	7643	5396	128500	0	
1	 2	 4	 4	sample8	2484	5054	2570	131070	0	
1	 2	 4	 5	sample8	2049	4619	2056	102800	0	
1	 2	 4	 6	control	11316	13886	11564	161910	0	
1	 3	 1	 1	sample9	2139	5995	2056	154240	0	
1	 3	 1	 2	sample9	2230	6342	2314	189152	0	
1	 3	 1	 3	sample9	1555	5667	1542	164480	0	
1	 3	 1	 4	sample9	1029	5141	1028	164480	0	
1	 3	 1	 5	sample9	880	5250	770	174800	0	
1	 3	 1	 6	control	533	4903	256	174800	0	
1	 3	 2	 1	sample10	436	4292	256	154240	0	
1	 3	 2	 2	sample10	906	4504	1028	143920	0	
1	 3	 2	 3	sample10	764	4620	770	154240	0	
1	 3	 2	 4	sample10	584	4440	514	154240	0	
1	 3	 2	 5	sample10	861	4717	770	154240	0	
1	 3	 2	 6	control	15579	19435	17218	223648	0	
1	 3	 3	 1	sample11	6025	9881	6424	242928	0	
1	 3	 3	 2	sample11	8114	11970	7710	227504	0	
1	 3	 3	 3	sample11	6526	10124	5912	212282	0	
1	 3	 3	 4	sample11	4498	8096	4370	151116	0	
1	 3	 3	 5	sample11	2614	6470	2570	177376	0	
1	 3	 3	 6	control	314	4170	256	154240	0	
1	 3	 4	 1	sample12	10973	14571	12336	212282	0	
1	 3	 4	 2	sample12	8618	12216	8738	223076	0	
1	 3	 4	 3	sample12	14446	18044	15164	241066	0	
1	 3	 4	 4	sample12	10650	14248	10024	230272	0	
1	 3	 4	 5	sample12	5010	8608	3342	320222	0	
1	 3	 4	 6	control	11766	15364	12336	194292	0	
1	 4	 1	 1	sample13	12284	16140	12592	289200	0	
1	 4	 1	 2	sample13	14563	18419	14648	300768	0	
1	 4	 1	 3	sample13	11203	15059	11050	285344	0	
1	 4	 1	 4	sample13	7354	11210	7196	300768	0	
1	 4	 1	 5	sample13	4873	8729	5140	308480	0	
1	 4	 1	 6	control	462	4318	514	154240	0	
1	 4	 2	 1	sample14	842	4440	772	143920	0	
1	 4	 2	 2	sample14	855	4453	772	143920	0	
1	 4	 2	 3	sample14	637	4235	514	143920	0	
1	 4	 2	 4	sample14	470	4068	258	143920	0	
1	 4	 2	 5	sample14	605	4203	514	143920	0	
1	 4	 2	 6	control	13860	17458	15678	251860	0	
1	 4	 3	 1	sample15	6613	9955	6682	237282	0	
1	 4	 3	 2	sample15	5354	8696	4882	223914	0	
1	 4	 3	 3	sample15	5038	8380	5140	160416	0	
1	 4	 3	 4	sample15	2772	6114	2570	157074	0	
1	 4	 3	 5	sample15	1644	4986	1542	133680	0	
1	 4	 3	 6	control	366	3708	256	133680	0	
1	 4	 4	 1	sample16	11650	14992	11050	250650	0	
1	 4	 4	 2	sample16	6654	9996	6938	217230	0	
1	 4	 4	 3	sample16	12683	15767	12336	222048	0	
1	 4	 4	 4	sample16	7204	10288	5398	212796	0	
1	 4	 4	 5	sample16	5562	8646	4370	231300	0	
1	 4	 4	 6	control	9064	12148	8738	172704	0	
1	 5	 1	 1	sample17	5858	9456	5396	298634	0	
1	 5	 1	 2	sample17	7584	11182	8224	273448	0	
1	 5	 1	 3	sample17	5220	8560	5140	260520	0	
1	 5	 1	 4	sample17	4135	7475	3856	270540	0	
1	 5	 1	 5	sample17	2986	6326	2828	173680	0	
1	 5	 1	 6	control	295	3893	256	143920	0	
1	 5	 2	 1	sample18	854	3938	770	123360	0	
1	 5	 2	 2	sample18	1040	4124	1028	123360	0	
1	 5	 2	 3	sample18	816	3900	770	123360	0	
1	 5	 2	 4	sample18	603	3687	770	123360	0	
1	 5	 2	 5	sample18	815	3899	770	123360	0	
1	 5	 2	 6	control	14763	18103	15934	250500	0	
1	 5	 3	 1	sample19	912	3996	770	123360	0	
1	 5	 3	 2	sample19	803	3887	770	123360	0	
