MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 10:51:05 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	629	2429	514	72000	0	
1	 1	 1	 2	sample1	289	2089	256	72000	0	
1	 1	 1	 3	sample1	579	2121	258	61680	0	
1	 1	 1	 4	sample1	604	2146	514	61680	0	
1	 1	 1	 5	sample1	418	1960	258	61680	0	
1	 1	 1	 6	control	437	1979	258	61680	0	
1	 1	 2	 1	sample2	873	2415	772	58596	0	
1	 1	 2	 2	sample2	1070	2612	1028	57054	0	
1	 1	 2	 3	sample2	759	2301	772	64764	0	
1	 1	 2	 4	sample2	742	2028	770	57870	0	
1	 1	 2	 5	sample2	603	1889	514	51440	0	
1	 1	 2	 6	control	2683	4225	2828	109482	0	
1	 1	 3	 1	sample3	565	2365	514	72000	0	
1	 1	 3	 2	sample3	592	2134	514	61680	0	
1	 1	 3	 3	sample3	488	1774	514	51440	0	
1	 1	 3	 4	sample3	552	1838	514	51440	0	
1	 1	 3	 5	sample3	398	1684	256	51440	0	
1	 1	 3	 6	control	302	1588	0	51440	0	
1	 1	 4	 1	sample4	1286	3342	1286	96632	0	
1	 1	 4	 2	sample4	1334	2876	1286	24672	0	
1	 1	 4	 3	sample4	578	1864	514	51440	0	
1	 1	 4	 4	sample4	507	1793	256	51440	0	
1	 1	 4	 5	sample4	475	1761	256	51440	0	
1	 1	 4	 6	control	2991	4277	2570	50154	0	
1	 2	 1	 1	sample5	770	2312	770	61680	0	
1	 2	 1	 2	sample5	1011	2553	1028	24672	0	
1	 2	 1	 3	sample5	436	2234	514	64728	0	
1	 2	 1	 4	sample5	429	2227	514	64728	0	
1	 2	 1	 5	sample5	415	2213	258	64728	0	
1	 2	 1	 6	control	221	2277	0	74016	0	
1	 2	 2	 1	sample6	666	1950	514	43656	0	
1	 2	 2	 2	sample6	657	1941	514	46224	0	
1	 2	 2	 3	sample6	630	1914	772	51360	0	
1	 2	 2	 4	sample6	475	2017	514	61680	0	
1	 2	 2	 5	sample6	520	2062	514	61680	0	
1	 2	 2	 6	control	4048	5846	4626	134850	0	
1	 2	 3	 1	sample7	1336	2620	1286	65484	0	
1	 2	 3	 2	sample7	1286	2570	1286	60348	0	
1	 2	 3	 3	sample7	1157	2441	1028	51360	0	
1	 2	 3	 4	sample7	802	2344	770	37008	0	
1	 2	 3	 5	sample7	456	1998	514	61680	0	
1	 2	 3	 6	control	469	2011	514	61680	0	
1	 2	 4	 1	sample8	1676	2704	1542	47288	0	
1	 2	 4	 2	sample8	945	2229	1028	51360	0	
1	 2	 4	 3	sample8	1189	2473	1028	51360	0	
1	 2	 4	 4	sample8	578	2120	514	61680	0	
1	 2	 4	 5	sample8	565	2107	514	61680	0	
1	 2	 4	 6	control	2566	4108	2570	111024	0	
1	 3	 1	 1	sample9	1593	3135	1542	46260	0	
1	 3	 1	 2	sample9	1330	3128	1286	71920	0	
1	 3	 1	 3	sample9	791	2589	772	71920	0	
1	 3	 1	 4	sample9	642	2184	514	61680	0	
1	 3	 1	 5	sample9	713	2255	770	61680	0	
1	 3	 1	 6	control	238	2036	258	71920	0	
1	 3	 2	 1	sample10	829	2113	772	51360	0	
1	 3	 2	 2	sample10	957	2499	1028	67848	0	
1	 3	 2	 3	sample10	852	2394	770	29298	0	
1	 3	 2	 4	sample10	984	2268	772	51360	0	
1	 3	 2	 5	sample10	637	1921	514	51360	0	
1	 3	 2	 6	control	3680	5222	3854	81726	0	
1	 3	 3	 1	sample11	1488	2772	1542	60348	0	
1	 3	 3	 2	sample11	1301	2585	1286	62916	0	
1	 3	 3	 3	sample11	1107	2135	1028	40092	0	
1	 3	 3	 4	sample11	841	1869	770	41120	0	
1	 3	 3	 5	sample11	418	1702	258	51360	0	
1	 3	 3	 6	control	360	1644	258	51360	0	
1	 3	 4	 1	sample12	1344	2628	1286	61632	0	
1	 3	 4	 2	sample12	1607	2891	1800	30816	0	
1	 3	 4	 3	sample12	1126	2410	1028	53928	0	
1	 3	 4	 4	sample12	758	1786	770	41120	0	
1	 3	 4	 5	sample12	328	1612	258	51360	0	
1	 3	 4	 6	control	3374	4658	2056	60348	0	
1	 4	 1	 1	sample13	7090	9404	6682	180492	0	
1	 4	 1	 2	sample13	6310	8624	6424	175864	0	
1	 4	 1	 3	sample13	4557	6871	4626	164294	0	
1	 4	 1	 4	sample13	2350	4664	2570	127270	0	
1	 4	 1	 5	sample13	2648	4704	2570	82240	0	
1	 4	 1	 6	control	444	2500	514	82240	0	
1	 4	 2	 1	sample14	945	3001	772	82240	0	
1	 4	 2	 2	sample14	810	2866	772	82240	0	
1	 4	 2	 3	sample14	431	2487	514	82240	0	
1	 4	 2	 4	sample14	520	2320	514	72000	0	
1	 4	 2	 5	sample14	507	2307	514	72000	0	
1	 4	 2	 6	control	4234	6034	4112	113400	0	
1	 4	 3	 1	sample15	713	2513	770	72000	0	
1	 4	 3	 2	sample15	687	2487	770	72000	0	
1	 4	 3	 3	sample15	449	2249	514	72000	0	
1	 4	 3	 4	sample15	585	2127	514	61680	0	
1	 4	 3	 5	sample15	418	1960	514	61680	0	
1	 4	 3	 6	control	76.6	1877	0	72000	0	
1	 4	 4	 1	sample16	1517	3059	1542	61680	0	
1	 4	 4	 2	sample16	571	2371	514	72000	0	
1	 4	 4	 3	sample16	855	2397	772	61680	0	
1	 4	 4	 4	sample16	489	2031	514	61680	0	
1	 4	 4	 5	sample16	476	2018	514	61680	0	
1	 4	 4	 6	control	817	2359	514	61680	0	
1	 5	 1	 1	sample17	1625	3423	1542	89900	0	
1	 5	 1	 2	sample17	1291	3089	1286	82708	0	
1	 5	 1	 3	sample17	870	2668	772	61132	0	
1	 5	 1	 4	sample17	515	2313	514	64728	0	
1	 5	 1	 5	sample17	507	2305	514	64728	0	
1	 5	 1	 6	control	205	2003	258	61132	0	
1	 5	 2	 1	sample18	804	2602	772	86304	0	
1	 5	 2	 2	sample18	1316	2858	1284	75558	0	
1	 5	 2	 3	sample18	674	2216	770	61680	0	
1	 5	 2	 4	sample18	430	1972	514	61680	0	
1	 5	 2	 5	sample18	411	1953	256	61680	0	
1	 5	 2	 6	control	4980	6522	4626	77100	0	
1	 5	 3	 1	sample19	1248	2790	1284	75558	0	
1	 5	 3	 2	sample19	1010	2552	1028	66306	0	
1	 5	 3	 3	sample19	911	2453	770	50886	0	
1	 5	 3	 4	sample19	853	2137	772	52644	0	
1	 5	 3	 5	sample19	529	1813	514	46224	0	
1	 5	 3	 6	control	310	1594	258	43656	0	
1	 5	 4	 1	sample20	491	2033	514	52428	0	
1	 5	 4	 2	sample20	309	1851	256	52428	0	
1	 5	 4	 3	sample20	486	1770	514	46224	0	
1	 5	 4	 4	sample20	329	1613	258	46224	0	
1	 5	 4	 5	sample20	308	1592	258	46224	0	
1	 5	 4	 6	control	2269	3553	2056	66768	0	
1	 6	 1	 1	sample21	1020	2820	770	64800	0	
1	 6	 1	 2	sample21	980	2780	770	77400	0	
1	 6	 1	 3	sample21	656	2456	770	64800	0	
1	 6	 1	 4	sample21	621	2421	514	64800	0	
1	 6	 1	 5	sample21	379	2179	256	72000	0	
1	 6	 1	 6	control	143	2199	0	74016	0	
1	 6	 2	 1	sample22	1760	3302	1542	80184	0	
