MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 3:23:03 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	2258	5084	2314	209124	0	
1	 1	 1	 2	sample1	2099	4925	2056	257166	0	
1	 1	 1	 3	sample1	2301	5127	2056	113040	0	
1	 1	 1	 4	sample1	1718	4802	1542	157284	0	
1	 1	 1	 5	sample1	1208	4548	1028	133600	0	
1	 1	 1	 6	control	603	4201	256	143920	0	
1	 1	 2	 1	sample2	2887	5457	2826	174760	0	
1	 1	 2	 2	sample2	3833	6403	4112	218450	0	
1	 1	 2	 3	sample2	3554	6124	3598	195320	0	
1	 1	 2	 4	sample2	2137	4963	2056	206298	0	
1	 1	 2	 5	sample2	2244	5070	2314	135648	0	
1	 1	 2	 6	control	15389	18729	18504	247160	0	
1	 1	 3	 1	sample3	6931	9501	7196	182470	0	
1	 1	 3	 2	sample3	5287	7857	5654	187610	0	
1	 1	 3	 3	sample3	3988	6558	4112	187610	0	
1	 1	 3	 4	sample3	2622	5192	2570	177330	0	
1	 1	 3	 5	sample3	2139	4709	2056	254430	0	
1	 1	 3	 6	control	559	3643	256	123360	0	
1	 1	 4	 1	sample4	7654	9966	8482	201144	0	
1	 1	 4	 2	sample4	6612	8924	7710	184960	0	
1	 1	 4	 3	sample4	4617	6929	4884	182648	0	
1	 1	 4	 4	sample4	3440	5752	3084	168776	0	
1	 1	 4	 5	sample4	1697	4267	1284	208170	0	
1	 1	 4	 6	control	11042	13612	11308	161910	0	
1	 2	 1	 1	sample5	17543	21913	19788	380190	0	
1	 2	 1	 2	sample5	17976	22346	20302	353970	0	
1	 2	 1	 3	sample5	15552	19664	17220	345408	0	
1	 2	 1	 4	sample5	12183	16295	11566	345408	0	
1	 2	 1	 5	sample5	9549	13405	10280	316192	0	
1	 2	 1	 6	control	584	4440	256	154240	0	
1	 2	 2	 1	sample6	4347	8459	4370	287840	0	
1	 2	 2	 2	sample6	3304	7416	3084	312512	0	
1	 2	 2	 3	sample6	3591	7447	3854	300768	0	
1	 2	 2	 4	sample6	2833	6689	2826	300768	0	
1	 2	 2	 5	sample6	2826	6682	2570	204368	0	
1	 2	 2	 6	control	16398	19996	18504	273448	0	
1	 2	 3	 1	sample7	16425	20023	16448	392182	0	
1	 2	 3	 2	sample7	16542	19884	17732	253992	0	
1	 2	 3	 3	sample7	15739	19337	16706	241066	0	
1	 2	 3	 4	sample7	13167	16765	13878	262654	0	
1	 2	 3	 5	sample7	11551	14893	10022	260676	0	
1	 2	 3	 6	control	462	3804	256	133680	0	
1	 2	 4	 1	sample8	3206	6290	3084	228216	0	
1	 2	 4	 2	sample8	2402	5486	2570	160368	0	
1	 2	 4	 3	sample8	2003	4831	2056	277144	0	
1	 2	 4	 4	sample8	1477	4305	1542	113120	0	
1	 2	 4	 5	sample8	996	4080	1028	123360	0	
1	 2	 4	 6	control	14808	17892	15934	200460	0	
