MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 12:07:58 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	4809	7747	5012	232102	0	
1	 1	 1	 2	sample1	5036	7954	5862	250948	0	
1	 1	 1	 3	sample1	4659	7489	4922	212250	0	
1	 1	 1	 4	sample1	4066	7000	4128	149634	0	
1	 1	 1	 5	sample1	2730	5668	2812	146900	0	
1	 1	 1	 6	control	98.1	3398	56	132000	0	
1	 1	 2	 1	sample2	2982	5802	2914	174840	0	
1	 1	 2	 2	sample2	4252	7072	4556	242520	0	
1	 1	 2	 3	sample2	3705	6435	3750	221130	0	
1	 1	 2	 4	sample2	3514	6322	3850	146016	0	
1	 1	 2	 5	sample2	2803	5597	2730	136906	0	
1	 1	 2	 6	control	9143	12109	10364	216518	0	
1	 1	 3	 1	sample3	7211	10123	7592	209664	0	
1	 1	 3	 2	sample3	6747	9609	7178	223236	0	
1	 1	 3	 3	sample3	6903	9623	7160	190400	0	
1	 1	 3	 4	sample3	5101	7823	5686	190540	0	
1	 1	 3	 5	sample3	3129	5721	3260	220320	0	
1	 1	 3	 6	control	19.8	2800	52	111200	0	
1	 1	 4	 1	sample4	8893	11485	9140	228096	0	
1	 1	 4	 2	sample4	8592	11104	9122	231104	0	
1	 1	 4	 3	sample4	7651	10095	8014	205296	0	
1	 1	 4	 4	sample4	5559	8047	5946	218944	0	
1	 1	 4	 5	sample4	4194	6578	3982	178800	0	
1	 1	 4	 6	control	7203	9621	7452	152334	0	
1	 2	 1	 1	sample5	7926	11422	8218	346104	0	
1	 2	 1	 2	sample5	9301	12575	10584	317578	0	
1	 2	 1	 3	sample5	8037	11061	8840	290304	0	
1	 2	 1	 4	sample5	7263	10205	8112	235360	0	
1	 2	 1	 5	sample5	5931	8645	6076	214406	0	
1	 2	 1	 6	control	435	3175	374	109600	0	
1	 2	 2	 1	sample6	6755	9859	7172	248320	0	
1	 2	 2	 2	sample6	6655	9583	7248	237168	0	
1	 2	 2	 3	sample6	6144	8898	6606	247860	0	
1	 2	 2	 4	sample6	5844	8538	6156	223602	0	
1	 2	 2	 5	sample6	5009	7565	5048	214704	0	
1	 2	 2	 6	control	8563	11117	9526	240076	0	
1	 2	 3	 1	sample7	6253	9007	5860	253368	0	
1	 2	 3	 2	sample7	7302	9926	7520	246656	0	
1	 2	 3	 3	sample7	6921	9507	7794	201708	0	
1	 2	 3	 4	sample7	5828	8184	5908	193192	0	
1	 2	 3	 5	sample7	4647	6961	4492	196690	0	
1	 2	 3	 6	control	218	2630	274	96480	0	
1	 2	 4	 1	sample8	5280	7306	6124	186392	0	
1	 2	 4	 2	sample8	3408	5458	3370	157850	0	
1	 2	 4	 3	sample8	4619	6605	4720	192642	0	
1	 2	 4	 4	sample8	3307	5295	3416	161028	0	
1	 2	 4	 5	sample8	2866	4828	2792	102024	0	
1	 2	 4	 6	control	7127	9087	7640	147000	0	
1	 3	 1	 1	sample9	9579	12819	10924	236520	0	
1	 3	 1	 2	sample9	11053	14123	12598	236390	0	
1	 3	 1	 3	sample9	10201	13143	11260	200056	0	
1	 3	 1	 4	sample9	8185	11127	9158	200056	0	
1	 3	 1	 5	sample9	6232	8960	6206	207328	0	
1	 3	 1	 6	control	452	3224	510	110880	0	
1	 3	 2	 1	sample10	2676	5700	2726	120960	0	
1	 3	 2	 2	sample10	4848	7768	4872	198560	0	
1	 3	 2	 3	sample10	5593	8361	6390	124560	0	
1	 3	 2	 4	sample10	3602	6298	3578	188720	0	
1	 3	 2	 5	sample10	3521	6369	3818	142400	0	
1	 3	 2	 6	control	9480	12204	10810	198852	0	
1	 3	 3	 1	sample11	7117	9937	7400	203040	0	
1	 3	 3	 2	sample11	7899	10699	8360	182000	0	
1	 3	 3	 3	sample11	7376	10044	6618	178756	0	
1	 3	 3	 4	sample11	5996	8654	6288	164796	0	
1	 3	 3	 5	sample11	4950	7580	4684	186730	0	
1	 3	 3	 6	control	80.8	2733	-23.99	106080	0	
1	 3	 4	 1	sample12	5353	7785	5774	189696	0	
1	 3	 4	 2	sample12	5245	7557	5714	157216	0	
1	 3	 4	 3	sample12	6072	8366	6060	178932	0	
1	 3	 4	 4	sample12	4688	6856	4626	153928	0	
1	 3	 4	 5	sample12	3445	5715	3528	138470	0	
1	 3	 4	 6	control	8201	10471	9016	136200	0	
1	 4	 1	 1	sample13	6187	9215	5774	251324	0	
1	 4	 1	 2	sample13	8098	10970	8112	241248	0	
1	 4	 1	 3	sample13	5839	8699	5502	234520	0	
1	 4	 1	 4	sample13	4675	7415	4422	194540	0	
1	 4	 1	 5	sample13	3543	6207	3538	141192	0	
1	 4	 1	 6	control	504	3264	460	110400	0	
1	 4	 2	 1	sample14	7756	10658	8204	217650	0	
1	 4	 2	 2	sample14	7648	10536	8516	288800	0	
1	 4	 2	 3	sample14	6709	9453	7220	214032	0	
1	 4	 2	 4	sample14	5539	8267	5126	207328	0	
1	 4	 2	 5	sample14	5502	8158	5280	140768	0	
1	 4	 2	 6	control	9233	11785	9964	204160	0	
1	 4	 3	 1	sample15	7908	10574	8218	218612	0	
1	 4	 3	 2	sample15	8299	10971	8066	189712	0	
1	 4	 3	 3	sample15	7151	9735	7612	180880	0	
1	 4	 3	 4	sample15	5719	8171	5106	174092	0	
1	 4	 3	 5	sample15	4178	6512	3870	170382	0	
1	 4	 3	 6	control	373	2711	344	93520	0	
1	 4	 4	 1	sample16	8242	10456	7770	117342	0	
1	 4	 4	 2	sample16	4403	6661	4644	169350	0	
1	 4	 4	 3	sample16	5698	7830	5482	187616	0	
1	 4	 4	 4	sample16	3610	5676	3560	175610	0	
1	 4	 4	 5	sample16	2906	4956	2930	139400	0	
1	 4	 4	 6	control	6420	8542	7084	135808	0	
1	 5	 1	 1	sample17	8059	10381	9022	195048	0	
1	 5	 1	 2	sample17	8509	10981	9202	212592	0	
1	 5	 1	 3	sample17	7028	9524	7240	202176	0	
1	 5	 1	 4	sample17	5863	8277	6166	183464	0	
1	 5	 1	 5	sample17	4169	6669	4098	180000	0	
1	 5	 1	 6	control	926	3536	964	104400	0	
1	 5	 2	 1	sample18	3223	5363	3190	38520	0	
1	 5	 2	 2	sample18	3862	6196	3710	123702	0	
1	 5	 2	 3	sample18	3060	5372	3092	117912	0	
1	 5	 2	 4	sample18	2760	5028	2632	113400	0	
1	 5	 2	 5	sample18	2354	4680	2218	111648	0	
1	 5	 2	 6	control	9808	12208	11212	163200	0	
1	 5	 3	 1	sample19	8224	10158	9214	148918	0	
1	 5	 3	 2	sample19	7312	9302	7600	151240	0	
1	 5	 3	 3	sample19	7199	9137	7302	120156	0	
1	 5	 3	 4	sample19	5324	7272	5226	132464	0	
