MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 12:44:41 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1230	3544	1284	120328	0	
1	 1	 1	 2	sample1	1516	3830	1542	92560	0	
1	 1	 1	 3	sample1	1238	3294	1028	100744	0	
1	 1	 1	 4	sample1	945	3001	1028	82240	0	
1	 1	 1	 5	sample1	772	2828	772	82240	0	
1	 1	 1	 6	control	89.5	2404	0	92560	0	
1	 1	 2	 1	sample2	944	2744	770	72000	0	
1	 1	 2	 2	sample2	1472	3272	1284	93600	0	
1	 1	 2	 3	sample2	1141	2941	1028	90000	0	
1	 1	 2	 4	sample2	951	2493	1028	61680	0	
1	 1	 2	 5	sample2	648	2448	514	72000	0	
1	 1	 2	 6	control	3319	5119	3598	131400	0	
1	 1	 3	 1	sample3	1834	3634	1798	91800	0	
1	 1	 3	 2	sample3	2017	3559	2056	80184	0	
1	 1	 3	 3	sample3	1788	3330	1800	72474	0	
1	 1	 3	 4	sample3	1039	2581	1028	78642	0	
1	 1	 3	 5	sample3	920	2462	772	58596	0	
1	 1	 3	 6	control	257	1799	258	61680	0	
1	 1	 4	 1	sample4	2175	3717	2056	134154	0	
1	 1	 4	 2	sample4	2770	4056	2826	64300	0	
1	 1	 4	 3	sample4	1722	3008	1542	60442	0	
1	 1	 4	 4	sample4	1222	2508	1028	63014	0	
1	 1	 4	 5	sample4	1138	2424	1028	56584	0	
1	 1	 4	 6	control	2146	3432	2056	83590	0	
1	 2	 1	 1	sample5	2587	4901	2570	205946	0	
1	 2	 1	 2	sample5	2653	4967	2826	229086	0	
1	 2	 1	 3	sample5	2666	4980	2570	122642	0	
1	 2	 1	 4	sample5	1905	4219	2056	122642	0	
1	 2	 1	 5	sample5	1433	3489	1286	96632	0	
1	 2	 1	 6	control	424	2480	514	82240	0	
1	 2	 2	 1	sample6	1796	3852	1800	172704	0	
1	 2	 2	 2	sample6	2109	3909	2056	95400	0	
1	 2	 2	 3	sample6	1912	3712	2056	93600	0	
1	 2	 2	 4	sample6	1567	3367	1542	90000	0	
1	 2	 2	 5	sample6	884	2684	1028	90000	0	
1	 2	 2	 6	control	2106	3906	2312	172800	0	
1	 2	 3	 1	sample7	2200	3742	2314	118734	0	
1	 2	 3	 2	sample7	2169	3711	2056	120276	0	
1	 2	 3	 3	sample7	1969	3511	2056	131070	0	
1	 2	 3	 4	sample7	1507	3049	1542	77100	0	
1	 2	 3	 5	sample7	903	2445	1028	75558	0	
1	 2	 3	 6	control	-31.44	1511	-255.99	61680	0	
1	 2	 4	 1	sample8	1592	2878	1542	99022	0	
1	 2	 4	 2	sample8	1124	2410	1028	51440	0	
1	 2	 4	 3	sample8	845	2387	772	75558	0	
1	 2	 4	 4	sample8	531	2073	514	74016	0	
1	 2	 4	 5	sample8	1028	2314	1028	30864	0	
