MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 12:30:31 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	64.7	5461	258	215840	0	
1	 1	 1	 2	sample1	-2609.04	2531	-2569.99	205600	0	
1	 1	 1	 3	sample1	-861.54	4792	-771.99	226160	0	
1	 1	 1	 4	sample1	-360.29	5294	0	226160	0	
1	 1	 1	 5	sample1	-185.79	5210	258	215840	0	
1	 1	 1	 6	control	-321.79	4818	0	205600	0	
1	 1	 2	 1	sample2	495	5377	772	195280	0	
1	 1	 2	 2	sample2	-198.54	4683	0	195280	0	
1	 1	 2	 3	sample2	-1445.29	3437	-1283.99	195280	0	
1	 1	 2	 4	sample2	-809.94	4330	-513.99	205600	0	
1	 1	 2	 5	sample2	-982.64	3899	-769.99	195280	0	
1	 1	 2	 6	control	693	5319	1028	185040	0	
1	 1	 3	 1	sample3	495	4863	772	174720	0	
1	 1	 3	 2	sample3	76.7	4703	256	185040	0	
1	 1	 3	 3	sample3	514	5140	770	185040	0	
1	 1	 3	 4	sample3	443	5069	514	185040	0	
1	 1	 3	 5	sample3	-262.94	4105	-255.99	174720	0	
1	 1	 3	 6	control	-179.39	4189	258	174720	0	
1	 1	 4	 1	sample4	527	4381	772	154160	0	
1	 1	 4	 2	sample4	315	4169	514	154160	0	
1	 1	 4	 3	sample4	135	3989	514	154160	0	
1	 1	 4	 4	sample4	-148.29	3964	256	164480	0	
1	 1	 4	 5	sample4	-19.74	4092	256	164480	0	
1	 1	 4	 6	control	637	4749	514	111024	0	
1	 2	 1	 1	sample5	1431	7085	1542	288354	0	
1	 2	 1	 2	sample5	1121	6517	1286	269800	0	
1	 2	 1	 3	sample5	1131	6013	1028	195280	0	
1	 2	 1	 4	sample5	739	5107	772	174720	0	
1	 2	 1	 5	sample5	716	4828	770	156256	0	
1	 2	 1	 6	control	142	3996	258	154160	0	
1	 2	 2	 1	sample6	881	6277	1028	215840	0	
1	 2	 2	 2	sample6	295	5435	514	205600	0	
1	 2	 2	 3	sample6	-874.29	3752	-771.99	185040	0	
1	 2	 2	 4	sample6	-50.84	4317	258	174720	0	
1	 2	 2	 5	sample6	786	4640	772	69372	0	
1	 2	 2	 6	control	984	4838	1028	154160	0	
1	 2	 3	 1	sample7	1318	6714	1286	215840	0	
1	 2	 3	 2	sample7	1061	5943	1028	195280	0	
1	 2	 3	 3	sample7	908	5534	770	208170	0	
1	 2	 3	 4	sample7	745	4857	770	164480	0	
1	 2	 3	 5	sample7	186	4298	256	164480	0	
1	 2	 3	 6	control	32.6	3887	0	154160	0	
1	 2	 4	 1	sample8	804	5944	770	236440	0	
1	 2	 4	 2	sample8	470	5352	514	195280	0	
1	 2	 4	 3	sample8	250	4876	256	185040	0	
1	 2	 4	 4	sample8	533	4645	514	164480	0	
1	 2	 4	 5	sample8	347	4459	256	164480	0	
1	 2	 4	 6	control	871	4725	772	169576	0	
1	 3	 1	 1	sample9	1769	4081	1800	136408	0	
1	 3	 1	 2	sample9	1728	4040	1800	150280	0	
1	 3	 1	 3	sample9	1385	3697	1542	113288	0	
1	 3	 1	 4	sample9	1016	3328	1028	94792	0	
1	 3	 1	 5	sample9	831	2887	770	78128	0	
1	 3	 1	 6	control	481	2023	256	61680	0	
1	 3	 2	 1	sample10	882	2938	770	94576	0	
1	 3	 2	 2	sample10	1216	3528	1286	94792	0	
1	 3	 2	 3	sample10	1165	3477	1286	108664	0	
1	 3	 2	 4	sample10	734	2790	770	86352	0	
1	 3	 2	 5	sample10	659	2201	514	70932	0	
1	 3	 2	 6	control	1560	2844	1800	74472	0	
1	 3	 3	 1	sample11	1208	3520	1028	92480	0	
1	 3	 3	 2	sample11	1211	3523	1028	71672	0	
1	 3	 3	 3	sample11	961	3017	1028	71960	0	
1	 3	 3	 4	sample11	900	2698	772	43152	0	
1	 3	 3	 5	sample11	727	2011	772	51360	0	
1	 3	 3	 6	control	353	1381	256	41120	0	
1	 3	 4	 1	sample12	1410	3722	1028	166464	0	
1	 3	 4	 2	sample12	1142	3454	1028	57800	0	
1	 3	 4	 3	sample12	791	2847	770	104856	0	
1	 3	 4	 4	sample12	507	2305	514	61132	0	
1	 3	 4	 5	sample12	607	2149	514	33924	0	
1	 3	 4	 6	control	995	2279	1028	59064	0	
1	 4	 1	 1	sample13	2234	5832	2056	255458	0	
1	 4	 1	 2	sample13	2209	5551	2312	297438	0	
1	 4	 1	 3	sample13	1333	4675	1284	247308	0	
1	 4	 1	 4	sample13	1476	4560	1286	141864	0	
1	 4	 1	 5	sample13	894	4236	770	160416	0	
