MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 12:37:42 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	3606	5136	3726	142290	0	
1	 1	 1	 2	sample1	5224	7156	4994	102396	0	
1	 1	 1	 3	sample1	4817	6547	4958	128020	0	
1	 1	 1	 4	sample1	4403	5889	4670	93618	0	
1	 1	 1	 5	sample1	2637	3883	2946	99680	0	
1	 1	 1	 6	control	179	1453	48	50960	0	
1	 1	 2	 1	sample2	2656	5102	2606	114962	0	
1	 1	 2	 2	sample2	5223	7677	5840	198774	0	
1	 1	 2	 3	sample2	4590	6824	5246	183188	0	
1	 1	 2	 4	sample2	3872	5692	4500	140140	0	
1	 1	 2	 5	sample2	3898	5454	3772	79356	0	
1	 1	 2	 6	control	7670	9668	8650	147852	0	
1	 1	 3	 1	sample3	2932	5774	2986	133574	0	
1	 1	 3	 2	sample3	4900	7400	4970	222500	0	
1	 1	 3	 3	sample3	5682	8126	5814	129532	0	
1	 1	 3	 4	sample3	4167	6237	4534	151110	0	
1	 1	 3	 5	sample3	2720	4542	2468	72880	0	
1	 1	 3	 6	control	-355.49	1807	-473.99	86480	0	
1	 1	 4	 1	sample4	3224	5050	3374	80344	0	
1	 1	 4	 2	sample4	3421	5117	3274	79712	0	
1	 1	 4	 3	sample4	3570	5466	3406	140304	0	
1	 1	 4	 4	sample4	2718	4576	2858	91042	0	
1	 1	 4	 5	sample4	1438	3266	1434	73120	0	
1	 1	 4	 6	control	5917	8647	5842	169260	0	
1	 2	 1	 1	sample5	3161	5385	3052	113424	0	
1	 2	 1	 2	sample5	5660	7576	5946	97716	0	
1	 2	 1	 3	sample5	3929	5473	3942	142048	0	
1	 2	 1	 4	sample5	3218	4540	3118	103116	0	
1	 2	 1	 5	sample5	2371	3515	2360	102960	0	
1	 2	 1	 6	control	160	1302	96	45680	0	
1	 2	 2	 1	sample6	2883	6865	3222	211046	0	
1	 2	 2	 2	sample6	6094	8856	6690	146386	0	
1	 2	 2	 3	sample6	4579	6757	4964	198198	0	
1	 2	 2	 4	sample6	3881	5601	4152	168560	0	
1	 2	 2	 5	sample6	4351	5715	4636	110484	0	
1	 2	 2	 6	control	7723	9069	9138	99604	0	
1	 2	 3	 1	sample7	1783	6075	1428	171680	0	
1	 2	 3	 2	sample7	3243	6329	3600	111096	0	
1	 2	 3	 3	sample7	2961	5217	3036	119568	0	
1	 2	 3	 4	sample7	4186	5920	4284	76296	0	
1	 2	 3	 5	sample7	1545	2859	1480	61758	0	
1	 2	 3	 6	control	14.4	1100	-23.99	43440	0	
1	 2	 4	 1	sample8	748	4658	678	140760	0	
1	 2	 4	 2	sample8	1043	3349	992	92240	0	
1	 2	 4	 3	sample8	2307	4245	2432	85272	0	
1	 2	 4	 4	sample8	1126	2500	1088	54960	0	
1	 2	 4	 5	sample8	967	1967	828	40000	0	
1	 2	 4	 6	control	3906	4920	3734	64896	0	
