MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 1:56:07 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	392	1676	258	51360	0	
1	 1	 1	 2	sample1	76.7	1619	0	61680	0	
1	 1	 1	 3	sample1	282	1824	256	61680	0	
1	 1	 1	 4	sample1	327	1869	256	61680	0	
1	 1	 1	 5	sample1	219	2017	258	71920	0	
1	 1	 1	 6	control	45.4	1843	0	71920	0	
1	 1	 2	 1	sample2	1096	2380	1028	59064	0	
1	 1	 2	 2	sample2	1082	2624	1028	80184	0	
1	 1	 2	 3	sample2	812	2354	770	77100	0	
1	 1	 2	 4	sample2	592	2134	514	75558	0	
1	 1	 2	 5	sample2	52	1850	0	71920	0	
1	 1	 2	 6	control	1572	3370	1542	142042	0	
1	 1	 3	 1	sample3	1449	2733	1286	56496	0	
1	 1	 3	 2	sample3	947	2489	770	53970	0	
1	 1	 3	 3	sample3	1022	2564	1028	77100	0	
1	 1	 3	 4	sample3	752	2294	770	64764	0	
1	 1	 3	 5	sample3	192	1734	256	61680	0	
1	 1	 3	 6	control	-231.99	1310	-257.99	61680	0	
1	 1	 4	 1	sample4	1366	2650	1542	61632	0	
1	 1	 4	 2	sample4	552	2094	514	61680	0	
1	 1	 4	 3	sample4	295	1837	256	61680	0	
1	 1	 4	 4	sample4	212	1754	256	61680	0	
1	 1	 4	 5	sample4	-18.69	1779	0	71920	0	
1	 1	 4	 6	control	772	2570	772	44950	0	
1	 2	 1	 1	sample5	2191	3733	2314	61680	0	
1	 2	 1	 2	sample5	1394	3194	1542	84600	0	
1	 2	 1	 3	sample5	620	2420	514	82800	0	
1	 2	 1	 4	sample5	321	2121	256	72000	0	
1	 2	 1	 5	sample5	571	2371	514	72000	0	
1	 2	 1	 6	control	186	1986	256	72000	0	
1	 2	 2	 1	sample6	1656	3198	1800	104856	0	
1	 2	 2	 2	sample6	1022	2564	1028	64764	0	
1	 2	 2	 3	sample6	212	2012	0	72000	0	
1	 2	 2	 4	sample6	335	1877	258	61680	0	
1	 2	 2	 5	sample6	19.7	1562	0	61680	0	
1	 2	 2	 6	control	1542	3342	1542	37800	0	
1	 2	 3	 1	sample7	1902	3444	1800	77100	0	
1	 2	 3	 2	sample7	1231	2773	1028	72474	0	
1	 2	 3	 3	sample7	867	2409	772	78642	0	
1	 2	 3	 4	sample7	605	2147	514	57054	0	
1	 2	 3	 5	sample7	-25.29	1517	0	61680	0	
1	 2	 3	 6	control	123	1665	0	61680	0	
1	 2	 4	 1	sample8	1531	3073	1542	67848	0	
1	 2	 4	 2	sample8	675	2217	772	61680	0	
1	 2	 4	 3	sample8	494	2294	514	72000	0	
1	 2	 4	 4	sample8	276	2076	256	72000	0	
1	 2	 4	 5	sample8	205	2005	256	72000	0	
1	 2	 4	 6	control	584	2384	514	72000	0	
1	 3	 1	 1	sample9	1650	3192	1798	80184	0	
1	 3	 1	 2	sample9	937	2735	1028	86304	0	
1	 3	 1	 3	sample9	970	2512	1028	61680	0	
1	 3	 1	 4	sample9	966	2508	1028	38550	0	
1	 3	 1	 5	sample9	546	2088	514	61680	0	
1	 3	 1	 6	control	154	1696	256	61680	0	
1	 3	 2	 1	sample10	1192	2734	1028	72474	0	
1	 3	 2	 2	sample10	1284	2826	1284	61680	0	
1	 3	 2	 3	sample10	758	2300	770	61680	0	
1	 3	 2	 4	sample10	340	1882	256	61680	0	
1	 3	 2	 5	sample10	211	1753	256	61680	0	
1	 3	 2	 6	control	1624	3166	1542	86352	0	
1	 3	 3	 1	sample11	1642	2926	1542	73188	0	
1	 3	 3	 2	sample11	1839	3123	2056	59064	0	
1	 3	 3	 3	sample11	1304	2588	1286	52644	0	
1	 3	 3	 4	sample11	996	2280	1028	20544	0	
1	 3	 3	 5	sample11	386	1670	258	51360	0	
1	 3	 3	 6	control	32.7	1317	0	51360	0	
1	 3	 4	 1	sample12	2179	3721	2312	77100	0	
1	 3	 4	 2	sample12	1767	3309	1542	50886	0	
1	 3	 4	 3	sample12	1180	2722	1028	75558	0	
1	 3	 4	 4	sample12	657	1941	772	46224	0	
1	 3	 4	 5	sample12	436	1720	514	46224	0	
1	 3	 4	 6	control	561	2103	514	75558	0	
1	 4	 1	 1	sample13	2862	4918	2828	92520	0	
1	 4	 1	 2	sample13	2502	4558	2570	100744	0	
1	 4	 1	 3	sample13	1697	3497	1542	86400	0	
1	 4	 1	 4	sample13	729	2529	770	88200	0	
1	 4	 1	 5	sample13	749	2549	770	86400	0	
1	 4	 1	 6	control	147	1947	256	72000	0	
1	 4	 2	 1	sample14	1974	3774	1798	34200	0	
1	 4	 2	 2	sample14	876	2676	770	91800	0	
1	 4	 2	 3	sample14	527	2069	514	61680	0	
1	 4	 2	 4	sample14	502	2044	514	61680	0	
1	 4	 2	 5	sample14	502	2044	514	61680	0	
1	 4	 2	 6	control	2213	4013	2056	55800	0	
1	 4	 3	 1	sample15	1180	2722	1028	67848	0	
1	 4	 3	 2	sample15	450	1992	514	61680	0	
1	 4	 3	 3	sample15	405	1947	258	61680	0	
1	 4	 3	 4	sample15	341	1883	258	61680	0	
