MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 1:49:04 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1125	4209	1028	154200	0	
1	 1	 1	 2	sample1	873	3957	770	123360	0	
1	 1	 1	 3	sample1	1023	3849	1028	124344	0	
1	 1	 1	 4	sample1	1130	3442	1028	87856	0	
1	 1	 1	 5	sample1	372	1914	256	61680	0	
1	 1	 1	 6	control	129	1413	0	51360	0	
1	 1	 2	 1	sample2	1131	4985	772	154160	0	
1	 1	 2	 2	sample2	2099	5953	2056	188846	0	
1	 1	 2	 3	sample2	1437	4777	1542	146960	0	
1	 1	 2	 4	sample2	1156	3726	1028	107940	0	
1	 1	 2	 5	sample2	700	2242	514	61680	0	
1	 1	 2	 6	control	945	2229	1028	51360	0	
1	 1	 3	 1	sample3	836	4176	772	133600	0	
1	 1	 3	 2	sample3	1329	5183	1286	181138	0	
1	 1	 3	 3	sample3	1239	4579	1028	167000	0	
1	 1	 3	 4	sample3	1610	4180	1542	77100	0	
1	 1	 3	 5	sample3	610	2152	770	61680	0	
1	 1	 3	 6	control	232	1516	258	51360	0	
1	 1	 4	 1	sample4	1998	4310	1800	110976	0	
1	 1	 4	 2	sample4	2051	5391	2056	150300	0	
1	 1	 4	 3	sample4	1816	5156	1800	160320	0	
1	 1	 4	 4	sample4	1432	4258	1286	124344	0	
1	 1	 4	 5	sample4	592	2390	258	71920	0	
1	 1	 4	 6	control	1848	3390	1542	40092	0	
1	 2	 1	 1	sample5	867	3179	1028	99416	0	
1	 2	 1	 2	sample5	797	3109	772	92480	0	
1	 2	 1	 3	sample5	696	2752	514	98688	0	
1	 2	 1	 4	sample5	652	2450	514	77314	0	
1	 2	 1	 5	sample5	549	2347	514	53940	0	
1	 2	 1	 6	control	200	1998	0	64728	0	
1	 2	 2	 1	sample6	1029	3341	1028	101728	0	
1	 2	 2	 2	sample6	1134	3446	1028	117912	0	
1	 2	 2	 3	sample6	970	3026	1028	100744	0	
