MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 3:00:56 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	2149	6517	1800	205296	0	
1	 1	 1	 2	sample1	2270	6638	2056	205296	0	
1	 1	 1	 3	sample1	1805	6173	1542	205296	0	
1	 1	 1	 4	sample1	1568	5680	1284	201488	0	
1	 1	 1	 5	sample1	1207	5319	770	164480	0	
1	 1	 1	 6	control	1092	5204	514	164480	0	
1	 1	 2	 1	sample2	1912	5766	1542	184992	0	
1	 1	 2	 2	sample2	2502	6356	2570	246656	0	
1	 1	 2	 3	sample2	2390	5988	2312	237468	0	
1	 1	 2	 4	sample2	1871	5725	1542	181138	0	
1	 1	 2	 5	sample2	1423	5277	1028	173430	0	
1	 1	 2	 6	control	6806	10404	7710	251860	0	
1	 1	 3	 1	sample3	4922	8520	5396	259056	0	
1	 1	 3	 2	sample3	4200	7798	4626	251860	0	
1	 1	 3	 3	sample3	3141	6739	3084	241066	0	
1	 1	 3	 4	sample3	2093	5691	2056	219478	0	
1	 1	 3	 5	sample3	4343	7683	2314	160320	0	
1	 1	 3	 6	control	791	4131	514	133600	0	
1	 1	 4	 1	sample4	4658	7998	5140	247160	0	
1	 1	 4	 2	sample4	3979	7319	4112	243820	0	
1	 1	 4	 3	sample4	2708	6048	2570	243820	0	
1	 1	 4	 4	sample4	1503	4843	1286	300600	0	
1	 1	 4	 5	sample4	1434	4774	1286	126920	0	
1	 1	 4	 6	control	3842	7182	3342	253840	0	
1	 2	 1	 1	sample5	3521	5835	3598	108758	0	
1	 2	 1	 2	sample5	3475	5789	3340	106444	0	
1	 2	 1	 3	sample5	2918	4974	2828	82240	0	
1	 2	 1	 4	sample5	1953	4267	1798	92560	0	
1	 2	 1	 5	sample5	1746	3802	1800	49344	0	
1	 2	 1	 6	control	688	2744	514	82240	0	
1	 2	 2	 1	sample6	2739	4539	2826	79200	0	
1	 2	 2	 2	sample6	2230	4030	2312	90000	0	
1	 2	 2	 3	sample6	2155	3955	2056	88200	0	
1	 2	 2	 4	sample6	1957	3757	1798	84600	0	
1	 2	 2	 5	sample6	1464	3264	1542	72000	0	
1	 2	 2	 6	control	6617	8417	6938	129600	0	
1	 2	 3	 1	sample7	2945	4487	3598	121818	0	
1	 2	 3	 2	sample7	3058	4600	2828	75558	0	
