MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 8:38:43 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	8992	12076	8996	225132	0	
1	 1	 1	 2	sample1	11480	14564	12850	231300	0	
1	 1	 1	 3	sample1	7910	10738	8480	217756	0	
1	 1	 1	 4	sample1	4836	7664	4626	234724	0	
1	 1	 1	 5	sample1	2488	5316	2570	203616	0	
1	 1	 1	 6	control	861	3431	514	102800	0	
1	 1	 2	 1	sample2	6326	8896	6168	172190	0	
1	 1	 2	 2	sample2	12041	14611	13108	187610	0	
1	 1	 2	 3	sample2	9079	11649	9510	205600	0	
1	 1	 2	 4	sample2	7464	9778	8480	155038	0	
1	 1	 2	 5	sample2	4433	6747	3854	194376	0	
1	 1	 2	 6	control	989	3303	770	92560	0	
1	 1	 3	 1	sample3	5204	7518	2312	55536	0	
1	 1	 3	 2	sample3	906	2962	772	82240	0	
1	 1	 3	 3	sample3	611	2667	514	82240	0	
1	 1	 3	 4	sample3	424	2480	514	82240	0	
1	 1	 3	 5	sample3	996	3052	772	82240	0	
1	 1	 3	 6	control	751	2551	256	72000	0	
1	 1	 4	 1	sample4	1471	3271	1284	72000	0	
1	 1	 4	 2	sample4	1111	2911	770	72000	0	
1	 1	 4	 3	sample4	1060	2860	770	72000	0	
1	 1	 4	 4	sample4	861	2661	514	72000	0	
1	 1	 4	 5	sample4	970	2770	770	72000	0	
1	 1	 4	 6	control	771	2571	514	72000	0	
1	 2	 1	 1	sample5	945	4029	772	123360	0	
1	 2	 1	 2	sample5	1651	4735	1286	58596	0	
1	 2	 1	 3	sample5	649	3733	514	123360	0	
1	 2	 1	 4	sample5	771	3855	514	123360	0	
1	 2	 1	 5	sample5	707	3791	514	123360	0	
1	 2	 1	 6	control	732	3560	514	113120	0	
1	 2	 2	 1	sample6	12432	15260	13106	195132	0	
1	 2	 2	 2	sample6	11512	14340	12078	209272	0	
1	 2	 2	 3	sample6	11090	13918	11822	220584	0	
1	 2	 2	 4	sample6	10340	13168	10794	214928	0	
1	 2	 2	 5	sample6	7522	10350	7966	220584	0	
1	 2	 2	 6	control	1208	3778	1028	102800	0	
1	 2	 3	 1	sample7	913	3483	772	102800	0	
1	 2	 3	 2	sample7	939	3509	772	102800	0	
1	 2	 3	 3	sample7	714	3284	514	102800	0	
1	 2	 3	 4	sample7	720	3290	514	102800	0	
1	 2	 3	 5	sample7	444	3014	258	102800	0	
1	 2	 3	 6	control	450	3020	258	102800	0	
1	 2	 4	 1	sample8	713	3027	514	92560	0	
1	 2	 4	 2	sample8	584	2898	256	92560	0	
1	 2	 4	 3	sample8	584	2898	514	92560	0	
1	 2	 4	 4	sample8	693	3007	514	92560	0	
1	 2	 4	 5	sample8	501	2815	256	92560	0	
1	 2	 4	 6	control	790	3104	770	92560	0	
1	 3	 1	 1	sample9	1072	5442	1028	174800	0	
1	 3	 1	 2	sample9	1387	5757	1284	131100	0	
1	 3	 1	 3	sample9	854	5224	770	174800	0	
1	 3	 1	 4	sample9	880	5250	770	174800	0	
1	 3	 1	 5	sample9	398	4768	256	174800	0	
1	 3	 1	 6	control	559	4929	514	174800	0	
1	 3	 2	 1	sample10	346	4716	256	174800	0	
1	 3	 2	 2	sample10	507	4877	256	174800	0	
1	 3	 2	 3	sample10	611	4723	514	164480	0	
1	 3	 2	 4	sample10	521	4633	514	164480	0	
1	 3	 2	 5	sample10	457	4569	258	164480	0	
1	 3	 2	 6	control	803	5173	770	174800	0	
1	 3	 3	 1	sample11	9160	13272	7710	308400	0	
1	 3	 3	 2	sample11	10739	15109	10794	249090	0	
1	 3	 3	 3	sample11	9086	13198	9510	234384	0	
1	 3	 3	 4	sample11	4458	8570	4112	226160	0	
1	 3	 3	 5	sample11	3394	7506	2570	263168	0	
1	 3	 3	 6	control	335	4447	258	164480	0	
1	 3	 4	 1	sample12	4201	8313	3598	250832	0	
1	 3	 4	 2	sample12	3743	7855	4112	263168	0	
1	 3	 4	 3	sample12	5980	10092	6168	263168	0	
1	 3	 4	 4	sample12	3129	7241	3084	263168	0	
1	 3	 4	 5	sample12	1989	5845	2056	134960	0	
1	 3	 4	 6	control	810	4922	772	164480	0	
1	 4	 1	 1	sample13	944	3514	1028	102800	0	
1	 4	 1	 2	sample13	881	3707	772	113040	0	
1	 4	 1	 3	sample13	585	3411	514	113040	0	
1	 4	 1	 4	sample13	571	3141	514	102800	0	
1	 4	 1	 5	sample13	636	3206	514	102800	0	
1	 4	 1	 6	control	552	3122	514	102800	0	
1	 4	 2	 1	sample14	867	3437	770	102800	0	
1	 4	 2	 2	sample14	777	3347	770	102800	0	
1	 4	 2	 3	sample14	584	3154	514	102800	0	
1	 4	 2	 4	sample14	733	3045	772	92480	0	
1	 4	 2	 5	sample14	494	3064	514	102800	0	
1	 4	 2	 6	control	1016	3328	1028	92480	0	
1	 4	 3	 1	sample15	9449	12019	9252	177330	0	
1	 4	 3	 2	sample15	7250	9820	6938	192750	0	
1	 4	 3	 3	sample15	6550	8862	7196	157216	0	
1	 4	 3	 4	sample15	3610	5922	3342	161840	0	
1	 4	 3	 5	sample15	2173	4485	2056	173400	0	
1	 4	 3	 6	control	392	2704	258	92480	0	
1	 4	 4	 1	sample16	6185	8497	5398	175712	0	
1	 4	 4	 2	sample16	3345	6171	3084	194994	0	
1	 4	 4	 3	sample16	6866	9178	6940	161840	0	
1	 4	 4	 4	sample16	2864	5176	2570	178024	0	
1	 4	 4	 5	sample16	2464	4776	2314	145656	0	
1	 4	 4	 6	control	540	2852	258	92480	0	
1	 5	 1	 1	sample17	6865	9691	6940	223254	0	
1	 5	 1	 2	sample17	7271	10097	7710	234558	0	
1	 5	 1	 3	sample17	4777	7603	4370	245862	0	
1	 5	 1	 4	sample17	3996	6822	4370	211950	0	
1	 5	 1	 5	sample17	1705	4531	1542	245862	0	
1	 5	 1	 6	control	309	3135	258	113040	0	
1	 5	 2	 1	sample18	346	2916	256	102800	0	
1	 5	 2	 2	sample18	682	2994	772	92480	0	
1	 5	 2	 3	sample18	592	2904	514	92480	0	
1	 5	 2	 4	sample18	379	2949	256	102800	0	
1	 5	 2	 5	sample18	379	2949	514	102800	0	
1	 5	 2	 6	control	1040	3610	1028	105370	0	
1	 5	 3	 1	sample19	991	3303	1028	94792	0	
1	 5	 3	 2	sample19	592	2904	514	92480	0	
1	 5	 3	 3	sample19	757	3069	772	83232	0	
1	 5	 3	 4	sample19	785	3097	772	43928	0	
1	 5	 3	 5	sample19	425	2737	514	92480	0	
1	 5	 3	 6	control	231	2801	256	102800	0	
1	 5	 4	 1	sample20	579	2891	772	92480	0	
1	 5	 4	 2	sample20	354	2666	258	92480	0	
1	 5	 4	 3	sample20	405	2717	258	92480	0	
1	 5	 4	 4	sample20	399	2711	258	92480	0	
1	 5	 4	 5	sample20	470	2782	258	92480	0	
1	 5	 4	 6	control	662	2974	514	92480	0	
1	 6	 1	 1	sample21	720	3804	772	123360	0	
1	 6	 1	 2	sample21	726	4068	514	133680	0	
1	 6	 1	 3	sample21	475	3817	514	133680	0	
1	 6	 1	 4	sample21	431	3515	514	123360	0	
1	 6	 1	 5	sample21	469	3553	514	123360	0	
1	 6	 1	 6	control	437	3521	514	123360	0	
1	 6	 2	 1	sample22	5661	8745	5654	228216	0	
1	 6	 2	 2	sample22	10398	13482	10024	243636	0	
1	 6	 2	 3	sample22	9420	12504	10024	231300	0	
1	 6	 2	 4	sample22	6448	9532	5654	243636	0	
1	 6	 2	 5	sample22	5236	8064	4882	203616	0	
1	 6	 2	 6	control	880	3708	770	113120	0	
