MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 9:32:18 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	4527	5555	5140	75044	0	
1	 1	 1	 2	sample1	4128	5670	4368	120276	0	
1	 1	 1	 3	sample1	3576	5632	4112	145976	0	
1	 1	 1	 4	sample1	2913	5225	3084	152592	0	
1	 1	 1	 5	sample1	3239	6065	3084	113040	0	
1	 1	 1	 6	control	559	3899	514	133600	0	
1	 1	 2	 1	sample2	5223	7021	4884	95294	0	
1	 1	 2	 2	sample2	3547	6373	3598	240210	0	
1	 1	 2	 3	sample2	3663	6489	3856	203472	0	
1	 1	 2	 4	sample2	3994	7078	4112	141864	0	
1	 1	 2	 5	sample2	2806	6404	2826	179900	0	
1	 1	 2	 6	control	6947	10801	7968	273634	0	
1	 1	 3	 1	sample3	8156	11240	8480	342324	0	
1	 1	 3	 2	sample3	7661	12029	8482	406224	0	
1	 1	 3	 3	sample3	7818	12186	8482	345072	0	
1	 1	 3	 4	sample3	7309	11677	7968	340704	0	
1	 1	 3	 5	sample3	6127	10753	6682	323820	0	
1	 1	 3	 6	control	855	5737	772	195280	0	
1	 1	 4	 1	sample4	10616	15242	12078	328446	0	
1	 1	 4	 2	sample4	9492	14632	10280	400920	0	
1	 1	 4	 3	sample4	9672	15068	11052	426284	0	
1	 1	 4	 4	sample4	8338	13992	8480	469282	0	
1	 1	 4	 5	sample4	6195	12105	5654	508260	0	
1	 1	 4	 6	control	7338	13506	6682	345408	0	
1	 2	 1	 1	sample5	11142	13454	11566	242760	0	
1	 2	 1	 2	sample5	9545	12115	10022	236440	0	
1	 2	 1	 3	sample5	9303	11359	10536	164480	0	
1	 2	 1	 4	sample5	6794	8592	7454	133052	0	
1	 2	 1	 5	sample5	6282	8080	6682	163618	0	
1	 2	 1	 6	control	1182	3238	1028	61680	0	
1	 2	 2	 1	sample6	8489	11573	9508	271392	0	
1	 2	 2	 2	sample6	7269	10609	8224	273880	0	
1	 2	 2	 3	sample6	5044	7356	4884	245072	0	
1	 2	 2	 4	sample6	6158	8214	6938	160368	0	
1	 2	 2	 5	sample6	5463	7519	5910	143920	0	
1	 2	 2	 6	control	7665	9977	8996	168776	0	
1	 2	 3	 1	sample7	12628	16482	14136	404670	0	
1	 2	 3	 2	sample7	9936	14048	10280	378304	0	
1	 2	 3	 3	sample7	8950	12034	10022	265224	0	
1	 2	 3	 4	sample7	7043	9613	7966	195320	0	
1	 2	 3	 5	sample7	4523	7093	4626	192750	0	
1	 2	 3	 6	control	751	3321	770	102800	0	
1	 2	 4	 1	sample8	10885	16025	12336	447180	0	
1	 2	 4	 2	sample8	7413	12039	8480	365454	0	
1	 2	 4	 3	sample8	7784	11896	8480	370080	0	
1	 2	 4	 4	sample8	5178	9032	5140	339152	0	
1	 2	 4	 5	sample8	4162	7760	4368	309428	0	
1	 2	 4	 6	control	4172	7770	4112	291438	0	
1	 3	 1	 1	sample9	10543	12599	11308	195320	0	
1	 3	 1	 2	sample9	10739	13309	11822	213310	0	
1	 3	 1	 3	sample9	10905	13475	12594	161910	0	
1	 3	 1	 4	sample9	8972	11542	9766	141350	0	
1	 3	 1	 5	sample9	7079	9649	7454	174760	0	
1	 3	 1	 6	control	816	3130	770	92560	0	
1	 3	 2	 1	sample10	8809	10865	9510	156256	0	
1	 3	 2	 2	sample10	9121	11435	10280	187434	0	
1	 3	 2	 3	sample10	8422	10992	9510	177330	0	
1	 3	 2	 4	sample10	6588	9416	7196	178164	0	
1	 3	 2	 5	sample10	5435	8263	5654	169680	0	
1	 3	 2	 6	control	7534	10104	6940	131070	0	
1	 3	 3	 1	sample11	6722	8778	6940	145976	0	
1	 3	 3	 2	sample11	6168	8482	6168	141154	0	
1	 3	 3	 3	sample11	5275	7845	5398	167050	0	
1	 3	 3	 4	sample11	3773	6601	4112	186648	0	
1	 3	 3	 5	sample11	3534	6362	4112	172508	0	
1	 3	 3	 6	control	925	3753	1028	113120	0	
1	 3	 4	 1	sample12	6492	9320	6682	172508	0	
1	 3	 4	 2	sample12	5048	8132	5912	163452	0	
1	 3	 4	 3	sample12	5828	9170	6168	207204	0	
1	 3	 4	 4	sample12	4816	8158	4882	207204	0	
1	 3	 4	 5	sample12	3242	6840	3342	158312	0	
1	 3	 4	 6	control	5813	9155	4368	177126	0	
1	 4	 1	 1	sample13	12159	15243	13364	351576	0	
1	 4	 1	 2	sample13	11324	14408	12078	286812	0	
1	 4	 1	 3	sample13	9460	11772	9510	191896	0	
1	 4	 1	 4	sample13	6465	8007	7452	97146	0	
1	 4	 1	 5	sample13	6178	7462	6940	101436	0	
1	 4	 1	 6	control	637	1921	514	51360	0	
1	 4	 2	 1	sample14	11881	15735	12850	339152	0	
1	 4	 2	 2	sample14	9347	12687	9766	307280	0	
1	 4	 2	 3	sample14	9021	11847	10280	279774	0	
1	 4	 2	 4	sample14	7348	9404	7966	172704	0	
1	 4	 2	 5	sample14	6646	8444	7196	165416	0	
1	 4	 2	 6	control	6959	9015	7196	129528	0	
1	 4	 3	 1	sample15	6834	10688	7710	319882	0	
1	 4	 3	 2	sample15	5385	8725	5398	283900	0	
1	 4	 3	 3	sample15	4027	6853	4112	220428	0	
1	 4	 3	 4	sample15	2625	4937	2828	161840	0	
1	 4	 3	 5	sample15	1695	4007	1800	113288	0	
1	 4	 3	 6	control	662	2974	514	92480	0	
1	 4	 4	 1	sample16	6618	10986	7196	331968	0	
1	 4	 4	 2	sample16	4099	8211	4112	250832	0	
1	 4	 4	 3	sample16	3896	7494	4112	269850	0	
1	 4	 4	 4	sample16	3002	6342	3084	177020	0	
1	 4	 4	 5	sample16	1984	5324	2056	177020	0	
1	 4	 4	 6	control	3248	6846	3340	219478	0	
1	 5	 1	 1	sample17	7220	9018	7968	136648	0	
1	 5	 1	 2	sample17	5471	8041	5396	246720	0	
1	 5	 1	 3	sample17	4968	7794	4884	206298	0	
1	 5	 1	 4	sample17	4658	7742	4626	194292	0	
1	 5	 1	 5	sample17	3584	7182	3854	273448	0	
1	 5	 1	 6	control	970	5082	1028	164480	0	
1	 5	 2	 1	sample18	9964	12534	10280	213310	0	
1	 5	 2	 2	sample18	10112	14480	10794	318864	0	
1	 5	 2	 3	sample18	7462	11574	7966	353632	0	
1	 5	 2	 4	sample18	4185	8039	3598	343006	0	
1	 5	 2	 5	sample18	4144	8512	4370	323232	0	
1	 5	 2	 6	control	9743	14369	11308	314568	0	
1	 5	 3	 1	sample19	12210	15808	12850	406574	0	
1	 5	 3	 2	sample19	9627	14253	9766	522738	0	
1	 5	 3	 3	sample19	9884	14510	11050	411714	0	
1	 5	 3	 4	sample19	7855	12481	8738	393210	0	
1	 5	 3	 5	sample19	7207	11833	8224	314568	0	
1	 5	 3	 6	control	1363	6245	1286	97640	0	
1	 5	 4	 1	sample20	10022	14134	10794	365968	0	
1	 5	 4	 2	sample20	7037	11405	7710	345072	0	
1	 5	 4	 3	sample20	6309	10935	6424	379332	0	
1	 5	 4	 4	sample20	5918	10800	5912	390560	0	
1	 5	 4	 5	sample20	4820	10216	5398	393908	0	
1	 5	 4	 6	control	5152	10806	5140	356202	0	
1	 6	 1	 1	sample21	11250	13820	10536	300690	0	
1	 6	 1	 2	sample21	11164	14248	12078	277560	0	
1	 6	 1	 3	sample21	9210	11780	9766	205600	0	
1	 6	 1	 4	sample21	8191	9989	8996	125860	0	
1	 6	 1	 5	sample21	6357	7899	6682	123360	0	
1	 6	 1	 6	control	706	2248	770	61680	0	
1	 6	 2	 1	sample22	10092	12918	10280	231732	0	
1	 6	 2	 2	sample22	9268	12608	10538	270540	0	
1	 6	 2	 3	sample22	9656	12740	11050	246720	0	
1	 6	 2	 4	sample22	6198	8510	6168	180336	0	
1	 6	 2	 5	sample22	6150	8206	6424	154200	0	
1	 6	 2	 6	control	6880	8936	7452	127472	0	
1	 6	 3	 1	sample23	7447	10273	8224	240210	0	
1	 6	 3	 2	sample23	6882	9966	7710	237468	0	
1	 6	 3	 3	sample23	5492	8318	6426	231732	0	
1	 6	 3	 4	sample23	4909	7221	5398	161840	0	
1	 6	 3	 5	sample23	2247	4559	2314	205768	0	
1	 6	 3	 6	control	1511	3823	1542	113288	0	
1	 6	 4	 1	sample24	7164	10248	7710	225132	0	
1	 6	 4	 2	sample24	6340	9680	7196	230460	0	
1	 6	 4	 3	sample24	6766	10106	7196	237140	0	
1	 6	 4	 4	sample24	4171	7511	4626	177020	0	
1	 6	 4	 5	sample24	2840	5924	3084	292980	0	
1	 6	 4	 6	control	4778	8118	4884	227120	0	
1	 7	 1	 1	sample25	11326	14154	12078	313908	0	
1	 7	 1	 2	sample25	10208	13550	11050	300780	0	
1	 7	 1	 3	sample25	10228	12798	10280	203030	0	
1	 7	 1	 4	sample25	8004	10318	8480	173550	0	
1	 7	 1	 5	sample25	6829	8629	7196	147600	0	
1	 7	 1	 6	control	1029	2571	1028	61680	0	
1	 7	 2	 1	sample26	6890	9974	7454	271392	0	
1	 7	 2	 2	sample26	7713	11055	8738	270702	0	
1	 7	 2	 3	sample26	6816	9900	7710	243636	0	
1	 7	 2	 4	sample26	5775	8603	6168	197960	0	
1	 7	 2	 5	sample26	4795	7365	5140	187610	0	
1	 7	 2	 6	control	7722	10292	7710	174760	0	
1	 7	 3	 1	sample27	6687	10029	6682	344226	0	
1	 7	 3	 2	sample27	6172	9770	5398	266252	0	
1	 7	 3	 3	sample27	5174	8772	4884	273448	0	
1	 7	 3	 4	sample27	3871	7469	3856	183498	0	
1	 7	 3	 5	sample27	3515	6857	3340	177126	0	
1	 7	 3	 6	control	1028	4370	1028	133680	0	
1	 7	 4	 1	sample28	7469	11581	8224	394752	0	
1	 7	 4	 2	sample28	6367	10737	6168	310270	0	
1	 7	 4	 3	sample28	6367	10737	6938	353970	0	
