MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 11:00:18 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	796	3880	770	123360	0	
1	 1	 1	 2	sample1	-442.84	1869	-513.99	92480	0	
1	 1	 1	 3	sample1	727	2525	772	71920	0	
1	 1	 1	 4	sample1	809	2351	770	61680	0	
1	 1	 1	 5	sample1	237	1779	256	61680	0	
1	 1	 1	 6	control	70.2	1612	0	61680	0	
1	 1	 2	 1	sample2	1414	5268	1286	154160	0	
1	 1	 2	 2	sample2	746	3572	772	113040	0	
1	 1	 2	 3	sample2	970	3026	1028	82240	0	
1	 1	 2	 4	sample2	899	2441	770	61680	0	
1	 1	 2	 5	sample2	912	2454	1028	61680	0	
1	 1	 2	 6	control	6419	7703	6940	98868	0	
1	 1	 3	 1	sample3	2163	5247	2056	132612	0	
1	 1	 3	 2	sample3	1954	4780	2056	113040	0	
1	 1	 3	 3	sample3	2268	4324	2312	82240	0	
1	 1	 3	 4	sample3	1491	3289	1286	71920	0	
1	 1	 3	 5	sample3	1170	2968	1028	71920	0	
1	 1	 3	 6	control	122	1664	256	61680	0	
1	 1	 4	 1	sample4	4028	6084	4626	82240	0	
1	 1	 4	 2	sample4	3300	5612	3342	99416	0	
1	 1	 4	 3	sample4	2094	4150	2056	82240	0	
1	 1	 4	 4	sample4	1906	3704	1800	95294	0	
1	 1	 4	 5	sample4	1635	3177	1542	80184	0	
1	 1	 4	 6	control	6264	8062	6168	125860	0	
1	 2	 1	 1	sample5	3657	5969	3342	110976	0	
1	 2	 1	 2	sample5	2371	4683	2314	92480	0	
1	 2	 1	 3	sample5	2069	3867	1800	71920	0	
1	 2	 1	 4	sample5	1915	3713	2056	71920	0	
1	 2	 1	 5	sample5	1670	3212	1798	67848	0	
1	 2	 1	 6	control	732	2274	770	61680	0	
1	 2	 2	 1	sample6	572	2884	514	92480	0	
1	 2	 2	 2	sample6	828	2884	770	82240	0	
1	 2	 2	 3	sample6	592	2390	514	71920	0	
1	 2	 2	 4	sample6	282	1824	256	61680	0	
1	 2	 2	 5	sample6	629	2171	770	61680	0	
1	 2	 2	 6	control	6605	8147	6424	134154	0	
1	 2	 3	 1	sample7	3793	6363	3340	128500	0	
1	 2	 3	 2	sample7	2755	4811	2570	102800	0	
1	 2	 3	 3	sample7	1677	3475	1542	71920	0	
1	 2	 3	 4	sample7	1233	2775	1542	61680	0	
1	 2	 3	 5	sample7	854	2396	770	61680	0	
1	 2	 3	 6	control	154	1696	0	61680	0	
1	 2	 4	 1	sample8	3052	5878	2828	113040	0	
1	 2	 4	 2	sample8	1530	3842	1542	92480	0	
1	 2	 4	 3	sample8	1777	3833	1798	98688	0	
1	 2	 4	 4	sample8	1292	3090	1286	71920	0	
1	 2	 4	 5	sample8	964	2762	772	71920	0	
1	 2	 4	 6	control	5543	7341	5398	133052	0	
1	 3	 1	 1	sample9	4770	6568	5398	125860	0	
1	 3	 1	 2	sample9	3878	5420	4368	103314	0	
1	 3	 1	 3	sample9	3265	4807	3084	104856	0	
1	 3	 1	 4	sample9	2276	3818	2570	86352	0	
1	 3	 1	 5	sample9	1520	3062	1542	111024	0	
1	 3	 1	 6	control	668	2210	514	61680	0	
1	 3	 2	 1	sample10	3542	5084	3340	100230	0	
1	 3	 2	 2	sample10	3581	5123	3854	98688	0	
1	 3	 2	 3	sample10	3019	4303	3084	80892	0	
1	 3	 2	 4	sample10	2459	3743	2570	50076	0	
1	 3	 2	 5	sample10	1447	2989	1542	70932	0	
1	 3	 2	 6	control	7204	8746	7710	90978	0	
1	 3	 3	 1	sample11	2518	4060	2570	77100	0	
1	 3	 3	 2	sample11	2514	4056	2570	21588	0	
1	 3	 3	 3	sample11	1763	3305	1798	67848	0	
1	 3	 3	 4	sample11	886	2428	770	61680	0	
1	 3	 3	 5	sample11	732	2274	770	61680	0	
1	 3	 3	 6	control	500	2042	514	61680	0	
1	 3	 4	 1	sample12	1914	3712	1800	84506	0	
1	 3	 4	 2	sample12	1202	3000	1286	71920	0	
1	 3	 4	 3	sample12	1568	3366	1542	53940	0	
1	 3	 4	 4	sample12	675	2473	514	71920	0	
1	 3	 4	 5	sample12	527	2325	514	71920	0	
1	 3	 4	 6	control	3793	5591	3856	111476	0	
1	 4	 1	 1	sample13	6461	8003	5912	132612	0	
1	 4	 1	 2	sample13	5859	7145	6424	96450	0	
1	 4	 1	 3	sample13	3818	5104	3854	99022	0	
1	 4	 1	 4	sample13	2762	4048	2826	56584	0	
1	 4	 1	 5	sample13	2781	3809	2828	45232	0	
1	 4	 1	 6	control	726	2012	770	51440	0	
1	 4	 2	 1	sample14	3989	5531	4626	118734	0	
1	 4	 2	 2	sample14	2633	4175	2828	114108	0	
1	 4	 2	 3	sample14	1953	3239	2056	64300	0	
1	 4	 2	 4	sample14	2413	3699	2570	23148	0	
1	 4	 2	 5	sample14	1838	3124	1798	59156	0	
1	 4	 2	 6	control	7331	8617	7966	100308	0	
1	 4	 3	 1	sample15	1176	2718	1028	61680	0	
1	 4	 3	 2	sample15	520	1806	514	51440	0	
1	 4	 3	 3	sample15	694	1980	770	51440	0	
1	 4	 3	 4	sample15	738	2024	770	51440	0	
1	 4	 3	 5	sample15	1227	2513	1284	51440	0	
1	 4	 3	 6	control	534	2076	258	61680	0	
1	 4	 4	 1	sample16	2172	3972	2056	79200	0	
1	 4	 4	 2	sample16	1279	2821	1286	61680	0	
1	 4	 4	 3	sample16	1228	2770	1286	61680	0	
1	 4	 4	 4	sample16	797	2339	772	61680	0	
1	 4	 4	 5	sample16	752	2294	772	61680	0	
1	 4	 4	 6	control	2961	4503	3084	74016	0	
1	 5	 1	 1	sample17	2297	3839	2314	120276	0	
