MicroVigene	 Version	 2650
Culture	en-US
8/17/2006 12:31:13 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1457	2741	1286	42372	0	
1	 1	 1	 2	sample1	1099	2897	772	39556	0	
1	 1	 1	 3	sample1	1728	3012	1800	46224	0	
1	 1	 1	 4	sample1	669	1953	514	51360	0	
1	 1	 1	 5	sample1	765	2307	770	70932	0	
1	 1	 1	 6	control	322	2120	258	71920	0	
1	 1	 2	 1	sample2	1932	3730	1800	122264	0	
1	 1	 2	 2	sample2	2806	4604	2570	190588	0	
1	 1	 2	 3	sample2	1589	3387	1542	138446	0	
1	 1	 2	 4	sample2	1828	3370	1798	132612	0	
1	 1	 2	 5	sample2	1027	2569	1028	75558	0	
1	 1	 2	 6	control	2324	4122	2570	134850	0	
1	 1	 3	 1	sample3	1686	3998	1800	182648	0	
1	 1	 3	 2	sample3	1890	4202	1800	117912	0	
1	 1	 3	 3	sample3	1347	3403	1284	143920	0	
1	 1	 3	 4	sample3	1091	2889	1028	80910	0	
1	 1	 3	 5	sample3	906	2704	772	71920	0	
1	 1	 3	 6	control	425	2223	258	71920	0	
1	 1	 4	 1	sample4	2222	5048	2314	206298	0	
1	 1	 4	 2	sample4	1819	4389	1798	64250	0	
1	 1	 4	 3	sample4	1811	4123	1800	108664	0	
1	 1	 4	 4	sample4	1329	3385	1284	94576	0	
1	 1	 4	 5	sample4	899	2955	770	82240	0	
1	 1	 4	 6	control	3577	5889	3084	141032	0	
1	 2	 1	 1	sample5	1029	2313	1028	68052	0	
1	 2	 1	 2	sample5	1229	2771	1028	78642	0	
1	 2	 1	 3	sample5	1111	2653	1028	70932	0	
1	 2	 1	 4	sample5	623	2165	514	72474	0	
1	 2	 1	 5	sample5	858	2400	770	58596	0	
1	 2	 1	 6	control	623	2165	514	61680	0	
1	 2	 2	 1	sample6	1650	3192	1798	138780	0	
1	 2	 2	 2	sample6	1769	3311	1798	121818	0	
1	 2	 2	 3	sample6	1432	2974	1542	123360	0	
1	 2	 2	 4	sample6	1558	2842	1542	64200	0	
1	 2	 2	 5	sample6	1382	2666	1542	109140	0	
1	 2	 2	 6	control	4693	6235	5140	104856	0	
1	 2	 3	 1	sample7	1512	3054	1284	81726	0	
1	 2	 3	 2	sample7	1470	3268	1542	133052	0	
1	 2	 3	 3	sample7	1691	3233	1542	114108	0	
1	 2	 3	 4	sample7	1141	2683	1028	66306	0	
1	 2	 3	 5	sample7	584	2126	514	61680	0	
1	 2	 3	 6	control	269	1811	256	61680	0	
1	 2	 4	 1	sample8	2022	3820	1800	93496	0	
1	 2	 4	 2	sample8	1548	3346	1542	84506	0	
1	 2	 4	 3	sample8	1561	3617	1798	166536	0	
1	 2	 4	 4	sample8	1472	3270	1542	91698	0	
1	 2	 4	 5	sample8	1092	2890	1028	88102	0	
1	 2	 4	 6	control	2462	4260	2570	140244	0	
1	 3	 1	 1	sample9	2910	4708	3084	134850	0	
1	 3	 1	 2	sample9	2807	4605	3342	136648	0	
1	 3	 1	 3	sample9	2414	4212	2314	106082	0	
1	 3	 1	 4	sample9	1025	2823	772	129456	0	
1	 3	 1	 5	sample9	1234	3032	1028	71920	0	
1	 3	 1	 6	control	547	2345	514	71920	0	
1	 3	 2	 1	sample10	861	2659	772	88102	0	
1	 3	 2	 2	sample10	1565	3363	1542	124062	0	
1	 3	 2	 3	sample10	1311	3109	1286	143840	0	
1	 3	 2	 4	sample10	1105	2903	1028	84506	0	
1	 3	 2	 5	sample10	2292	3834	1542	38550	0	
1	 3	 2	 6	control	6241	8039	5654	95294	0	
1	 3	 3	 1	sample11	3948	5490	3854	106398	0	
1	 3	 3	 2	sample11	4132	5930	3342	120466	0	
1	 3	 3	 3	sample11	3416	5214	3084	129456	0	
1	 3	 3	 4	sample11	3337	5393	3340	133640	0	
1	 3	 3	 5	sample11	1657	3713	1542	141864	0	
1	 3	 3	 6	control	624	2422	514	71920	0	
1	 3	 4	 1	sample12	3221	5019	3084	111476	0	
1	 3	 4	 2	sample12	4373	6429	3598	121304	0	
1	 3	 4	 3	sample12	4069	6125	3340	125416	0	
1	 3	 4	 4	sample12	3038	5094	2826	127472	0	
1	 3	 4	 5	sample12	1072	3128	770	215880	0	
1	 3	 4	 6	control	3122	5178	3084	108968	0	
1	 4	 1	 1	sample13	8587	10387	8738	147600	0	
1	 4	 1	 2	sample13	8071	9871	7966	136800	0	
1	 4	 1	 3	sample13	4736	6536	4368	158400	0	
1	 4	 1	 4	sample13	1996	3796	2056	147600	0	
1	 4	 1	 5	sample13	2513	4313	2570	138600	0	
1	 4	 1	 6	control	546	2346	514	72000	0	
1	 4	 2	 1	sample14	2164	3706	2314	129528	0	
1	 4	 2	 2	sample14	1691	3491	1798	133200	0	
1	 4	 2	 3	sample14	1368	3168	1542	154800	0	
1	 4	 2	 4	sample14	1461	3261	1284	91800	0	
1	 4	 2	 5	sample14	870	2670	770	153000	0	
1	 4	 2	 6	control	3662	5718	3856	133640	0	
1	 4	 3	 1	sample15	3347	5147	3598	142200	0	
1	 4	 3	 2	sample15	2291	4091	2570	153000	0	
1	 4	 3	 3	sample15	1769	3569	2056	172800	0	
1	 4	 3	 4	sample15	1929	3729	1798	95400	0	
1	 4	 3	 5	sample15	1163	2963	1284	91800	0	
1	 4	 3	 6	control	283	2339	258	82240	0	
1	 4	 4	 1	sample16	5425	7481	5140	156256	0	
1	 4	 4	 2	sample16	3349	5405	3598	131584	0	
1	 4	 4	 3	sample16	2798	4854	2570	197376	0	
1	 4	 4	 4	sample16	2029	4085	1800	174760	0	
1	 4	 4	 5	sample16	1497	3553	1286	104856	0	
1	 4	 4	 6	control	2271	4327	2056	137752	0	
1	 5	 1	 1	sample17	4048	5076	4112	74016	0	
1	 5	 1	 2	sample17	3504	4790	3854	95164	0	
1	 5	 1	 3	sample17	2408	3950	2570	112566	0	
1	 5	 1	 4	sample17	2691	4233	2314	104856	0	
1	 5	 1	 5	sample17	2120	3920	2312	144000	0	
1	 5	 1	 6	control	624	2680	514	82240	0	
1	 5	 2	 1	sample18	953	2239	1028	66872	0	
1	 5	 2	 2	sample18	1507	2793	1542	95164	0	
1	 5	 2	 3	sample18	984	2526	1028	143406	0	
1	 5	 2	 4	sample18	629	2429	514	72000	0	
1	 5	 2	 5	sample18	697	2497	514	88200	0	
1	 5	 2	 6	control	6041	7841	6938	124200	0	
1	 5	 3	 1	sample19	2347	3633	2312	114454	0	
1	 5	 3	 2	sample19	2062	3348	2056	104166	0	
1	 5	 3	 3	sample19	2053	3595	2056	127986	0	
1	 5	 3	 4	sample19	1782	3582	1798	138600	0	
1	 5	 3	 5	sample19	1296	3096	1284	118800	0	
1	 5	 3	 6	control	308	2108	256	72000	0	
1	 5	 4	 1	sample20	1108	2394	1028	57870	0	
1	 5	 4	 2	sample20	457	1999	514	61680	0	
1	 5	 4	 3	sample20	876	2418	772	75558	0	
1	 5	 4	 4	sample20	668	2468	514	81000	0	
1	 5	 4	 5	sample20	648	2448	514	72000	0	
1	 5	 4	 6	control	2590	4390	2570	135000	0	
1	 6	 1	 1	sample21	1559	3101	1286	188124	0	
1	 6	 1	 2	sample21	2248	3790	2056	115650	0	
1	 6	 1	 3	sample21	1298	2840	1286	64764	0	
1	 6	 1	 4	sample21	1061	2603	1028	61680	0	
1	 6	 1	 5	sample21	917	2459	772	70932	0	
1	 6	 1	 6	control	296	1838	258	61680	0	
1	 6	 2	 1	sample22	6214	8014	5654	160200	0	
1	 6	 2	 2	sample22	6685	8485	7710	145800	0	
1	 6	 2	 3	sample22	5049	6591	4884	164994	0	
1	 6	 2	 4	sample22	3359	4901	3342	114108	0	
1	 6	 2	 5	sample22	2962	4504	3084	126444	0	
1	 6	 2	 6	control	5718	7260	6168	112566	0	
1	 6	 3	 1	sample23	2609	4409	2826	153000	0	
1	 6	 3	 2	sample23	2135	3935	1798	169200	0	
1	 6	 3	 3	sample23	1694	3494	1542	163800	0	
1	 6	 3	 4	sample23	1714	3256	1800	111024	0	
1	 6	 3	 5	sample23	900	2442	772	61680	0	
1	 6	 3	 6	control	303	1845	258	61680	0	
1	 6	 4	 1	sample24	4632	6432	4112	136800	0	
1	 6	 4	 2	sample24	4171	5971	4368	131400	0	
1	 6	 4	 3	sample24	3651	5451	3598	138600	0	
1	 6	 4	 4	sample24	2150	3950	2056	151200	0	
1	 6	 4	 5	sample24	1627	3427	1542	91800	0	
1	 6	 4	 6	control	2423	4223	2312	142200	0	
1	 7	 1	 1	sample25	6720	8520	6424	144000	0	
1	 7	 1	 2	sample25	5823	7623	6168	136800	0	
1	 7	 1	 3	sample25	4593	6393	5140	129600	0	
1	 7	 1	 4	sample25	2732	4532	2312	127800	0	
1	 7	 1	 5	sample25	2786	4842	2828	178872	0	
1	 7	 1	 6	control	462	2262	514	72000	0	
1	 7	 2	 1	sample26	4927	6727	4626	136800	0	
1	 7	 2	 2	sample26	3862	5918	3856	166536	0	
1	 7	 2	 3	sample26	3112	4912	3340	145800	0	
1	 7	 2	 4	sample26	2677	4477	2570	145800	0	
1	 7	 2	 5	sample26	2460	4516	2570	148032	0	
1	 7	 2	 6	control	4629	6429	4882	126000	0	
1	 7	 3	 1	sample27	674	2474	514	72000	0	
1	 7	 3	 2	sample27	856	2656	770	81000	0	
1	 7	 3	 3	sample27	578	2378	514	72000	0	
1	 7	 3	 4	sample27	468	2268	256	72000	0	
1	 7	 3	 5	sample27	817	2617	770	70200	0	
1	 7	 3	 6	control	494	2294	514	72000	0	
1	 7	 4	 1	sample28	2562	4362	2056	172800	0	
1	 7	 4	 2	sample28	2209	4009	2056	147600	0	
1	 7	 4	 3	sample28	1947	3747	2056	93600	0	
1	 7	 4	 4	sample28	1834	3634	1798	144000	0	
1	 7	 4	 5	sample28	1299	3099	1284	93600	0	
1	 7	 4	 6	control	3749	5549	3084	162000	0	
1	 8	 1	 1	sample29	6527	8583	6682	164480	0	
1	 8	 1	 2	sample29	6736	8534	7454	145638	0	
1	 8	 1	 3	sample29	4823	6365	4882	112566	0	
1	 8	 1	 4	sample29	3067	4351	3342	92448	0	
1	 8	 1	 5	sample29	1982	3010	2056	71960	0	
1	 8	 1	 6	control	489	1259	514	30800	0	
1	 8	 2	 1	sample30	4459	6515	4368	145976	0	
1	 8	 2	 2	sample30	4511	6309	4112	127658	0	
1	 8	 2	 3	sample30	2938	4480	3084	135696	0	
1	 8	 2	 4	sample30	2277	3561	2314	91164	0	
1	 8	 2	 5	sample30	1789	2817	1798	81212	0	
1	 8	 2	 6	control	5562	6332	4884	46970	0	
1	 8	 3	 1	sample31	9115	11427	8738	164152	0	
1	 8	 3	 2	sample31	4781	6837	4882	156256	0	
1	 8	 3	 3	sample31	3034	4576	2826	151116	0	
1	 8	 3	 4	sample31	2317	3601	2314	92448	0	
1	 8	 3	 5	sample31	1433	2461	1284	41120	0	
1	 8	 3	 6	control	296	1066	258	30800	0	
1	 8	 4	 1	sample32	1878	3934	1798	106912	0	
1	 8	 4	 2	sample32	1082	3138	1028	57568	0	
1	 8	 4	 3	sample32	1432	2974	1284	61680	0	
1	 8	 4	 4	sample32	932	2216	1028	51360	0	
1	 8	 4	 5	sample32	546	1574	514	41120	0	
1	 8	 4	 6	control	3186	3956	3084	40810	0	
1	 9	 1	 1	sample33	1693	3491	1542	147436	0	
1	 9	 1	 2	sample33	1318	2860	1284	143406	0	
1	 9	 1	 3	sample33	986	2528	1028	106398	0	
1	 9	 1	 4	sample33	814	2356	770	72474	0	
1	 9	 1	 5	sample33	907	2449	770	75558	0	
1	 9	 1	 6	control	636	2178	514	61680	0	
1	 9	 2	 1	sample34	1377	2919	1284	72474	0	
1	 9	 2	 2	sample34	1527	3069	1542	111024	0	
1	 9	 2	 3	sample34	979	2521	1028	163452	0	
1	 9	 2	 4	sample34	1221	2505	1286	61632	0	
1	 9	 2	 5	sample34	1062	2346	1028	59064	0	
