MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 5:32:32 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1087	3143	1028	90464	0	
1	 1	 1	 2	sample1	572	2628	514	82240	0	
1	 1	 1	 3	sample1	1260	3316	1286	84296	0	
1	 1	 1	 4	sample1	682	2738	772	82240	0	
1	 1	 1	 5	sample1	383	2953	258	115650	0	
1	 1	 1	 6	control	-18.74	2551	0	102800	0	
1	 1	 2	 1	sample2	1114	2656	1028	87894	0	
1	 1	 2	 2	sample2	544	2344	514	90000	0	
1	 1	 2	 3	sample2	856	2656	770	86400	0	
1	 1	 2	 4	sample2	200	2256	258	82240	0	
1	 1	 2	 5	sample2	63.8	2378	0	92560	0	
1	 1	 2	 6	control	1246	3560	1028	168922	0	
1	 1	 3	 1	sample3	1321	2863	1286	112566	0	
1	 1	 3	 2	sample3	663	2205	514	80184	0	
1	 1	 3	 3	sample3	957	2499	772	72474	0	
1	 1	 3	 4	sample3	244	2044	256	72000	0	
1	 1	 3	 5	sample3	-44.49	2012	0	82240	0	
1	 1	 3	 6	control	-224.39	1832	-255.99	82240	0	
1	 1	 4	 1	sample4	878	2420	772	134154	0	
1	 1	 4	 2	sample4	665	2207	514	55512	0	
1	 1	 4	 3	sample4	463	2005	514	61680	0	
1	 1	 4	 4	sample4	57.3	1857	0	72000	0	
1	 1	 4	 5	sample4	-166.39	1890	-255.99	82240	0	
1	 1	 4	 6	control	270	2326	258	82240	0	
1	 2	 1	 1	sample5	1819	3619	1798	90000	0	
1	 2	 1	 2	sample5	972	2772	1028	91800	0	
1	 2	 1	 3	sample5	899	2699	770	32400	0	
1	 2	 1	 4	sample5	794	2080	770	56584	0	
1	 2	 1	 5	sample5	735	2021	770	28292	0	
1	 2	 1	 6	control	335	1363	0	41120	0	
1	 2	 2	 1	sample6	1840	3640	1542	144000	0	
1	 2	 2	 2	sample6	765	2565	770	84600	0	
1	 2	 2	 3	sample6	727	2269	772	61680	0	
1	 2	 2	 4	sample6	348	1890	258	61680	0	
1	 2	 2	 5	sample6	571	1857	514	51440	0	
1	 2	 2	 6	control	1178	2464	1284	46296	0	
1	 2	 3	 1	sample7	1656	3198	1286	121818	0	
1	 2	 3	 2	sample7	924	2466	772	75558	0	
1	 2	 3	 3	sample7	826	2368	772	29298	0	
1	 2	 3	 4	sample7	373	1915	258	61680	0	
1	 2	 3	 5	sample7	309	1851	258	61680	0	
1	 2	 3	 6	control	334	1620	256	51440	0	
1	 2	 4	 1	sample8	946	2488	772	38550	0	
1	 2	 4	 2	sample8	386	1928	258	61680	0	
1	 2	 4	 3	sample8	696	2238	514	26214	0	
1	 2	 4	 4	sample8	212	1754	0	61680	0	
1	 2	 4	 5	sample8	335	1877	258	61680	0	
1	 2	 4	 6	control	745	2031	770	51440	0	
1	 3	 1	 1	sample9	636	2950	514	92560	0	
1	 3	 1	 2	sample9	742	2798	772	71960	0	
1	 3	 1	 3	sample9	540	2596	514	82240	0	
1	 3	 1	 4	sample9	476	2532	258	82240	0	
1	 3	 1	 5	sample9	449	2249	514	72000	0	
1	 3	 1	 6	control	295	2095	256	72000	0	
1	 3	 2	 1	sample10	714	2770	514	82240	0	
1	 3	 2	 2	sample10	770	2570	514	63000	0	
1	 3	 2	 3	sample10	449	2249	514	72000	0	
1	 3	 2	 4	sample10	373	1915	258	61680	0	
1	 3	 2	 5	sample10	380	1922	258	61680	0	
1	 3	 2	 6	control	1722	3264	1542	92520	0	
1	 3	 3	 1	sample11	1143	3457	1028	92560	0	
1	 3	 3	 2	sample11	879	2935	772	74016	0	
1	 3	 3	 3	sample11	983	2783	1028	52200	0	
1	 3	 3	 4	sample11	523	2323	514	46800	0	
1	 3	 3	 5	sample11	489	2031	514	61680	0	
1	 3	 3	 6	control	321	1607	256	51440	0	
1	 3	 4	 1	sample12	719	3033	514	92560	0	
1	 3	 4	 2	sample12	1274	3330	1028	47288	0	
1	 3	 4	 3	sample12	946	3002	1028	51400	0	
1	 3	 4	 4	sample12	296	2352	258	82240	0	
1	 3	 4	 5	sample12	193	2249	0	82240	0	
1	 3	 4	 6	control	501	2301	514	72000	0	
1	 4	 1	 1	sample13	1325	3125	1284	57600	0	
1	 4	 1	 2	sample13	1262	3062	1284	63000	0	
1	 4	 1	 3	sample13	764	2564	770	72000	0	
1	 4	 1	 4	sample13	404	2204	256	72000	0	
1	 4	 1	 5	sample13	412	1954	258	61680	0	
1	 4	 1	 6	control	465	2007	258	55512	0	
1	 4	 2	 1	sample14	1216	2758	1028	57054	0	
1	 4	 2	 2	sample14	1021	2563	1028	52428	0	
1	 4	 2	 3	sample14	1114	2656	1028	37008	0	
1	 4	 2	 4	sample14	1000	2542	1028	27756	0	
1	 4	 2	 5	sample14	457	1999	258	55512	0	
1	 4	 2	 6	control	1639	3181	1800	37008	0	
1	 4	 3	 1	sample15	1426	2712	1542	51440	0	
1	 4	 3	 2	sample15	923	2209	1028	47582	0	
1	 4	 3	 3	sample15	841	2127	770	51440	0	
1	 4	 3	 4	sample15	354	1896	258	61680	0	
1	 4	 3	 5	sample15	341	1883	258	61680	0	
1	 4	 3	 6	control	456	1742	256	46296	0	
1	 4	 4	 1	sample16	1543	3599	1542	67848	0	
1	 4	 4	 2	sample16	668	2468	514	72000	0	
1	 4	 4	 3	sample16	939	2739	770	68400	0	
1	 4	 4	 4	sample16	424	2224	256	72000	0	
1	 4	 4	 5	sample16	392	2192	256	72000	0	
1	 4	 4	 6	control	335	2135	0	64800	0	
1	 5	 1	 1	sample17	1393	3191	1286	86304	0	
1	 5	 1	 2	sample17	981	2779	1028	88102	0	
1	 5	 1	 3	sample17	764	2562	772	64728	0	
1	 5	 1	 4	sample17	664	2462	514	77314	0	
1	 5	 1	 5	sample17	115	2171	0	82240	0	
1	 5	 1	 6	control	51.1	2107	0	82240	0	
1	 5	 2	 1	sample18	662	2460	514	71920	0	
1	 5	 2	 2	sample18	614	2412	514	79112	0	
1	 5	 2	 3	sample18	393	2191	258	71920	0	
1	 5	 2	 4	sample18	123	1921	0	71920	0	
1	 5	 2	 5	sample18	58.3	1856	0	71920	0	
1	 5	 2	 6	control	1265	3063	1286	136648	0	
1	 5	 3	 1	sample19	1604	3146	1542	107940	0	
1	 5	 3	 2	sample19	1327	2869	1284	64764	0	
1	 5	 3	 3	sample19	764	2306	770	61680	0	
1	 5	 3	 4	sample19	372	1914	256	61680	0	
1	 5	 3	 5	sample19	141	1683	0	61680	0	
1	 5	 3	 6	control	-64.79	1477	-257.99	61680	0	
1	 5	 4	 1	sample20	548	2346	514	82708	0	
1	 5	 4	 2	sample20	698	2496	772	25172	0	
1	 5	 4	 3	sample20	296	2094	258	71920	0	
1	 5	 4	 4	sample20	142	1940	258	71920	0	
1	 5	 4	 5	sample20	26.2	1824	0	71920	0	
1	 5	 4	 6	control	473	2271	514	44950	0	
1	 6	 1	 1	sample21	1153	3981	1028	138572	0	
1	 6	 1	 2	sample21	1098	3926	1028	113120	0	
1	 6	 1	 3	sample21	960	3530	772	115650	0	
1	 6	 1	 4	sample21	669	3239	772	102800	0	
1	 6	 1	 5	sample21	508	3078	514	102800	0	
1	 6	 1	 6	control	109	2937	0	113120	0	
1	 6	 2	 1	sample22	1599	4169	1542	187610	0	
1	 6	 2	 2	sample22	2070	4640	2056	100230	0	
1	 6	 2	 3	sample22	1778	4348	1542	179900	0	
1	 6	 2	 4	sample22	799	3113	770	104130	0	
1	 6	 2	 5	sample22	558	2872	514	92560	0	
1	 6	 2	 6	control	1927	4241	1798	60164	0	
1	 6	 3	 1	sample23	1302	3358	1286	32896	0	
1	 6	 3	 2	sample23	289	2603	256	92560	0	
1	 6	 3	 3	sample23	737	3051	514	90246	0	
1	 6	 3	 4	sample23	147	2461	0	92560	0	
1	 6	 3	 5	sample23	256	2570	256	92560	0	
1	 6	 3	 6	control	25.2	2339	0	92560	0	
1	 6	 4	 1	sample24	399	2969	258	102800	0	
