MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 5:28:12 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	4532	7616	4882	246720	0	
1	 1	 1	 2	sample1	4874	8214	5654	280560	0	
1	 1	 1	 3	sample1	3739	6823	3854	246720	0	
1	 1	 1	 4	sample1	2906	5476	3340	190180	0	
1	 1	 1	 5	sample1	1774	4086	1800	115600	0	
1	 1	 1	 6	control	296	2608	258	92480	0	
1	 1	 2	 1	sample2	2243	5069	1542	144126	0	
1	 1	 2	 2	sample2	4442	7268	4626	200646	0	
1	 1	 2	 3	sample2	2991	5561	3340	221020	0	
1	 1	 2	 4	sample2	2694	5006	2570	115600	0	
1	 1	 2	 5	sample2	1563	3619	1284	98688	0	
1	 1	 2	 6	control	862	2660	772	71920	0	
1	 1	 3	 1	sample3	10103	12673	10794	187610	0	
1	 1	 3	 2	sample3	9524	11836	11308	164152	0	
1	 1	 3	 3	sample3	8618	10674	9252	141864	0	
1	 1	 3	 4	sample3	6492	8290	6682	125860	0	
1	 1	 3	 5	sample3	3312	4854	3084	123360	0	
1	 1	 3	 6	control	-32.54	1509	0	61680	0	
1	 1	 4	 1	sample4	9782	11838	11308	160368	0	
1	 1	 4	 2	sample4	8733	10531	9252	156426	0	
1	 1	 4	 3	sample4	5934	7476	5140	137238	0	
1	 1	 4	 4	sample4	4194	5478	3856	101436	0	
1	 1	 4	 5	sample4	2630	3658	2312	69904	0	
1	 1	 4	 6	control	334	1362	256	41120	0	
1	 2	 1	 1	sample5	9794	13136	10794	330858	0	
1	 2	 1	 2	sample5	10767	13851	12080	283728	0	
1	 2	 1	 3	sample5	9303	12387	10280	234384	0	
1	 2	 1	 4	sample5	7844	10414	7710	208170	0	
1	 2	 1	 5	sample5	5458	8028	5140	208170	0	
1	 2	 1	 6	control	380	2950	258	102800	0	
1	 2	 2	 1	sample6	6165	9249	6940	228216	0	
1	 2	 2	 2	sample6	6228	9056	6424	217756	0	
1	 2	 2	 3	sample6	6244	8814	6168	218450	0	
1	 2	 2	 4	sample6	5358	7672	5396	201318	0	
1	 2	 2	 5	sample6	4249	6305	3856	170648	0	
1	 2	 2	 6	control	1401	3457	1286	82240	0	
1	 2	 3	 1	sample7	7499	10069	7710	233870	0	
1	 2	 3	 2	sample7	7338	9908	7454	205600	0	
1	 2	 3	 3	sample7	7437	9751	6682	192062	0	
1	 2	 3	 4	sample7	5719	7775	5912	172704	0	
1	 2	 3	 5	sample7	4134	5934	3854	165600	0	
1	 2	 3	 6	control	301	2101	256	72000	0	
1	 2	 4	 1	sample8	6083	8139	5912	191208	0	
1	 2	 4	 2	sample8	3379	5435	3342	170648	0	
1	 2	 4	 3	sample8	3493	5293	2826	203400	0	
1	 2	 4	 4	sample8	2090	3890	1798	149400	0	
1	 2	 4	 5	sample8	1910	3452	1800	132612	0	
1	 2	 4	 6	control	463	2005	258	61680	0	
1	 3	 1	 1	sample9	13512	16854	15420	230598	0	
1	 3	 1	 2	sample9	13171	16769	15420	262654	0	
1	 3	 1	 3	sample9	12316	15914	12594	226674	0	
1	 3	 1	 4	sample9	9834	13176	9508	227256	0	
1	 3	 1	 5	sample9	7671	10755	7454	203544	0	
1	 3	 1	 6	control	373	3457	258	123360	0	
1	 3	 2	 1	sample10	3809	6637	3598	209272	0	
1	 3	 2	 2	sample10	6713	9797	6682	185040	0	
1	 3	 2	 3	sample10	5599	8683	5140	212796	0	
1	 3	 2	 4	sample10	4930	7758	4368	183820	0	
1	 3	 2	 5	sample10	3765	6335	3598	167050	0	
1	 3	 2	 6	control	868	3438	772	102800	0	
1	 3	 3	 1	sample11	3123	5693	3084	172190	0	
1	 3	 3	 2	sample11	3390	6218	3084	192304	0	
1	 3	 3	 3	sample11	3322	5892	3342	164480	0	
1	 3	 3	 4	sample11	1515	3571	1028	207656	0	
1	 3	 3	 5	sample11	1420	3476	1286	82240	0	
1	 3	 3	 6	control	245	2301	258	82240	0	
1	 3	 4	 1	sample12	3615	5671	3342	125416	0	
1	 3	 4	 2	sample12	2088	4402	2056	145782	0	
1	 3	 4	 3	sample12	2070	4126	1800	158312	0	
1	 3	 4	 4	sample12	1143	2943	1028	72000	0	
1	 3	 4	 5	sample12	603	2403	514	72000	0	
1	 3	 4	 6	control	321	2121	256	72000	0	
1	 4	 1	 1	sample13	10493	13835	10280	253992	0	
1	 4	 1	 2	sample13	11909	15507	12336	287840	0	
1	 4	 1	 3	sample13	9886	13228	9766	270702	0	
1	 4	 1	 4	sample13	7341	10683	7452	253992	0	
1	 4	 1	 5	sample13	4802	7886	4370	212796	0	
1	 4	 1	 6	control	572	3656	514	123360	0	
1	 4	 2	 1	sample14	10562	13132	10794	187610	0	
1	 4	 2	 2	sample14	9427	12255	9508	195132	0	
1	 4	 2	 3	sample14	8576	11146	9252	195320	0	
1	 4	 2	 4	sample14	6447	9017	5654	213310	0	
1	 4	 2	 5	sample14	5599	7913	5140	185120	0	
1	 4	 2	 6	control	906	3476	772	102800	0	
1	 4	 3	 1	sample15	4675	6731	4112	162424	0	
1	 4	 3	 2	sample15	3775	6089	3340	164294	0	
1	 4	 3	 3	sample15	3153	5467	2570	155038	0	
1	 4	 3	 4	sample15	2151	4465	2312	118014	0	
1	 4	 3	 5	sample15	1461	3517	1542	96632	0	
1	 4	 3	 6	control	508	2564	514	82240	0	
1	 4	 4	 1	sample16	2316	4116	2312	135000	0	
1	 4	 4	 2	sample16	1811	3611	1542	75600	0	
1	 4	 4	 3	sample16	1520	3576	1286	164480	0	
1	 4	 4	 4	sample16	970	2770	1028	72000	0	
1	 4	 4	 5	sample16	771	2571	770	72000	0	
1	 4	 4	 6	control	912	2712	770	72000	0	
1	 5	 1	 1	sample17	3324	6666	3340	257334	0	
1	 5	 1	 2	sample17	3999	7341	4112	274044	0	
1	 5	 1	 3	sample17	3019	6361	2570	240624	0	
1	 5	 1	 4	sample17	2505	5847	2312	133680	0	
1	 5	 1	 5	sample17	1124	4466	1028	133680	0	
1	 5	 1	 6	control	488	3830	514	133680	0	
1	 5	 2	 1	sample18	4358	6928	4370	177330	0	
1	 5	 2	 2	sample18	5244	8072	5140	214928	0	
1	 5	 2	 3	sample18	5328	8156	4882	212100	0	
1	 5	 2	 4	sample18	4239	6809	3598	197890	0	
1	 5	 2	 5	sample18	2813	5383	2314	233870	0	
1	 5	 2	 6	control	990	3560	1028	102800	0	
1	 5	 3	 1	sample19	11051	13365	11564	161980	0	
1	 5	 3	 2	sample19	9264	11834	9510	236440	0	
1	 5	 3	 3	sample19	8452	11022	8224	182470	0	
1	 5	 3	 4	sample19	6785	9099	6424	166608	0	
1	 5	 3	 5	sample19	4546	6860	4368	224458	0	
1	 5	 3	 6	control	179	2493	256	92560	0	
1	 5	 4	 1	sample20	4000	6056	3856	168592	0	
1	 5	 4	 2	sample20	3059	5115	3084	148032	0	
1	 5	 4	 3	sample20	2499	4555	2056	176816	0	
1	 5	 4	 4	sample20	1543	3599	1542	106912	0	
1	 5	 4	 5	sample20	1192	3248	1028	106912	0	
1	 5	 4	 6	control	347	2403	258	82240	0	
1	 6	 1	 1	sample21	10597	13681	10794	317652	0	
1	 6	 1	 2	sample21	11308	14392	11566	274476	0	
1	 6	 1	 3	sample21	8988	11816	9252	234724	0	
1	 6	 1	 4	sample21	7880	10450	7196	203030	0	
1	 6	 1	 5	sample21	4313	6627	4112	192062	0	
1	 6	 1	 6	control	308	2622	256	92560	0	
1	 6	 2	 1	sample22	4152	6466	4368	161980	0	
1	 6	 2	 2	sample22	6264	8578	5910	178178	0	
1	 6	 2	 3	sample22	5526	7582	4626	172704	0	
1	 6	 2	 4	sample22	3871	5927	3342	174760	0	
1	 6	 2	 5	sample22	2946	4746	2056	162000	0	
1	 6	 2	 6	control	835	2635	770	72000	0	
1	 6	 3	 1	sample23	3759	5559	3854	120600	0	
1	 6	 3	 2	sample23	3636	5436	3598	156600	0	
1	 6	 3	 3	sample23	2608	4408	2312	144000	0	
1	 6	 3	 4	sample23	1864	3406	1542	61680	0	
1	 6	 3	 5	sample23	932	2474	772	61680	0	
1	 6	 3	 6	control	206	1748	258	61680	0	
1	 6	 4	 1	sample24	2972	4514	2570	123360	0	
1	 6	 4	 2	sample24	1489	3031	1286	141864	0	
1	 6	 4	 3	sample24	1698	3240	1542	132612	0	
1	 6	 4	 4	sample24	661	1947	770	51440	0	
1	 6	 4	 5	sample24	546	1832	514	51440	0	
1	 6	 4	 6	control	533	1819	514	51440	0	
1	 7	 1	 1	sample25	8490	11318	8480	237552	0	
1	 7	 1	 2	sample25	10126	12954	10022	246036	0	
1	 7	 1	 3	sample25	8801	11629	8738	217756	0	
1	 7	 1	 4	sample25	7105	9933	6938	217756	0	
1	 7	 1	 5	sample25	5102	7672	4884	190180	0	
1	 7	 1	 6	control	431	3001	258	102800	0	
1	 7	 2	 1	sample26	2915	5229	2826	180492	0	
1	 7	 2	 2	sample26	4798	7112	4368	175864	0	
1	 7	 2	 3	sample26	3251	5565	2826	219830	0	
1	 7	 2	 4	sample26	1991	4305	1542	219830	0	
1	 7	 2	 5	sample26	1953	4267	1798	115700	0	
1	 7	 2	 6	control	1016	3072	1028	82240	0	
1	 7	 3	 1	sample27	3884	5940	4112	129528	0	
1	 7	 3	 2	sample27	5801	7857	5654	162424	0	
1	 7	 3	 3	sample27	4778	6834	4626	145976	0	
1	 7	 3	 4	sample27	2580	4636	2570	160368	0	
1	 7	 3	 5	sample27	2018	3818	1798	172800	0	
1	 7	 3	 6	control	308	2108	256	72000	0	
1	 7	 4	 1	sample28	3880	5936	3856	152144	0	
1	 7	 4	 2	sample28	2756	4556	2312	138600	0	
1	 7	 4	 3	sample28	2189	3989	2056	138600	0	
1	 7	 4	 4	sample28	1182	2982	1028	72000	0	
1	 7	 4	 5	sample28	796	2596	770	72000	0	
1	 7	 4	 6	control	604	2404	514	72000	0	
1	 8	 1	 1	sample29	6584	8640	7196	160368	0	
1	 8	 1	 2	sample29	8440	10496	7968	164480	0	
1	 8	 1	 3	sample29	6031	8087	5654	150088	0	
1	 8	 1	 4	sample29	4481	6537	4626	137752	0	
1	 8	 1	 5	sample29	2910	4966	2828	148032	0	
1	 8	 1	 6	control	245	2301	258	82240	0	
1	 8	 2	 1	sample30	3377	5177	3084	126000	0	
1	 8	 2	 2	sample30	5326	6868	4884	111024	0	
1	 8	 2	 3	sample30	5567	7109	5140	121818	0	
1	 8	 2	 4	sample30	4620	6162	3856	124902	0	
1	 8	 2	 5	sample30	3538	5080	3084	111024	0	
1	 8	 2	 6	control	810	2352	772	61680	0	
1	 8	 3	 1	sample31	2325	3611	2312	104166	0	
1	 8	 3	 2	sample31	2795	4081	2826	84876	0	
1	 8	 3	 3	sample31	2365	3651	2312	56584	0	
1	 8	 3	 4	sample31	1713	2999	1542	54012	0	
1	 8	 3	 5	sample31	1609	2895	1284	24434	0	
1	 8	 3	 6	control	204	1490	256	43724	0	
1	 8	 4	 1	sample32	6544	7830	6168	88734	0	
1	 8	 4	 2	sample32	3189	4475	3084	87448	0	
1	 8	 4	 3	sample32	3837	5123	3598	133744	0	
1	 8	 4	 4	sample32	1850	2878	1542	94576	0	
1	 8	 4	 5	sample32	2045	3073	1800	46260	0	
1	 8	 4	 6	control	675	1703	514	41120	0	
1	 9	 1	 1	sample33	1899	4211	1800	154904	0	
1	 9	 1	 2	sample33	2127	4697	2056	203030	0	
1	 9	 1	 3	sample33	1830	4400	1798	125930	0	
1	 9	 1	 4	sample33	1345	4171	1286	121518	0	
1	 9	 1	 5	sample33	682	3508	772	113040	0	
1	 9	 1	 6	control	405	3231	258	113040	0	
1	 9	 2	 1	sample34	4483	6539	4626	133640	0	
1	 9	 2	 2	sample34	7411	9467	7452	152144	0	
1	 9	 2	 3	sample34	7022	9334	6682	187272	0	
1	 9	 2	 4	sample34	5721	8033	4370	187272	0	
1	 9	 2	 5	sample34	4981	7293	3856	208080	0	
1	 9	 2	 6	control	1027	3597	770	92520	0	
1	 9	 3	 1	sample35	2206	4004	2314	142042	0	
1	 9	 3	 2	sample35	1809	3607	1800	140244	0	
1	 9	 3	 3	sample35	1658	3456	1542	124062	0	
1	 9	 3	 4	sample35	1297	3353	1284	82240	0	
1	 9	 3	 5	sample35	1246	3302	1284	82240	0	
1	 9	 3	 6	control	449	2505	514	82240	0	
1	 9	 4	 1	sample36	6571	8113	7196	107940	0	
1	 9	 4	 2	sample36	3668	5210	3340	112566	0	
1	 9	 4	 3	sample36	4755	6553	4370	147436	0	
1	 9	 4	 4	sample36	2773	4571	2828	118668	0	
1	 9	 4	 5	sample36	1905	3447	2056	123360	0	
1	 9	 4	 6	control	669	2467	514	71920	0	
1	 10	 1	 1	sample37	6705	9019	6424	180492	0	
1	 10	 1	 2	sample37	8729	11299	8482	210740	0	
1	 10	 1	 3	sample37	6359	8929	5912	187610	0	
1	 10	 1	 4	sample37	4761	7331	4112	177330	0	
1	 10	 1	 5	sample37	3649	5963	3598	182806	0	
1	 10	 1	 6	control	180	2750	258	102800	0	
1	 10	 2	 1	sample38	7306	9362	8224	150088	0	
1	 10	 2	 2	sample38	6882	9452	6168	161910	0	
1	 10	 2	 3	sample38	7152	9466	7196	178178	0	
1	 10	 2	 4	sample38	6056	8112	5398	168592	0	
1	 10	 2	 5	sample38	4939	6739	3598	156600	0	
1	 10	 2	 6	control	483	2539	258	82240	0	
1	 10	 3	 1	sample39	9311	11111	10022	117000	0	
1	 10	 3	 2	sample39	5366	7680	5396	289250	0	
1	 10	 3	 3	sample39	5994	7794	6424	149400	0	
1	 10	 3	 4	sample39	2661	4203	2570	104856	0	
1	 10	 3	 5	sample39	2707	4249	2056	121818	0	
1	 10	 3	 6	control	425	1967	258	61680	0	
1	 10	 4	 1	sample40	1657	2943	1542	86162	0	
1	 10	 4	 2	sample40	3971	5513	4112	61680	0	
1	 10	 4	 3	sample40	2522	3808	2570	63014	0	
1	 10	 4	 4	sample40	957	2243	1028	51440	0	
1	 10	 4	 5	sample40	623	1909	514	51440	0	
1	 10	 4	 6	control	354	1896	258	61680	0	
1	 11	 1	 1	sample41	10520	13862	12592	264018	0	
1	 11	 1	 2	sample41	9444	13042	10280	309428	0	
1	 11	 1	 3	sample41	7957	11299	8738	260676	0	
1	 11	 1	 4	sample41	5498	8840	5396	287412	0	
1	 11	 1	 5	sample41	4095	7437	3598	264018	0	
1	 11	 1	 6	control	404	3746	256	133680	0	
