MicroVigene	 Version	 2501
Culture	en-US
9/27/2006 4:06:04 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1386	3186	1284	77400	0	
1	 1	 1	 2	sample1	1300	3100	1284	30600	0	
1	 1	 1	 3	sample1	891	2691	770	57600	0	
1	 1	 1	 4	sample1	713	2513	514	64800	0	
1	 1	 1	 5	sample1	308	2108	256	72000	0	
1	 1	 1	 6	control	175	1975	0	39600	0	
1	 1	 2	 1	sample2	2098	3898	2312	140400	0	
1	 1	 2	 2	sample2	1249	3049	1284	129600	0	
1	 1	 2	 3	sample2	1087	2887	1028	162000	0	
1	 1	 2	 4	sample2	913	2455	772	44718	0	
1	 1	 2	 5	sample2	416	1958	258	52428	0	
1	 1	 2	 6	control	508	2050	514	58596	0	
1	 1	 3	 1	sample3	1960	3760	1798	91800	0	
1	 1	 3	 2	sample3	2101	3643	2056	80184	0	
1	 1	 3	 3	sample3	1103	2903	1028	158400	0	
1	 1	 3	 4	sample3	1478	3020	1542	49344	0	
1	 1	 3	 5	sample3	650	1936	514	41152	0	
1	 1	 3	 6	control	82.7	1369	0	43724	0	
1	 1	 4	 1	sample4	2235	4035	2312	126000	0	
1	 1	 4	 2	sample4	1282	2824	1286	98688	0	
1	 1	 4	 3	sample4	1160	2702	1028	120276	0	
1	 1	 4	 4	sample4	1169	2711	1286	50886	0	
1	 1	 4	 5	sample4	555	2097	514	58596	0	
1	 1	 4	 6	control	528	2070	514	60138	0	
1	 2	 1	 1	sample5	1290	3090	1284	79200	0	
1	 2	 1	 2	sample5	1375	3431	1286	88408	0	
1	 2	 1	 3	sample5	995	2795	770	84600	0	
1	 2	 1	 4	sample5	425	2481	514	41120	0	
1	 2	 1	 5	sample5	-82.52	1973	0	69904	0	
1	 2	 1	 6	control	96.8	2153	0	82240	0	
1	 2	 2	 1	sample6	1381	3181	1284	167400	0	
1	 2	 2	 2	sample6	1229	3029	1028	91800	0	
1	 2	 2	 3	sample6	649	2449	514	64800	0	
1	 2	 2	 4	sample6	1033	2833	1028	77400	0	
1	 2	 2	 5	sample6	128	1928	256	72000	0	
1	 2	 2	 6	control	1028	2828	1028	73800	0	
1	 2	 3	 1	sample7	1095	2895	1028	82800	0	
1	 2	 3	 2	sample7	1518	3318	1542	176400	0	
1	 2	 3	 3	sample7	1151	2951	1028	135000	0	
1	 2	 3	 4	sample7	1062	2604	1028	70932	0	
1	 2	 3	 5	sample7	1110	2652	1028	29298	0	
1	 2	 3	 6	control	433	1975	258	58596	0	
1	 2	 4	 1	sample8	1040	2840	1028	72000	0	
1	 2	 4	 2	sample8	1394	3194	1284	72000	0	
1	 2	 4	 3	sample8	1536	3078	1542	132612	0	
1	 2	 4	 4	sample8	885	2427	772	66306	0	
1	 2	 4	 5	sample8	900	2442	772	43176	0	
1	 2	 4	 6	control	1211	2753	1028	37008	0	
1	 3	 1	 1	sample9	2390	3932	2570	140322	0	
1	 3	 1	 2	sample9	2602	4144	2828	101772	0	
1	 3	 1	 3	sample9	1499	3299	1284	131400	0	
1	 3	 1	 4	sample9	1817	3617	2056	77400	0	
1	 3	 1	 5	sample9	1024	2824	1028	120600	0	
1	 3	 1	 6	control	335	1877	258	61680	0	
1	 3	 2	 1	sample10	2555	4097	2314	101772	0	
1	 3	 2	 2	sample10	2245	4045	2312	136800	0	
1	 3	 2	 3	sample10	2147	3689	2314	104856	0	
1	 3	 2	 4	sample10	1093	2635	1028	74016	0	
