MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 1:25:23 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	2779	5605	2828	45216	0	
1	 1	 1	 2	sample1	2305	4875	2312	182470	0	
1	 1	 1	 3	sample1	2215	4785	2056	95090	0	
1	 1	 1	 4	sample1	5215	7785	5910	192750	0	
1	 1	 1	 5	sample1	2632	4944	2828	106352	0	
1	 1	 1	 6	control	828	2884	770	82240	0	
1	 1	 2	 1	sample2	2776	5346	2570	131070	0	
1	 1	 2	 2	sample2	2759	5071	3084	173400	0	
1	 1	 2	 3	sample2	2570	4626	2826	156256	0	
1	 1	 2	 4	sample2	2248	4304	2312	148032	0	
1	 1	 2	 5	sample2	2069	3867	2056	71920	0	
1	 1	 2	 6	control	2844	4642	3084	138446	0	
1	 1	 3	 1	sample3	3195	5507	3342	166464	0	
1	 1	 3	 2	sample3	3586	5642	4112	133640	0	
1	 1	 3	 3	sample3	3185	4983	3598	124062	0	
1	 1	 3	 4	sample3	1997	3795	2056	131254	0	
1	 1	 3	 5	sample3	1868	3666	2056	147436	0	
1	 1	 3	 6	control	2746	4288	2570	148032	0	
1	 1	 4	 1	sample4	3302	5100	3598	140244	0	
1	 1	 4	 2	sample4	2935	4733	3342	145638	0	
1	 1	 4	 3	sample4	2628	4426	2828	129456	0	
1	 1	 4	 4	sample4	2067	3609	2312	104856	0	
1	 1	 4	 5	sample4	1536	3078	1284	75558	0	
1	 1	 4	 6	control	2317	3859	2312	86352	0	
1	 2	 1	 1	sample5	4253	6823	4112	205600	0	
1	 2	 1	 2	sample5	3814	6126	4112	198832	0	
1	 2	 1	 3	sample5	3543	5855	4370	194208	0	
1	 2	 1	 4	sample5	5259	7571	5654	180336	0	
1	 2	 1	 5	sample5	10216	12272	11050	150088	0	
1	 2	 1	 6	control	1329	3385	1284	82240	0	
1	 2	 2	 1	sample6	2699	5011	2828	134096	0	
1	 2	 2	 2	sample6	2755	4811	2826	96632	0	
1	 2	 2	 3	sample6	2776	4832	2826	94576	0	
1	 2	 2	 4	sample6	2285	4341	2312	195320	0	
1	 2	 2	 5	sample6	2374	4430	2312	102800	0	
1	 2	 2	 6	control	3382	5438	3598	152144	0	
1	 2	 3	 1	sample7	3931	6243	3598	164152	0	
1	 2	 3	 2	sample7	3896	5952	4368	139808	0	
1	 2	 3	 3	sample7	3091	5147	2826	145976	0	
1	 2	 3	 4	sample7	3018	5074	2826	88408	0	
1	 2	 3	 5	sample7	1743	3799	1798	86352	0	
1	 2	 3	 6	control	1233	3289	1284	82240	0	
1	 2	 4	 1	sample8	4192	6248	3854	158312	0	
1	 2	 4	 2	sample8	2348	4660	2314	122536	0	
1	 2	 4	 3	sample8	3768	5566	3856	79112	0	
1	 2	 4	 4	sample8	2261	4059	2314	79112	0	
1	 2	 4	 5	sample8	1607	3405	1542	71920	0	
1	 2	 4	 6	control	2908	4964	3340	129528	0	
1	 3	 1	 1	sample9	3951	6521	4626	156770	0	
1	 3	 1	 2	sample9	3710	6280	4112	164480	0	
1	 3	 1	 3	sample9	3048	5618	3598	187610	0	
1	 3	 1	 4	sample9	2651	4963	2828	147968	0	
1	 3	 1	 5	sample9	1795	4107	1800	147968	0	
1	 3	 1	 6	control	996	3308	1028	92480	0	
1	 3	 2	 1	sample10	4295	6865	4112	161910	0	
1	 3	 2	 2	sample10	4499	7069	5140	151630	0	
1	 3	 2	 3	sample10	3545	5857	4112	134096	0	
1	 3	 2	 4	sample10	2477	4789	2314	145656	0	
1	 3	 2	 5	sample10	2005	4317	2056	92480	0	
1	 3	 2	 6	control	2778	5090	3084	166464	0	
1	 3	 3	 1	sample11	4008	6578	4112	159340	0	
1	 3	 3	 2	sample11	3570	5882	3598	124848	0	
