MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 1:33:12 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1371	3169	1028	86304	0	
1	 1	 1	 2	sample1	1069	3125	1028	102800	0	
1	 1	 1	 3	sample1	1442	3240	1286	73718	0	
1	 1	 1	 4	sample1	932	2730	772	71920	0	
1	 1	 1	 5	sample1	675	2473	514	71920	0	
1	 1	 1	 6	control	354	2152	258	71920	0	
1	 1	 2	 1	sample2	730	2272	770	69390	0	
1	 1	 2	 2	sample2	1432	2974	1542	72474	0	
1	 1	 2	 3	sample2	1071	2613	1028	72474	0	
1	 1	 2	 4	sample2	636	2178	514	67848	0	
1	 1	 2	 5	sample2	391	1933	256	61680	0	
1	 1	 2	 6	control	1214	2756	1028	61680	0	
1	 1	 3	 1	sample3	1217	2501	1028	62916	0	
1	 1	 3	 2	sample3	1389	2931	1284	57054	0	
1	 1	 3	 3	sample3	1706	2990	1542	66768	0	
1	 1	 3	 4	sample3	872	2156	772	59064	0	
1	 1	 3	 5	sample3	720	2004	514	32100	0	
1	 1	 3	 6	control	89.4	1631	0	61680	0	
1	 1	 4	 1	sample4	2112	3396	2314	95016	0	
1	 1	 4	 2	sample4	2057	3341	2056	61632	0	
1	 1	 4	 3	sample4	1705	2989	1542	97584	0	
1	 1	 4	 4	sample4	1269	2553	1286	59064	0	
1	 1	 4	 5	sample4	1167	2451	1028	33384	0	
1	 1	 4	 6	control	944	2486	770	61680	0	
1	 2	 1	 1	sample5	828	3912	770	151116	0	
1	 2	 1	 2	sample5	1206	4032	1286	118692	0	
1	 2	 1	 3	sample5	1016	3842	1028	113040	0	
1	 2	 1	 4	sample5	758	3584	772	107388	0	
1	 2	 1	 5	sample5	600	3426	514	59346	0	
1	 2	 1	 6	control	359	2929	256	102800	0	
1	 2	 2	 1	sample6	1313	4139	1028	129996	0	
1	 2	 2	 2	sample6	2290	4860	2312	89950	0	
1	 2	 2	 3	sample6	1965	4535	2056	95090	0	
1	 2	 2	 4	sample6	1413	3983	1284	92520	0	
1	 2	 2	 5	sample6	1244	3556	1028	71672	0	
1	 2	 2	 6	control	1321	3633	1286	152592	0	
1	 2	 3	 1	sample7	688	3258	770	136210	0	
1	 2	 3	 2	sample7	559	3129	514	102800	0	
1	 2	 3	 3	sample7	722	3034	772	108664	0	
1	 2	 3	 4	sample7	514	2826	514	92480	0	
1	 2	 3	 5	sample7	424	2480	514	82240	0	
1	 2	 3	 6	control	398	2454	256	82240	0	
1	 2	 4	 1	sample8	795	3107	772	99416	0	
1	 2	 4	 2	sample8	322	2634	258	92480	0	
1	 2	 4	 3	sample8	509	2821	514	117912	0	
1	 2	 4	 4	sample8	206	2518	258	92480	0	
1	 2	 4	 5	sample8	321	2377	256	82240	0	
1	 2	 4	 6	control	575	2631	514	86352	0	
1	 3	 1	 1	sample9	1755	4581	1800	228906	0	
1	 3	 1	 2	sample9	2181	4751	2312	190180	0	
1	 3	 1	 3	sample9	1605	3917	1800	143344	0	
1	 3	 1	 4	sample9	1189	3501	1028	73984	0	
1	 3	 1	 5	sample9	497	2809	514	99416	0	
1	 3	 1	 6	control	263	2319	256	82240	0	
1	 3	 2	 1	sample10	678	2990	514	108664	0	
1	 3	 2	 2	sample10	645	3215	770	110510	0	
1	 3	 2	 3	sample10	673	2729	770	76072	0	
1	 3	 2	 4	sample10	423	2479	256	82240	0	
1	 3	 2	 5	sample10	418	2216	514	71920	0	
1	 3	 2	 6	control	757	2555	772	62930	0	
1	 3	 3	 1	sample11	1472	3784	1542	67048	0	
1	 3	 3	 2	sample11	1896	3952	1284	43176	0	
1	 3	 3	 3	sample11	962	2760	772	89900	0	
1	 3	 3	 4	sample11	707	2505	514	71920	0	
1	 3	 3	 5	sample11	514	2056	514	63222	0	
1	 3	 3	 6	control	212	1754	256	61680	0	
1	 3	 4	 1	sample12	1041	3097	1028	39064	0	
1	 3	 4	 2	sample12	746	2544	514	71920	0	
1	 3	 4	 3	sample12	392	2190	258	71920	0	
1	 3	 4	 4	sample12	391	1933	256	61680	0	
1	 3	 4	 5	sample12	128	1670	0	61680	0	
1	 3	 4	 6	control	630	1914	514	51360	0	
1	 4	 1	 1	sample13	1034	3604	1028	125930	0	
1	 4	 1	 2	sample13	1598	3912	1542	74048	0	
1	 4	 1	 3	sample13	956	3270	1028	99502	0	
1	 4	 1	 4	sample13	607	2921	256	76362	0	
1	 4	 1	 5	sample13	469	2783	256	92560	0	
1	 4	 1	 6	control	154	2468	0	92560	0	
1	 4	 2	 1	sample14	1698	3754	1542	119248	0	
1	 4	 2	 2	sample14	1714	3770	1800	111024	0	
1	 4	 2	 3	sample14	1078	3134	1028	86352	0	
1	 4	 2	 4	sample14	1034	2834	1028	72000	0	
1	 4	 2	 5	sample14	928	2728	1028	55800	0	
1	 4	 2	 6	control	1298	3354	1286	41120	0	
1	 4	 3	 1	sample15	1230	3030	1028	59400	0	
1	 4	 3	 2	sample15	856	2656	770	81000	0	
1	 4	 3	 3	sample15	675	2475	770	77400	0	
1	 4	 3	 4	sample15	469	2269	256	72000	0	
1	 4	 3	 5	sample15	269	2069	256	72000	0	
1	 4	 3	 6	control	906	2448	772	32382	0	
1	 4	 4	 1	sample16	804	2604	514	55800	0	
1	 4	 4	 2	sample16	900	2442	1028	37008	0	
1	 4	 4	 3	sample16	502	2302	514	39600	0	
1	 4	 4	 4	sample16	605	2147	772	30840	0	
1	 4	 4	 5	sample16	589	2131	514	37008	0	
1	 4	 4	 6	control	547	2089	514	61680	0	
1	 5	 1	 1	sample17	1791	3591	1542	63000	0	
1	 5	 1	 2	sample17	1369	3425	1286	82240	0	
1	 5	 1	 3	sample17	716	2772	772	86352	0	
1	 5	 1	 4	sample17	1016	2816	1028	79200	0	
1	 5	 1	 5	sample17	594	2650	514	53456	0	
1	 5	 1	 6	control	263	2063	256	72000	0	
1	 5	 2	 1	sample18	437	1979	514	61680	0	
1	 5	 2	 2	sample18	637	2179	514	67848	0	
1	 5	 2	 3	sample18	643	2185	514	64764	0	
1	 5	 2	 4	sample18	637	2179	772	61680	0	
1	 5	 2	 5	sample18	347	1889	258	61680	0	
1	 5	 2	 6	control	1528	3328	1542	68400	0	
1	 5	 3	 1	sample19	989	2531	1028	70932	0	
1	 5	 3	 2	sample19	1402	2944	1286	64764	0	
1	 5	 3	 3	sample19	1291	2833	1286	66306	0	
1	 5	 3	 4	sample19	976	2262	1028	51440	0	
1	 5	 3	 5	sample19	669	1955	514	61728	0	
1	 5	 3	 6	control	269	1555	256	51440	0	
1	 5	 4	 1	sample20	599	1885	514	30864	0	
1	 5	 4	 2	sample20	439	1725	514	48868	0	
1	 5	 4	 3	sample20	340	1626	256	51440	0	
1	 5	 4	 4	sample20	167	1453	256	51440	0	
1	 5	 4	 5	sample20	346	1632	256	51440	0	
1	 5	 4	 6	control	696	1982	770	57870	0	
1	 6	 1	 1	sample21	1246	4074	1284	93324	0	
1	 6	 1	 2	sample21	1294	4122	1284	147056	0	
1	 6	 1	 3	sample21	1269	3839	1286	118220	0	
1	 6	 1	 4	sample21	777	3347	772	120790	0	
1	 6	 1	 5	sample21	1073	3387	1028	64792	0	
1	 6	 1	 6	control	52	2622	0	102800	0	
1	 6	 2	 1	sample22	1400	3970	1542	115650	0	
1	 6	 2	 2	sample22	2197	4511	2312	113386	0	
1	 6	 2	 3	sample22	1826	4140	1798	196690	0	
1	 6	 2	 4	sample22	1326	3640	1284	115700	0	
1	 6	 2	 5	sample22	1123	3437	1028	118014	0	
1	 6	 2	 6	control	1570	3884	1542	127270	0	
1	 6	 3	 1	sample23	1292	3348	1286	82240	0	
1	 6	 3	 2	sample23	1258	3314	1286	96632	0	
1	 6	 3	 3	sample23	1148	3204	1028	88408	0	
1	 6	 3	 4	sample23	1017	3073	1028	94576	0	
1	 6	 3	 5	sample23	527	2583	258	82240	0	
1	 6	 3	 6	control	206	2262	258	82240	0	
1	 6	 4	 1	sample24	777	2833	772	90464	0	
1	 6	 4	 2	sample24	1110	3166	1028	45232	0	
1	 6	 4	 3	sample24	706	3020	514	55536	0	
1	 6	 4	 4	sample24	482	2538	514	82240	0	
1	 6	 4	 5	sample24	425	2481	258	82240	0	
1	 6	 4	 6	control	637	2693	514	82240	0	
1	 7	 1	 1	sample25	1219	3531	1286	277440	0	
1	 7	 1	 2	sample25	1609	3921	1286	205768	0	
1	 7	 1	 3	sample25	1211	3267	1284	164480	0	
1	 7	 1	 4	sample25	905	2961	770	94576	0	
1	 7	 1	 5	sample25	683	2739	514	78128	0	
1	 7	 1	 6	control	327	2383	256	82240	0	
1	 7	 2	 1	sample26	1300	3356	1284	104856	0	
1	 7	 2	 2	sample26	2121	4177	2312	154200	0	
1	 7	 2	 3	sample26	1881	3679	1800	107880	0	
1	 7	 2	 4	sample26	1407	3205	1286	95294	0	
1	 7	 2	 5	sample26	1051	2849	1028	82708	0	
1	 7	 2	 6	control	761	2559	772	179800	0	
1	 7	 3	 1	sample27	643	2441	514	71920	0	
1	 7	 3	 2	sample27	399	2197	258	71920	0	
1	 7	 3	 3	sample27	373	2171	258	71920	0	
1	 7	 3	 4	sample27	290	2088	258	71920	0	
1	 7	 3	 5	sample27	581	2123	514	64764	0	
1	 7	 3	 6	control	45.5	1843	0	71920	0	
1	 7	 4	 1	sample28	1198	2996	1028	163618	0	
1	 7	 4	 2	sample28	1351	2893	1284	83268	0	
1	 7	 4	 3	sample28	722	2520	772	84506	0	
1	 7	 4	 4	sample28	592	2390	514	89900	0	
1	 7	 4	 5	sample28	597	2139	514	75558	0	
1	 7	 4	 6	control	917	2715	772	82708	0	
1	 8	 1	 1	sample29	1921	4233	2056	268192	0	
1	 8	 1	 2	sample29	3312	5368	3084	182984	0	
1	 8	 1	 3	sample29	2009	4065	2056	158312	0	
1	 8	 1	 4	sample29	1583	3381	1542	124062	0	
1	 8	 1	 5	sample29	1028	2826	1028	86304	0	
1	 8	 1	 6	control	328	2126	258	71920	0	
1	 8	 2	 1	sample30	482	2538	514	82240	0	
1	 8	 2	 2	sample30	886	2684	772	84506	0	
1	 8	 2	 3	sample30	624	2422	514	71920	0	
1	 8	 2	 4	sample30	507	2049	514	61680	0	
1	 8	 2	 5	sample30	436	1978	256	61680	0	
1	 8	 2	 6	control	1433	2975	1284	58596	0	
1	 8	 3	 1	sample31	1644	3442	1286	208568	0	
1	 8	 3	 2	sample31	1162	2960	1286	86304	0	
1	 8	 3	 3	sample31	818	2616	772	89900	0	
1	 8	 3	 4	sample31	692	2234	770	70932	0	
1	 8	 3	 5	sample31	301	1843	256	61680	0	
1	 8	 3	 6	control	147	1689	0	61680	0	
1	 8	 4	 1	sample32	895	2693	772	93496	0	
1	 8	 4	 2	sample32	703	2245	770	70932	0	
1	 8	 4	 3	sample32	475	2017	514	61680	0	
1	 8	 4	 4	sample32	398	1940	256	61680	0	
1	 8	 4	 5	sample32	237	1779	256	61680	0	
1	 8	 4	 6	control	857	2141	772	38520	0	
1	 9	 1	 1	sample33	815	3129	770	92560	0	
1	 9	 1	 2	sample33	1086	3142	1028	82240	0	
1	 9	 1	 3	sample33	682	2738	514	82240	0	
1	 9	 1	 4	sample33	759	2815	514	82240	0	
1	 9	 1	 5	sample33	700	2756	772	74016	0	
1	 9	 1	 6	control	367	2423	258	82240	0	
1	 9	 2	 1	sample34	553	2609	258	82240	0	
1	 9	 2	 2	sample34	963	3019	1028	80184	0	
1	 9	 2	 3	sample34	938	2738	770	72000	0	
1	 9	 2	 4	sample34	1199	2999	1284	32400	0	
1	 9	 2	 5	sample34	806	2606	770	64800	0	
1	 9	 2	 6	control	1279	3079	1284	84600	0	
1	 9	 3	 1	sample35	961	2761	1028	63000	0	
1	 9	 3	 2	sample35	983	2783	1028	72000	0	
1	 9	 3	 3	sample35	976	2776	770	45000	0	
1	 9	 3	 4	sample35	578	2378	514	72000	0	
1	 9	 3	 5	sample35	402	2202	256	82800	0	
1	 9	 3	 6	control	186	1986	256	72000	0	
1	 9	 4	 1	sample36	906	2706	1028	64800	0	
1	 9	 4	 2	sample36	693	2493	514	72000	0	
1	 9	 4	 3	sample36	1050	2850	1028	41400	0	
1	 9	 4	 4	sample36	468	2268	514	72000	0	
1	 9	 4	 5	sample36	686	2228	772	60138	0	
1	 9	 4	 6	control	701	2501	514	66600	0	
1	 10	 1	 1	sample37	1006	2806	770	88200	0	
1	 10	 1	 2	sample37	1356	3156	1284	90000	0	
1	 10	 1	 3	sample37	959	2759	770	88200	0	
1	 10	 1	 4	sample37	726	2526	770	72000	0	
1	 10	 1	 5	sample37	687	2487	514	72000	0	
1	 10	 1	 6	control	591	2391	256	72000	0	
1	 10	 2	 1	sample38	843	2385	772	72474	0	
1	 10	 2	 2	sample38	688	2230	514	66306	0	
