MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 2:02:15 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	970	4312	514	133680	0	
1	 1	 1	 2	sample1	1015	4357	770	133680	0	
1	 1	 1	 3	sample1	1034	4376	770	133680	0	
1	 1	 1	 4	sample1	958	4042	772	123360	0	
1	 1	 1	 5	sample1	990	4074	514	123360	0	
1	 1	 1	 6	control	707	3791	258	123360	0	
1	 1	 2	 1	sample2	3352	6436	3084	77100	0	
1	 1	 2	 2	sample2	2922	6006	3342	209712	0	
1	 1	 2	 3	sample2	2930	5758	2826	118776	0	
1	 1	 2	 4	sample2	2007	4835	2056	135744	0	
1	 1	 2	 5	sample2	1432	4260	1284	113120	0	
1	 1	 2	 6	control	2454	5282	2312	113120	0	
1	 1	 3	 1	sample3	9131	12215	10024	228216	0	
1	 1	 3	 2	sample3	8201	11029	8994	192304	0	
1	 1	 3	 3	sample3	6574	9402	7452	203616	0	
1	 1	 3	 4	sample3	4757	7327	5398	177330	0	
1	 1	 3	 5	sample3	2964	5534	3084	197890	0	
1	 1	 3	 6	control	528	3098	258	102800	0	
1	 1	 4	 1	sample4	11674	14244	13364	195320	0	
1	 1	 4	 2	sample4	8823	11393	10538	195320	0	
1	 1	 4	 3	sample4	6838	9408	7710	195320	0	
1	 1	 4	 4	sample4	4491	7061	4626	195320	0	
1	 1	 4	 5	sample4	2713	5283	2570	167050	0	
1	 1	 4	 6	control	1356	3926	1028	102800	0	
1	 2	 1	 1	sample5	5459	8029	5140	200460	0	
1	 2	 1	 2	sample5	4016	6586	4112	208170	0	
1	 2	 1	 3	sample5	3353	5923	3084	102800	0	
1	 2	 1	 4	sample5	2215	4785	2056	107940	0	
1	 2	 1	 5	sample5	1426	3996	1542	125930	0	
1	 2	 1	 6	control	629	3199	514	102800	0	
1	 2	 2	 1	sample6	1819	4131	2056	154904	0	
1	 2	 2	 2	sample6	1448	3760	1542	94792	0	
1	 2	 2	 3	sample6	1371	3683	1286	90168	0	
1	 2	 2	 4	sample6	2166	4222	1798	133640	0	
1	 2	 2	 5	sample6	1257	3313	1284	76072	0	
1	 2	 2	 6	control	2093	4405	2056	178024	0	
1	 2	 3	 1	sample7	6825	8881	6938	139808	0	
1	 2	 3	 2	sample7	4951	7007	4626	145976	0	
1	 2	 3	 3	sample7	3289	5345	3340	154200	0	
1	 2	 3	 4	sample7	2102	4158	2056	135696	0	
1	 2	 3	 5	sample7	1638	3694	1798	98688	0	
1	 2	 3	 6	control	353	2409	256	82240	0	
1	 2	 4	 1	sample8	6274	8072	5140	149234	0	
1	 2	 4	 2	sample8	3598	5396	3084	127658	0	
1	 2	 4	 3	sample8	2898	4696	2828	138446	0	
