MicroVigene	 Version	 2650
Culture	en-US
8/15/2006 5:44:20 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1175	3745	1028	102800	0	
1	 1	 1	 2	sample1	1759	4585	1800	124344	0	
1	 1	 1	 3	sample1	1082	3908	1028	135648	0	
1	 1	 1	 4	sample1	1013	3583	1028	92520	0	
1	 1	 1	 5	sample1	828	2884	514	82240	0	
1	 1	 1	 6	control	232	2030	0	71920	0	
1	 1	 2	 1	sample2	1240	3810	1028	133640	0	
1	 1	 2	 2	sample2	1706	4276	1542	200460	0	
1	 1	 2	 3	sample2	1553	4379	1542	144126	0	
1	 1	 2	 4	sample2	1290	3860	1284	115650	0	
1	 1	 2	 5	sample2	922	3234	772	94792	0	
1	 1	 2	 6	control	1185	2983	1286	82708	0	
1	 1	 3	 1	sample3	2017	4587	2056	136210	0	
1	 1	 3	 2	sample3	2221	4791	2056	79670	0	
1	 1	 3	 3	sample3	1795	4621	1800	144126	0	
1	 1	 3	 4	sample3	1604	4174	1284	95090	0	
1	 1	 3	 5	sample3	848	2904	770	102800	0	
1	 1	 3	 6	control	245	2043	258	71920	0	
1	 1	 4	 1	sample4	1889	4201	1542	152592	0	
1	 1	 4	 2	sample4	1480	3792	1286	113288	0	
1	 1	 4	 3	sample4	1721	4291	1798	102800	0	
1	 1	 4	 4	sample4	1174	3486	1028	122536	0	
1	 1	 4	 5	sample4	1004	2802	1028	73718	0	
1	 1	 4	 6	control	843	2641	514	64728	0	
1	 2	 1	 1	sample5	1020	2818	1028	53940	0	
1	 2	 1	 2	sample5	969	2511	1028	81726	0	
1	 2	 1	 3	sample5	985	2527	770	74016	0	
1	 2	 1	 4	sample5	747	2289	514	66306	0	
1	 2	 1	 5	sample5	810	2352	770	40092	0	
1	 2	 1	 6	control	964	2248	772	25680	0	
1	 2	 2	 1	sample6	1526	3068	1542	26214	0	
1	 2	 2	 2	sample6	1177	2461	1286	118128	0	
1	 2	 2	 3	sample6	1153	2437	1028	111708	0	
1	 2	 2	 4	sample6	1001	2543	1028	75558	0	
1	 2	 2	 5	sample6	997	2281	1028	62916	0	
1	 2	 2	 6	control	1234	2518	1286	44940	0	
1	 2	 3	 1	sample7	1006	2804	1028	80910	0	
1	 2	 3	 2	sample7	1028	2312	1028	50076	0	
1	 2	 3	 3	sample7	974	2258	1028	73188	0	
1	 2	 3	 4	sample7	970	2254	1028	28248	0	
1	 2	 3	 5	sample7	934	2218	1028	24396	0	
1	 2	 3	 6	control	515	1799	258	51360	0	
1	 2	 4	 1	sample8	797	2595	514	71920	0	
1	 2	 4	 2	sample8	1110	2394	1028	28248	0	
1	 2	 4	 3	sample8	808	2092	772	44940	0	
1	 2	 4	 4	sample8	861	2145	772	29532	0	
1	 2	 4	 5	sample8	946	2230	772	39804	0	
1	 2	 4	 6	control	1147	2431	1028	47508	0	
1	 3	 1	 1	sample9	1113	2911	1028	125860	0	
1	 3	 1	 2	sample9	1057	2855	1028	131254	0	
1	 3	 1	 3	sample9	952	2750	772	84506	0	
1	 3	 1	 4	sample9	848	2390	770	61680	0	
1	 3	 1	 5	sample9	636	2178	514	61680	0	
1	 3	 1	 6	control	571	2113	514	27756	0	
1	 3	 2	 1	sample10	476	2274	514	84506	0	
1	 3	 2	 2	sample10	1072	2614	1028	44718	0	
1	 3	 2	 3	sample10	642	2184	514	55512	0	
1	 3	 2	 4	sample10	400	1942	256	66306	0	
1	 3	 2	 5	sample10	495	1779	258	51360	0	
1	 3	 2	 6	control	988	2272	772	41088	0	
1	 3	 3	 1	sample11	1002	2800	1028	86304	0	
1	 3	 3	 2	sample11	903	2701	772	88102	0	
1	 3	 3	 3	sample11	893	2435	770	32382	0	
1	 3	 3	 4	sample11	651	1935	514	62916	0	
1	 3	 3	 5	sample11	704	1988	772	24396	0	
1	 3	 3	 6	control	353	1381	256	41120	0	
1	 3	 4	 1	sample12	1204	3002	1286	73718	0	
1	 3	 4	 2	sample12	1028	2826	1028	37758	0	
1	 3	 4	 3	sample12	910	2452	770	53970	0	
1	 3	 4	 4	sample12	625	1909	514	62916	0	
1	 3	 4	 5	sample12	386	1670	258	51360	0	
1	 3	 4	 6	control	630	1658	514	54484	0	
1	 4	 1	 1	sample13	1175	3231	1028	43176	0	
1	 4	 1	 2	sample13	905	2705	770	72000	0	
1	 4	 1	 3	sample13	803	2603	770	72000	0	
1	 4	 1	 4	sample13	722	2522	514	57600	0	
1	 4	 1	 5	sample13	703	2503	770	75600	0	
1	 4	 1	 6	control	721	2521	514	64800	0	
1	 4	 2	 1	sample14	1154	2696	1028	69390	0	
1	 4	 2	 2	sample14	1097	2639	1028	69390	0	
1	 4	 2	 3	sample14	926	2468	772	53970	0	
1	 4	 2	 4	sample14	615	2157	772	70932	0	
1	 4	 2	 5	sample14	632	2174	514	74016	0	
1	 4	 2	 6	control	1137	2679	1028	29298	0	
1	 4	 3	 1	sample15	878	2420	772	44718	0	
1	 4	 3	 2	sample15	499	2041	514	75558	0	
1	 4	 3	 3	sample15	813	2099	770	54012	0	
1	 4	 3	 4	sample15	642	1928	514	46296	0	
1	 4	 3	 5	sample15	695	1981	514	34722	0	
1	 4	 3	 6	control	771	2057	514	50154	0	
1	 4	 4	 1	sample16	540	2082	514	61680	0	
1	 4	 4	 2	sample16	719	2005	514	51440	0	
