MicroVigene	 Version	 2650
Culture	en-US
8/15/2006 5:50:33 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	841	3669	770	144228	0	
1	 1	 1	 2	sample1	1063	3633	1028	228730	0	
1	 1	 1	 3	sample1	820	3390	772	107940	0	
1	 1	 1	 4	sample1	715	3285	772	128500	0	
1	 1	 1	 5	sample1	431	3001	514	102800	0	
1	 1	 1	 6	control	873	3443	772	123360	0	
1	 1	 2	 1	sample2	983	3297	1028	120328	0	
1	 1	 2	 2	sample2	984	3040	1028	106912	0	
1	 1	 2	 3	sample2	777	2833	772	90464	0	
1	 1	 2	 4	sample2	874	2930	772	41120	0	
1	 1	 2	 5	sample2	219	2275	258	82240	0	
1	 1	 2	 6	control	135	2191	258	82240	0	
1	 1	 3	 1	sample3	1074	2874	1028	118800	0	
1	 1	 3	 2	sample3	629	2429	514	72000	0	
1	 1	 3	 3	sample3	321	2121	256	72000	0	
1	 1	 3	 4	sample3	425	1967	258	61680	0	
1	 1	 3	 5	sample3	219	1761	258	61680	0	
1	 1	 3	 6	control	630	2172	772	61680	0	
1	 1	 4	 1	sample4	325	1867	258	52428	0	
1	 1	 4	 2	sample4	19.8	1562	0	61680	0	
1	 1	 4	 3	sample4	116	1658	0	61680	0	
1	 1	 4	 4	sample4	172	1714	258	37008	0	
1	 1	 4	 5	sample4	-25.29	1517	0	61680	0	
1	 1	 4	 6	control	155	1697	0	61680	0	
1	 2	 1	 1	sample5	1120	3946	1028	79128	0	
1	 2	 1	 2	sample5	741	3567	772	141300	0	
1	 2	 1	 3	sample5	989	3559	770	120790	0	
1	 2	 1	 4	sample5	717	3287	770	123360	0	
1	 2	 1	 5	sample5	632	3202	514	66820	0	
1	 2	 1	 6	control	564	3134	514	105370	0	
1	 2	 2	 1	sample6	1114	3426	1028	76296	0	
1	 2	 2	 2	sample6	852	3164	772	117912	0	
1	 2	 2	 3	sample6	766	3078	772	108664	0	
1	 2	 2	 4	sample6	585	2897	514	101728	0	
1	 2	 2	 5	sample6	365	2677	258	83232	0	
1	 2	 2	 6	control	269	2325	256	82240	0	
1	 2	 3	 1	sample7	987	2785	1028	66526	0	
1	 2	 3	 2	sample7	522	2320	514	64728	0	
1	 2	 3	 3	sample7	570	2368	514	91698	0	
1	 2	 3	 4	sample7	508	2306	514	70122	0	
1	 2	 3	 5	sample7	443	2241	258	77314	0	
1	 2	 3	 6	control	583	2381	258	61132	0	
1	 2	 4	 1	sample8	282	1824	256	61680	0	
1	 2	 4	 2	sample8	269	1811	256	61680	0	
1	 2	 4	 3	sample8	385	1927	256	61680	0	
1	 2	 4	 4	sample8	308	1850	256	61680	0	
1	 2	 4	 5	sample8	103	1901	0	71920	0	
1	 2	 4	 6	control	205	1747	256	61680	0	
1	 3	 1	 1	sample9	712	3024	772	99416	0	
1	 3	 1	 2	sample9	1082	3394	1028	55488	0	
1	 3	 1	 3	sample9	648	2960	514	115600	0	
1	 3	 1	 4	sample9	622	2934	514	99416	0	
1	 3	 1	 5	sample9	322	2634	258	92480	0	
1	 3	 1	 6	control	1022	3334	1028	90168	0	
1	 3	 2	 1	sample10	696	2752	770	98688	0	
1	 3	 2	 2	sample10	1049	2847	1028	89900	0	
1	 3	 2	 3	sample10	844	2642	772	95294	0	
1	 3	 2	 4	sample10	691	2489	772	86304	0	
1	 3	 2	 5	sample10	470	2268	514	82708	0	
1	 3	 2	 6	control	264	2062	258	75516	0	
1	 3	 3	 1	sample11	1312	2854	1028	43176	0	
1	 3	 3	 2	sample11	340	1882	256	61680	0	
1	 3	 3	 3	sample11	398	1940	256	61680	0	
1	 3	 3	 4	sample11	526	2068	514	61680	0	
1	 3	 3	 5	sample11	224	1766	256	61680	0	
1	 3	 3	 6	control	423	1965	256	61680	0	
1	 3	 4	 1	sample12	332	1874	256	63222	0	
1	 3	 4	 2	sample12	-96.74	1445	0	61680	0	
1	 3	 4	 3	sample12	110	1652	0	21588	0	
1	 3	 4	 4	sample12	128	1670	0	61680	0	
1	 3	 4	 5	sample12	354	1638	258	51360	0	
1	 3	 4	 6	control	315	1599	258	51360	0	
1	 4	 1	 1	sample13	480	3308	514	65044	0	
1	 4	 1	 2	sample13	582	3410	514	96152	0	
1	 4	 1	 3	sample13	273	3101	256	87668	0	
1	 4	 1	 4	sample13	386	2956	258	102800	0	
1	 4	 1	 5	sample13	450	3020	514	102800	0	
1	 4	 1	 6	control	437	3007	514	102800	0	
1	 4	 2	 1	sample14	361	2675	256	62478	0	
1	 4	 2	 2	sample14	282	2596	256	92560	0	
1	 4	 2	 3	sample14	271	2585	256	80990	0	
1	 4	 2	 4	sample14	192	2506	256	92560	0	
1	 4	 2	 5	sample14	64	2378	0	92560	0	
1	 4	 2	 6	control	328	2384	258	82240	0	
1	 4	 3	 1	sample15	161	2217	0	82240	0	
