MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 10:21:42 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	3491	6355	3886	220528	0	
1	 1	 1	 2	sample1	2604	5274	2820	210930	0	
1	 1	 1	 3	sample1	2195	4779	2402	175712	0	
1	 1	 1	 4	sample1	2104	4620	1960	110704	0	
1	 1	 1	 5	sample1	1381	3893	1210	118064	0	
1	 1	 1	 6	control	462	2974	96	100480	0	
1	 1	 2	 1	sample2	5413	7711	5754	176946	0	
1	 1	 2	 2	sample2	4844	7090	5554	166204	0	
1	 1	 2	 3	sample2	3787	5933	4266	171680	0	
1	 1	 2	 4	sample2	3193	5237	3450	151256	0	
1	 1	 2	 5	sample2	2585	4583	2630	101898	0	
1	 1	 2	 6	control	3186	5224	3228	154888	0	
1	 1	 3	 1	sample3	7393	9345	8168	132736	0	
1	 1	 3	 2	sample3	6125	8063	6892	149226	0	
1	 1	 3	 3	sample3	5726	7602	6196	144452	0	
1	 1	 3	 4	sample3	4493	6267	4832	118858	0	
1	 1	 3	 5	sample3	3085	4837	3302	143664	0	
1	 1	 3	 6	control	416	2178	184	70480	0	
1	 1	 4	 1	sample4	5148	6800	5878	142072	0	
1	 1	 4	 2	sample4	4581	6159	5116	116772	0	
1	 1	 4	 3	sample4	3954	5470	4278	121280	0	
1	 1	 4	 4	sample4	2834	4384	3098	117800	0	
1	 1	 4	 5	sample4	2519	3949	2342	52910	0	
1	 1	 4	 6	control	2441	3829	2300	79116	0	
1	 2	 1	 1	sample5	6700	10558	6854	347220	0	
1	 2	 1	 2	sample5	5123	8867	5442	307008	0	
1	 2	 1	 3	sample5	3918	7620	4394	310968	0	
1	 2	 1	 4	sample5	2516	6244	2786	313152	0	
1	 2	 1	 5	sample5	2098	5808	2420	252280	0	
1	 2	 1	 6	control	1051	4783	1138	82104	0	
1	 2	 2	 1	sample6	4390	7824	4644	264418	0	
1	 2	 2	 2	sample6	3095	6473	3392	256728	0	
1	 2	 2	 3	sample6	2887	6249	3108	268960	0	
1	 2	 2	 4	sample6	2676	5968	2922	296280	0	
1	 2	 2	 5	sample6	2318	5526	2382	253432	0	
1	 2	 2	 6	control	2745	6007	2932	332724	0	
1	 2	 3	 1	sample7	7089	10267	7322	254240	0	
1	 2	 3	 2	sample7	5226	8396	5334	234580	0	
1	 2	 3	 3	sample7	4097	7281	4164	238800	0	
1	 2	 3	 4	sample7	2557	5735	2742	200214	0	
1	 2	 3	 5	sample7	2062	5098	2146	251988	0	
1	 2	 3	 6	control	444	3562	332	124720	0	
1	 2	 4	 1	sample8	6990	9830	7082	241400	0	
1	 2	 4	 2	sample8	5034	7944	5012	224070	0	
1	 2	 4	 3	sample8	3218	6132	2554	311798	0	
1	 2	 4	 4	sample8	2454	5252	2350	246224	0	
1	 2	 4	 5	sample8	1723	4481	1682	270284	0	
1	 2	 4	 6	control	3327	6175	3676	193664	0	
1	 3	 1	 1	sample9	5384	9120	6002	306352	0	
1	 3	 1	 2	sample9	4713	8581	5052	270760	0	
1	 3	 1	 3	sample9	4068	7948	4630	252200	0	
1	 3	 1	 4	sample9	3444	7216	3690	245180	0	
1	 3	 1	 5	sample9	2305	6093	2420	253796	0	
1	 3	 1	 6	control	399	4185	362	151440	0	
1	 3	 2	 1	sample10	5928	9366	5658	247536	0	
1	 3	 2	 2	sample10	5891	9473	6752	229248	0	
1	 3	 2	 3	sample10	4731	8227	5110	234232	0	
1	 3	 2	 4	sample10	3028	6548	3056	253440	0	
1	 3	 2	 5	sample10	2525	5961	2800	216468	0	
1	 3	 2	 6	control	3138	6562	3066	236256	0	
1	 3	 3	 1	sample11	5024	8166	4736	216798	0	
1	 3	 3	 2	sample11	3636	6830	3828	229968	0	
1	 3	 3	 3	sample11	2682	5828	2570	223366	0	
1	 3	 3	 4	sample11	2039	5197	2196	151584	0	
1	 3	 3	 5	sample11	1372	4436	1398	144008	0	
1	 3	 3	 6	control	458	3536	344	123120	0	
1	 3	 4	 1	sample12	7633	10673	8402	221920	0	
1	 3	 4	 2	sample12	6196	9206	6810	195650	0	
1	 3	 4	 3	sample12	4270	7222	4860	206640	0	
1	 3	 4	 4	sample12	3049	5895	3218	187836	0	
1	 3	 4	 5	sample12	1661	4503	1340	207466	0	
1	 3	 4	 6	control	3103	5941	3232	150414	0	
1	 4	 1	 1	sample13	8221	10779	7976	222546	0	
1	 4	 1	 2	sample13	6766	9358	7544	217728	0	
1	 4	 1	 3	sample13	4656	7256	5108	210600	0	
1	 4	 1	 4	sample13	3191	5643	3376	205968	0	
1	 4	 1	 5	sample13	2196	4652	2392	162096	0	
1	 4	 1	 6	control	514	3014	398	100000	0	
1	 4	 2	 1	sample14	4697	6969	5030	197664	0	
1	 4	 2	 2	sample14	3869	6115	4126	190910	0	
1	 4	 2	 3	sample14	3125	5397	3330	195392	0	
1	 4	 2	 4	sample14	2775	4957	2974	176742	0	
1	 4	 2	 5	sample14	2253	4359	2358	179010	0	
1	 4	 2	 6	control	2850	5050	2856	173800	0	
1	 4	 3	 1	sample15	2670	4632	2864	149112	0	
1	 4	 3	 2	sample15	2084	4038	2268	142642	0	
1	 4	 3	 3	sample15	1807	3743	2050	141328	0	
1	 4	 3	 4	sample15	1437	3377	1460	77600	0	
1	 4	 3	 5	sample15	1136	2986	1182	74000	0	
1	 4	 3	 6	control	635	2565	538	77200	0	
1	 4	 4	 1	sample16	6111	7705	5602	132302	0	
1	 4	 4	 2	sample16	3476	5176	3192	134300	0	
1	 4	 4	 3	sample16	2898	4516	2694	124586	0	
1	 4	 4	 4	sample16	1842	3418	1688	126080	0	
1	 4	 4	 5	sample16	1245	2899	1216	117434	0	
1	 4	 4	 6	control	2729	4401	2694	113696	0	
1	 5	 1	 1	sample17	4470	7146	4628	224784	0	
1	 5	 1	 2	sample17	3108	5740	3322	231616	0	
1	 5	 1	 3	sample17	2346	5006	2356	247380	0	
1	 5	 1	 4	sample17	2239	4893	2288	230898	0	
1	 5	 1	 5	sample17	1645	4445	1644	142800	0	
1	 5	 1	 6	control	257	3157	148	116000	0	
1	 5	 2	 1	sample18	4445	6835	4272	207930	0	
1	 5	 2	 2	sample18	4493	6975	4538	188632	0	
1	 5	 2	 3	sample18	3222	5624	3068	225788	0	
1	 5	 2	 4	sample18	2064	4464	1910	256800	0	
1	 5	 2	 5	sample18	1961	4501	1952	134620	0	
1	 5	 2	 6	control	2794	5278	2882	218592	0	
1	 5	 3	 1	sample19	8270	10514	8034	112200	0	
1	 5	 3	 2	sample19	6665	8877	6996	117236	0	
1	 5	 3	 3	sample19	4425	6565	4542	175480	0	
1	 5	 3	 4	sample19	3180	5290	3460	158250	0	
1	 5	 3	 5	sample19	2336	4466	2278	219390	0	
1	 5	 3	 6	control	282	2400	174	84720	0	
1	 5	 4	 1	sample20	6217	8079	5360	188062	0	
1	 5	 4	 2	sample20	4437	6311	4236	172408	0	
1	 5	 4	 3	sample20	3062	4986	2714	167388	0	
1	 5	 4	 4	sample20	2063	3963	2000	167200	0	
1	 5	 4	 5	sample20	1676	3650	1600	138180	0	
1	 5	 4	 6	control	2448	4444	2412	151696	0	
1	 6	 1	 1	sample21	5379	7547	5084	214632	0	
1	 6	 1	 2	sample21	4621	6627	4708	154462	0	
1	 6	 1	 3	sample21	3244	5104	3116	146940	0	
1	 6	 1	 4	sample21	2193	4013	2296	149240	0	
1	 6	 1	 5	sample21	1376	3288	1484	158696	0	
1	 6	 1	 6	control	405	2369	454	78560	0	
1	 6	 2	 1	sample22	5423	7137	5446	137120	0	
1	 6	 2	 2	sample22	5560	7300	5938	135720	0	
1	 6	 2	 3	sample22	4572	6176	4638	128320	0	
1	 6	 2	 4	sample22	3440	5020	3590	120080	0	
1	 6	 2	 5	sample22	2390	3924	2524	144196	0	
1	 6	 2	 6	control	2997	4657	3136	129480	0	
1	 6	 3	 1	sample23	2492	3940	2548	124528	0	
1	 6	 3	 2	sample23	2170	3526	2314	109836	0	
1	 6	 3	 3	sample23	1861	3155	2048	97050	0	
1	 6	 3	 4	sample23	1439	2683	1354	49760	0	
1	 6	 3	 5	sample23	949	2169	824	48800	0	
1	 6	 3	 6	control	271	1519	206	49920	0	
1	 6	 4	 1	sample24	4352	5536	4818	103008	0	
1	 6	 4	 2	sample24	3294	4468	3578	91572	0	
1	 6	 4	 3	sample24	2451	3571	2644	88480	0	
1	 6	 4	 4	sample24	1463	2479	1450	90424	0	
1	 6	 4	 5	sample24	1126	2142	1126	75184	0	
1	 6	 4	 6	control	2223	3211	2182	83980	0	
1	 7	 1	 1	sample25	7733	10051	7918	203984	0	
1	 7	 1	 2	sample25	6098	8212	6362	186032	0	
1	 7	 1	 3	sample25	4495	6663	4662	184280	0	
1	 7	 1	 4	sample25	3257	5397	3304	171200	0	
1	 7	 1	 5	sample25	1982	4146	1956	153644	0	
1	 7	 1	 6	control	441	2681	316	89600	0	
1	 7	 2	 1	sample26	4642	6592	4950	156000	0	
1	 7	 2	 2	sample26	3831	5739	3998	145008	0	
1	 7	 2	 3	sample26	3318	5212	3558	159096	0	
1	 7	 2	 4	sample26	2639	4383	2620	153472	0	
1	 7	 2	 5	sample26	1851	3581	1840	150510	0	
1	 7	 2	 6	control	3041	4853	3264	135900	0	
1	 7	 3	 1	sample27	2513	4105	2478	128952	0	
1	 7	 3	 2	sample27	1765	3355	1832	100170	0	
1	 7	 3	 3	sample27	1229	2719	1174	114730	0	
