MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 2:02:41 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	449	3019	256	102800	0	
1	 1	 1	 2	sample1	854	3424	770	110510	0	
1	 1	 1	 3	sample1	564	3134	514	131070	0	
1	 1	 1	 4	sample1	926	3496	1028	110510	0	
1	 1	 1	 5	sample1	810	3122	772	92480	0	
1	 1	 1	 6	control	457	2769	514	92480	0	
1	 1	 2	 1	sample2	995	3051	1028	82240	0	
1	 1	 2	 2	sample2	873	2929	770	150088	0	
1	 1	 2	 3	sample2	727	3039	514	106352	0	
1	 1	 2	 4	sample2	711	2767	514	106912	0	
1	 1	 2	 5	sample2	541	2597	514	39064	0	
1	 1	 2	 6	control	685	2741	770	37008	0	
1	 1	 3	 1	sample3	755	2553	772	86304	0	
1	 1	 3	 2	sample3	732	2530	772	93496	0	
1	 1	 3	 3	sample3	739	2537	772	84506	0	
1	 1	 3	 4	sample3	468	2266	514	70122	0	
1	 1	 3	 5	sample3	515	2313	514	75516	0	
1	 1	 3	 6	control	430	2486	256	82240	0	
1	 1	 4	 1	sample4	971	2769	1028	127658	0	
1	 1	 4	 2	sample4	845	2643	772	100688	0	
1	 1	 4	 3	sample4	602	2400	514	84506	0	
1	 1	 4	 4	sample4	399	2197	258	88102	0	
1	 1	 4	 5	sample4	694	2236	514	72474	0	
1	 1	 4	 6	control	727	2525	772	62930	0	
1	 2	 1	 1	sample5	1332	3132	1284	88200	0	
1	 2	 1	 2	sample5	1092	2892	1028	86400	0	
1	 2	 1	 3	sample5	1150	2950	1028	75600	0	
1	 2	 1	 4	sample5	1628	3170	1542	120276	0	
1	 2	 1	 5	sample5	2713	4255	2828	114108	0	
1	 2	 1	 6	control	1152	2694	1028	80184	0	
