Illumina Inc. BeadStudio version 1.5.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalization = cubic spline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Array Content = Human_WG-6.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Error Model = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DateTime = 9/30/2005 6:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Settings = en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

TargetID,AVG_Signal-A1,BEAD_STDEV-A1,Avg_NBEADS-A1,Detection-A1,AVG_Signal-B1,BEAD_STDEV-B1,Avg_NBEADS-B1,Detection-B1,AVG_Signal-C1,BEAD_STDEV-C1,Avg_NBEADS-C1,Detection-C1,AVG_Signal-D1,BEAD_STDEV-D1,Avg_NBEADS-D1,Detection-D1,AVG_Signal-A2,BEAD_STDEV-A2,Avg_NBEADS-A2,Detection-A2,AVG_Signal-B2,BEAD_STDEV-B2,Avg_NBEADS-B2,Detection-B2,AVG_Signal-C2,BEAD_STDEV-C2,Avg_NBEADS-C2,Detection-C2,AVG_Signal-D2,BEAD_STDEV-D2,Avg_NBEADS-D2,Detection-D2,AVG_Signal-A3,BEAD_STDEV-A3,Avg_NBEADS-A3,Detection-A3,AVG_Signal-B3,BEAD_STDEV-B3,Avg_NBEADS-B3,Detection-B3,AVG_Signal-D3,BEAD_STDEV-D3,Avg_NBEADS-D3,Detection-D3,AVG_Signal-A4,BEAD_STDEV-A4,Avg_NBEADS-A4,Detection-A4,AVG_Signal-B4,BEAD_STDEV-B4,Avg_NBEADS-B4,Detection-B4,AVG_Signal-C4,BEAD_STDEV-C4,Avg_NBEADS-C4,Detection-C4,AVG_Signal-D4,BEAD_STDEV-D4,Avg_NBEADS-D4,Detection-D4,AVG_Signal-A5,BEAD_STDEV-A5,Avg_NBEADS-A5,Detection-A5,AVG_Signal-B5,BEAD_STDEV-B5,Avg_NBEADS-B5,Detection-B5,AVG_Signal-C5,BEAD_STDEV-C5,Avg_NBEADS-C5,Detection-C5,AVG_Signal-D5,BEAD_STDEV-D5,Avg_NBEADS-D5,Detection-D5
GI_10047089-S,5.8,3.3,45,0.84179301,105.1,6.7,48,1,14.7,3.5,56,0.98681608,56.7,4,50,0.9993408,0.4,3,39,0.53460778,124.8,6.5,39,1,18.5,4.1,42,0.99406724,64.5,5.8,37,1,4.1,3.3,48,0.77982861,91.7,5.9,40,1,70.1,5.2,39,0.9993408,2.8,3.8,36,0.70731707,102,6.5,44,1,16.7,2.7,40,0.99406724,57.4,3.7,47,1,7,4,46,0.90112063,105.6,6.7,31,1,15.1,5.2,35,0.98879367,68.7,5.4,34,1
GI_10047091-S,39.3,3.3,50,0.99868161,6794.8,146.1,50,1,1600.4,37.5,46,1,4717.8,106.1,44,1,33.4,3.9,52,0.99802241,7105,144.8,40,1,1663.8,37.5,50,1,4788.8,94.6,42,1,31.6,3.6,43,0.99868161,7721.2,211.6,47,1,5090.9,131.5,44,1,37.3,4.5,36,0.99868161,7166.1,121.2,56,1,1700.6,34.5,64,1,4963.1,110,38,1,48,4.8,47,0.9993408,7395.3,218.1,44,1,1730.7,41,46,1,5165.5,128.1,37,1
GI_10047093-S,455.6,12.6,43,1,266.4,8.8,46,1,416.6,15.5,39,1,313.3,13.3,37,1,445.1,22.3,32,1,244.6,8.8,28,1,402.7,16.5,25,1,296.2,11.9,22,1,442.6,12.2,40,1,241.1,11,35,1,280.1,8,42,1,439.8,13.5,36,1,250.2,8.9,36,1,381.2,17.3,31,1,289.3,10.5,37,1,439.5,17.1,33,1,257.3,12.3,27,1,433.9,14.9,29,1,267.4,9.7,24,1
GI_10047099-S,481.5,20,32,1,297.1,14.9,32,1,412.1,9.3,31,1,379.2,13.7,40,1,472,14.7,25,1,289,10.4,49,1,426.7,15.2,36,1,394,10.7,44,1,497.8,17.7,44,1,259.5,9.6,45,1,332.1,11.9,48,1,425.7,16,47,1,324,11.3,34,1,427.5,12.8,64,1,341.3,13.1,41,1,482.4,18.8,32,1,289.3,14.9,33,1,404.3,13.7,40,1,346.2,11.4,43,1
GI_10047103-S,1703.7,46.4,47,1,1691.6,47.9,44,1,1694.5,35.4,38,1,1473.9,35.6,47,1,1634.8,35.1,56,1,1637.6,33.6,57,1,1691.3,37,47,1,1507,33.4,46,1,1594.7,24.7,44,1,1559.1,36.9,48,1,1606.9,38.7,51,1,1725.2,34.6,52,1,1614.1,41.8,46,1,1696,33.3,44,1,1630.4,46.8,44,1,1762.5,46.8,40,1,1581.7,56.4,31,1,1707.4,37.7,60,1,1615.2,48.8,36,1
GI_10047105-S,180.5,10.5,34,1,4.8,4.4,34,0.80949242,136.7,5.5,25,1,59,4.7,33,0.9993408,206.7,9.8,35,1,6.4,3.6,31,0.87079763,137.9,8.4,38,1,61.4,5.6,31,0.9993408,208.4,9.8,39,1,2,4,33,0.68094924,59.1,3.9,41,0.9993408,192.5,11.1,25,1,1.3,3.4,27,0.59591299,153.5,8.5,35,1,63.4,4.8,28,1,195.4,19.2,20,1,6.8,5,26,0.89321028,163.4,7.7,38,1,63.5,5.3,41,1
GI_10047121-S,-4.9,3.7,41,0.13843111,-4.5,2.9,30,0.16413975,-2.1,3.5,41,0.343441,-2.9,2.6,46,0.28806856,-4.2,2.7,43,0.16677653,-3,2.4,47,0.24851681,0.7,3.1,38,0.5787739,-5.2,3.8,29,0.13117996,-1.1,3.9,36,0.41661173,-2.4,2.2,49,0.30916282,0.3,3.5,32,0.55042848,0.3,4.8,27,0.52406065,-2.2,3.4,35,0.32300593,-2.4,4,28,0.30916282,-2.4,3.6,29,0.30388926,-5.9,3.9,30,0.06987475,1.2,3.8,36,0.60382334,-2,3.7,35,0.36321688,-6.7,2.6,26,0.05141727
GI_10047123-S,393.2,12.5,54,1,49.7,4.9,41,1,336.6,11,40,1,140.8,7.5,39,1,397,13.8,44,1,60.1,6.2,41,1,319.4,11.4,40,1,147.1,5.6,53,1,394.3,8.4,36,1,46.1,3.8,46,1,157.8,7.1,53,1,451.7,13.2,60,1,57.8,4.8,45,1,327.4,9.7,49,1,141,5.4,52,1,370.4,11.2,40,1,49.2,5.1,40,1,336,9.1,61,1,156.6,5.6,43,1
GI_10047133-A,0,3.5,40,0.48648649,220.4,13.4,29,1,33.5,4.1,31,0.99802241,138.5,5.8,56,1,-2.6,2.8,45,0.28543177,235.3,9.4,46,1,42.9,4.4,40,0.99868161,123.4,4.9,39,1,-4,2,42,0.18852999,209.7,7.5,49,1,111.8,6.7,38,1,1.5,3.3,48,0.61898484,216.6,10.7,43,1,34.4,3.6,49,0.99868161,118.4,6.7,44,1,1.6,3.9,37,0.62359921,227.5,9.5,32,1,33.2,3.7,47,0.99868161,132.7,4.7,52,1
GI_10047133-I,3.6,3.5,48,0.73764008,10.7,3.6,41,0.95649308,5.9,3.5,47,0.87013843,1.9,2.8,47,0.6875412,8,3.5,41,0.90243902,5.8,2.2,52,0.85563612,6.2,3.2,44,0.88398154,6.1,2.8,53,0.8747528,1.2,2.8,39,0.60250494,2.1,3.3,43,0.69017798,5.5,3.5,47,0.86552406,4.8,3.1,47,0.81806196,8.1,3,60,0.92880686,-0.1,2.5,42,0.51351351,1.5,2.8,47,0.64798945,10.1,4.8,40,0.95715227,8.2,3.8,42,0.92617007,10.8,4,50,0.97231378,5.1,3.5,53,0.85036256
