Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
ApacheJMeter_core-2.3.jar,2056461d5080bb3fdfab3618a50906d138bc448c,<dependency><groupId>apache</groupId><artifactId>jmeter</artifactId><version>2.3</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/apache/jmeter/2.3/ApacheJMeter_core-2.3.jar
ant-jmeter-2.3.jar,af3050a1dde074df4307a6e8730ae531e976e6d6,<dependency><groupId>apache</groupId><artifactId>jmeter</artifactId><version>2.3</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/apache/jmeter/2.3/ant-jmeter-2.3.jar
ApacheJMeter_java-2.3.jar,e88e00570f77fb81063f7a47f46d04f314a88610,<dependency><groupId>apache</groupId><artifactId>jmeter</artifactId><version>2.3</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/apache/jmeter/2.3/ApacheJMeter_java-2.3.jar
log4j-1.2.14.jar,ca45615064ce26e91ae36bc294b08cd2e56d3030,<dependency><groupId>apache</groupId><artifactId>log4j</artifactId><version>1.2.14</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/apache/log4j/1.2.14/log4j-1.2.14.jar
AffxFusion-1.1.jar,10190af601bac6d4f03c22d2025edd85a38c96c1,<dependency><groupId>affymetrix</groupId><artifactId>AffxFusion</artifactId><version>1.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/affymetrix/AffxFusion/1.1/AffxFusion-1.1.jar
activation-1.1.jar,265fe85b5defb260b5c51180de43441763472e6c,<dependency><groupId>javax.activation</groupId><artifactId>activation</artifactId><version>1.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/javax.activation/activation/1.1/activation-1.1.jar
javassist-3.9.0.GA.jar,ac898ca9b3343e8d8834026ccd096c8623da31e1,<dependency><groupId>javassist</groupId><artifactId>javassist</artifactId><version>3.9.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/javassist/javassist/3.9.0.GA/javassist-3.9.0.GA.jar
ncicb-ant-1.0.jar,99e144e9b2a8ed5e242b972991541b991ca68313,<dependency><groupId>ncicb</groupId><artifactId>ncicb-ant</artifactId><version>1.0</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/ncicb/ncicb-ant/1.0/ncicb-ant-1.0.jar
asm-1.5.3.jar,2d70dd1fb76fcc49c131c6d841d62532870909d0,<dependency><groupId>objectweb</groupId><artifactId>asm</artifactId><version>1.5.3</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/objectweb/asm/1.5.3/asm-1.5.3.jar
asm-attrs-1.5.3.jar,cc164d056a7118b7a70705f6429cbc6bb44fd8dc,<dependency><groupId>objectweb</groupId><artifactId>asm-attrs</artifactId><version>1.5.3</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/objectweb/asm-attrs/1.5.3/asm-attrs-1.5.3.jar
caGrid-core-1.2.0.1.jar,1eb12b8386cd5a30ea03730e90e787966baedb0d,<dependency><groupId>cagrid</groupId><artifactId>core</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/core/1.2.0.1/caGrid-core-1.2.0.1.jar
caGrid-data-cql-1.2.0.1.jar,d6629c32e29397408f561b8fc55d52f0771cea44,<dependency><groupId>cagrid</groupId><artifactId>data</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/data/1.2.0.1/caGrid-data-cql-1.2.0.1.jar
caGrid-data-validation-1.2.0.1.jar,2f5b5c04daac5c9fb8f0f5e3b32436d7d9aba185,<dependency><groupId>cagrid</groupId><artifactId>data</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/data/1.2.0.1/caGrid-data-validation-1.2.0.1.jar
caGrid-data-stubs-1.2.0.1.jar,10fa11b93cab7333bb609e8c0c6b950a2bf1fded,<dependency><groupId>cagrid</groupId><artifactId>data</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/data/1.2.0.1/caGrid-data-stubs-1.2.0.1.jar
caGrid-data-utils-1.2.0.1.jar,0c321b1752ba8796ba0f6f05f186bc1c66108481,<dependency><groupId>cagrid</groupId><artifactId>data</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/data/1.2.0.1/caGrid-data-utils-1.2.0.1.jar
caGrid-data-common-1.2.0.1.jar,3543f21786a5cf53ebb558d937fc88217a079169,<dependency><groupId>cagrid</groupId><artifactId>data</artifactId><version>1.2.0.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/cagrid/data/1.2.0.1/caGrid-data-common-1.2.0.1.jar
